concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cabana de Bergantiños;P. E. Alto Torreiro,Parque Eólico Silvarredonda;32585;27132;ES1110015.0185;UA220;3.06442313214;UA200;10224.4993828;32653;ES1110015.0185;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10224.4993828
Cabana de Bergantiños;P.E. Bustelo - Baralláns,P. E. Alto Torreiro,Parque Eólico Silvarredonda;32589;27134;ES1110015.0187;UA220;5.50728400508;UA200;18360.4633198;32657;ES1110015.0187;5.0;P;3260;3260;;Ríos dos pisos basal a montano;18360.4633198
Cabana de Bergantiños;Parque Eólico Silvarredonda;32240;26966;ES1110015.0005;UA320;0.743857313847;UA300;389.419067912;32308;ES1110015.0005;5.0;V;4030;4030;;Queirogais secos europeos;389.419067912
Cabana de Bergantiños;Parque Eólico Silvarredonda;32241;26966;ES1110015.0005;UA320;0.743857313847;UA300;389.419067912;32309;ES1110015.0005;1.0;V;4030;4030;;Queirogais secos europeos;389.419067912
Cabana de Bergantiños;Parque Eólico Silvarredonda;32242;26966;ES1110015.0005;UA320;0.743857313847;UA300;389.419067912;32310;ES1110015.0005;1.0;V;4030;4030;;Queirogais secos europeos;389.419067912
Cabana de Bergantiños;Parque Eólico Silvarredonda;32464;27065;ES1110015.0112;UA531;0.483797077954;UA500;462.476433557;32533;ES1110015.0112;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;462.476433557
Cabana de Bergantiños;Parque Eólico Silvarredonda;32465;27065;ES1110015.0112;UA531;0.483797077954;UA500;462.476433557;32534;ES1110015.0112;1.0;S;6410;6410;;Prados con Molinia;462.476433557
Cabana de Bergantiños;Parque Eólico Silvarredonda;32466;27065;ES1110015.0112;UA531;0.483797077954;UA500;462.476433557;32532;ES1110015.0112;2.0;V;6510;6510;;Prados de sega de baixa altitude;462.476433557
Cabana de Bergantiños;Parque Eólico Silvarredonda;32467;27066;ES1110015.0113;UA531;0.2798431036;UA500;400.618028927;32536;ES1110015.0113;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;400.618028927
Cabana de Bergantiños;Parque Eólico Silvarredonda;32468;27066;ES1110015.0113;UA531;0.2798431036;UA500;400.618028927;32537;ES1110015.0113;1.0;S;6410;6410;;Prados con Molinia;400.618028927
Cabana de Bergantiños;Parque Eólico Silvarredonda;32469;27066;ES1110015.0113;UA531;0.2798431036;UA500;400.618028927;32535;ES1110015.0113;5.0;V;6510;6510;;Prados de sega de baixa altitude;400.618028927
Cabana de Bergantiños;Parque Eólico Silvarredonda;32470;27068;ES1110015.0115;UA531;0.440830847396;UA500;466.191821359;32538;ES1110015.0115;5.0;V;6510;6510;;Prados de sega de baixa altitude;466.191821359
Cabana de Bergantiños;Parque Eólico Silvarredonda;32471;27068;ES1110015.0115;UA531;0.440830847396;UA500;466.191821359;32539;ES1110015.0115;1.0;S;6410;6410;;Prados con Molinia;466.191821359
Cabana de Bergantiños;Parque Eólico Silvarredonda;32472;27069;ES1110015.0121;UA420;0.695513480188;UA400;638.183658436;32540;ES1110015.0121;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;638.183658436
Cabana de Bergantiños;Parque Eólico Silvarredonda;32473;27070;ES1110015.0122;UA420;0.304094982532;UA400;370.531324204;32541;ES1110015.0122;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;370.531324204
Cabana de Bergantiños;Parque Eólico Silvarredonda;32582;27130;ES1110015.0183;UA220;0.753630569486;UA200;2523.33837672;32650;ES1110015.0183;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2523.33837672
Cabana de Bergantiños;Parque Eólico Silvarredonda;32583;27130;ES1110015.0183;UA220;0.753630569486;UA200;2523.33837672;32651;ES1110015.0183;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2523.33837672
Cabana de Bergantiños;Parque Eólico Silvarredonda;32660;27166;ES1110015.0223;UA531;2.75844845614;UA500;929.94932572;32728;ES1110015.0223;1.0;V;6510;6510;;Prados de sega de baixa altitude;929.94932572
Cabana de Bergantiños;Parque Eólico Silvarredonda;32661;27166;ES1110015.0223;UA531;2.75844845614;UA500;929.94932572;32729;ES1110015.0223;1.0;S;6410;6410;;Prados con Molinia;929.94932572
