concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Capela, A;FORGOSELO;6463;7928;ES1110003.0562;UA220;1.26475497225;UA200;6332.36695067;6531;ES1110003.0562;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6332.36695067
Capela, A;FORGOSELO;6464;7928;ES1110003.0562;UA220;1.26475497225;UA200;6332.36695067;6532;ES1110003.0562;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6332.36695067
Capela, A;FORGOSELO;6465;7929;ES1110003.0563;UA220;0.668074384319;UA200;3349.68960876;6533;ES1110003.0563;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3349.68960876
Capela, A;FORGOSELO;6466;7929;ES1110003.0563;UA220;0.668074384319;UA200;3349.68960876;6534;ES1110003.0563;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3349.68960876
Capela, A;FORGOSELO;6489;7941;ES1110003.0581;UA220;0.200663722991;UA200;1010.54745607;6557;ES1110003.0581;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1010.54745607
Capela, A;FORGOSELO;6490;7941;ES1110003.0581;UA220;0.200663722991;UA200;1010.54745607;6558;ES1110003.0581;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1010.54745607
Capela, A;FORGOSELO;6645;8019;ES1110003.0666;UA220;0.832887935848;UA200;4179.89621924;6714;ES1110003.0666;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4179.89621924
Capela, A;FORGOSELO;6646;8019;ES1110003.0666;UA220;0.832887935848;UA200;4179.89621924;6713;ES1110003.0666;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4179.89621924
Capela, A;FORGOSELO;6649;8021;ES1110003.0668;UA220;1.08310121693;UA200;5418.0501172;6717;ES1110003.0668;5.0;P;3260;3260;;Ríos dos pisos basal a montano;5418.0501172
Capela, A;FORGOSELO;6650;8021;ES1110003.0668;UA220;1.08310121693;UA200;5418.0501172;6718;ES1110003.0668;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5418.0501172
Capela, A;FORGOSELO;6733;8063;ES1110003.0711;UA220;0.659162539995;UA200;3302.44973332;6801;ES1110003.0711;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3302.44973332
Capela, A;FORGOSELO;6734;8063;ES1110003.0711;UA220;0.659162539995;UA200;3302.44973332;6802;ES1110003.0711;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3302.44973332
Capela, A;FORGOSELO;6735;8064;ES1110003.0712;UA220;0.327703115163;UA200;1647.31767771;6803;ES1110003.0712;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1647.31767771
Capela, A;FORGOSELO;6736;8064;ES1110003.0712;UA220;0.327703115163;UA200;1647.31767771;6804;ES1110003.0712;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1647.31767771
Capela, A;FORGOSELO;6737;8065;ES1110003.0713;UA220;0.118525302384;UA200;602.390156319;6805;ES1110003.0713;5.0;P;3260;3260;;Ríos dos pisos basal a montano;602.390156319
Capela, A;FORGOSELO;6738;8065;ES1110003.0713;UA220;0.118525302384;UA200;602.390156319;6806;ES1110003.0713;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;602.390156319
Capela, A;FORGOSELO;6751;10759;ES1110003.0725;UA220;0.251894287188;UA200;1277.85397617;6819;ES1110003.0725;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1277.85397617
Capela, A;FORGOSELO;6752;10759;ES1110003.0725;UA220;0.251894287188;UA200;1277.85397617;6820;ES1110003.0725;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1277.85397617
Capela, A;FORGOSELO;6753;10760;ES1110003.0726;UA220;0.135835902578;UA200;689.742026153;6821;ES1110003.0726;5.0;P;3260;3260;;Ríos dos pisos basal a montano;689.742026153
Capela, A;FORGOSELO;6754;10760;ES1110003.0726;UA220;0.135835902578;UA200;689.742026153;6822;ES1110003.0726;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;689.742026153
Capela, A;FORGOSELO;6825;8107;ES1110003.0762;UA220;0.249870656225;UA200;1256.58929981;6893;ES1110003.0762;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1256.58929981
Capela, A;FORGOSELO;6826;8107;ES1110003.0762;UA220;0.249870656225;UA200;1256.58929981;6894;ES1110003.0762;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1256.58929981
