concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Carballeda de Valdeorras;Serra do Eixe;164651;101825;ES1130007.0265;UA220;3.33410134191;UA200;33343.5546579;164730;ES1130007.0265;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;33343.5546579
Carballeda de Valdeorras;Serra do Eixe;164652;101825;ES1130007.0265;UA220;3.33410134191;UA200;33343.5546579;164728;ES1130007.0265;5.0;P;3260;3260;;Ríos dos pisos basal a montano;33343.5546579
Carballeda de Valdeorras;Serra do Eixe;164653;101825;ES1130007.0265;UA220;3.33410134191;UA200;33343.5546579;164729;ES1130007.0265;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;33343.5546579
Carballeda de Valdeorras;Serra do Eixe;172109;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172191;ES1130007.3738;1.0;V;4030;4030;;Queirogais secos europeos;16084.6520099
Carballeda de Valdeorras;Serra do Eixe;172110;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172194;ES1130007.3738;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;16084.6520099
Carballeda de Valdeorras;Serra do Eixe;172111;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172192;ES1130007.3738;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;16084.6520099
Carballeda de Valdeorras;Serra do Eixe;172112;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172190;ES1130007.3738;4.0;V;4030;4030;;Queirogais secos europeos;16084.6520099
Carballeda de Valdeorras;Serra do Eixe;172113;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172189;ES1130007.3738;1.0;V;8310;8310;;Covas non explotadas polo turismo;16084.6520099
Carballeda de Valdeorras;Serra do Eixe;172114;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172188;ES1130007.3738;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;16084.6520099
Carballeda de Valdeorras;Serra do Eixe;172115;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172187;ES1130007.3738;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;16084.6520099
Carballeda de Valdeorras;Serra do Eixe;172116;101905;ES1130007.3738;UA320;315.501007088;UA300;16084.6520099;172186;ES1130007.3738;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;16084.6520099
