concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Chantada,Parque Eólico Penas Grandes;87971;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88048;ES1120008.0070;1.0;S;3260;3260;;Ríos dos pisos basal a montano;46740.1354075
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Chantada,Parque Eólico Penas Grandes;87979;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88040;ES1120008.0070;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;46740.1354075
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Chantada,Parque Eólico Penas Grandes;87980;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88039;ES1120008.0070;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;46740.1354075
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Penas Grandes,Parque Eólico Chantada;87908;57968;ES1120008.0034;UA630;7.76986133937;UA600;2572.21581567;87976;ES1120008.0034;1.0;S;4030;4030;;Queirogais secos europeos;2572.21581567
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Penas Grandes,Parque Eólico Chantada;87909;57968;ES1120008.0034;UA630;7.76986133937;UA600;2572.21581567;87977;ES1120008.0034;1.0;S;4030;4030;;Queirogais secos europeos;2572.21581567
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Penas Grandes,Parque Eólico Chantada;87973;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88047;ES1120008.0070;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;46740.1354075
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Penas Grandes,Parque Eólico Chantada;87981;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88044;ES1120008.0070;5.0;V;4030;4030;;Queirogais secos europeos;46740.1354075
Carballedo;Parque Eólico Chantada,Parque Eólico Penas Grandes,Parque Eólico Penas Grandes,Parque Eólico Chantada;88025;58079;ES1120008.0096;UA630;31.5377213164;UA600;5160.7371966;88093;ES1120008.0096;1.0;S;4030;4030;;Queirogais secos europeos;5160.7371966
Carballedo;Parque Eólico Penas Grandes,Parque Eólico Chantada,Parque Eólico Chantada,Parque Eólico Penas Grandes;87972;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88049;ES1120008.0070;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;46740.1354075
Carballedo;Parque Eólico Penas Grandes,Parque Eólico Chantada,Parque Eólico Chantada,Parque Eólico Penas Grandes;87978;58008;ES1120008.0070;UA320;676.556019812;UA300;46740.1354075;88041;ES1120008.0070;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;46740.1354075
