concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Carnota;Parque Eólico Adraño;23100;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23168;ES1110008.0181;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;52700.1994466
Carnota;Parque Eólico Adraño;23101;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23172;ES1110008.0181;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;52700.1994466
Carnota;Parque Eólico Adraño;23102;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23171;ES1110008.0181;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;52700.1994466
Carnota;Parque Eólico Adraño;23103;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23170;ES1110008.0181;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;52700.1994466
Carnota;Parque Eólico Adraño;23104;22467;ES1110008.0181;UA320;514.495957038;UA300;52700.1994466;23169;ES1110008.0181;5.0;V;4030;4030;;Queirogais secos europeos;52700.1994466
Carnota;Parque Eólico Adraño;23341;22470;ES1110008.0340;UA630;227.128969372;UA600;16431.3459919;23409;ES1110008.0340;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;16431.3459919
Carnota;Parque Eólico Adraño;23342;22470;ES1110008.0340;UA630;227.128969372;UA600;16431.3459919;23410;ES1110008.0340;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;16431.3459919
Carnota;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;23009;21821;ES1110008.0110;UA320;12.5701205913;UA300;3930.23916388;23081;ES1110008.0110;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3930.23916388
Carnota;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;23010;21821;ES1110008.0110;UA320;12.5701205913;UA300;3930.23916388;23077;ES1110008.0110;5.0;V;4030;4030;;Queirogais secos europeos;3930.23916388
Carnota;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;23011;21821;ES1110008.0110;UA320;12.5701205913;UA300;3930.23916388;23078;ES1110008.0110;1.0;S;7110*;7110;X;Turbeiras altas activas;3930.23916388
Carnota;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;23012;21821;ES1110008.0110;UA320;12.5701205913;UA300;3930.23916388;23079;ES1110008.0110;1.0;S;7140;7140;;Turbeiras de transición e inllós;3930.23916388
Carnota;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;23013;21821;ES1110008.0110;UA320;12.5701205913;UA300;3930.23916388;23080;ES1110008.0110;1.0;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3930.23916388
Carnota;Poligonal Cabazo;27847;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27920;ES1110012.0067;1.0;V;4030;4030;;Queirogais secos europeos;8700.33680321
Carnota;Poligonal Cabazo;27848;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27921;ES1110012.0067;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;8700.33680321
Carnota;Poligonal Cabazo;27849;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27919;ES1110012.0067;5.0;V;4030;4030;;Queirogais secos europeos;8700.33680321
Carnota;Poligonal Cabazo;27850;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27918;ES1110012.0067;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;8700.33680321
Carnota;Poligonal Cabazo;27851;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27917;ES1110012.0067;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;8700.33680321
Carnota;Poligonal Cabazo;27852;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27916;ES1110012.0067;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;8700.33680321
Carnota;Poligonal Cabazo;27853;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27915;ES1110012.0067;5.0;P;4030;4030;;Queirogais secos europeos;8700.33680321
Carnota;Poligonal Cabazo;27854;24714;ES1110012.0067;UA162;52.5595057917;UA100;8700.33680321;27922;ES1110012.0067;1.0;S;8310;8310;;Covas non explotadas polo turismo;8700.33680321
Carnota;Poligonal Cabazo;27866;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27934;ES1110012.0073;5.0;P;4030;4030;;Queirogais secos europeos;10616.6662526
Carnota;Poligonal Cabazo;27867;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27935;ES1110012.0073;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;10616.6662526
Carnota;Poligonal Cabazo;27868;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27936;ES1110012.0073;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;10616.6662526
Carnota;Poligonal Cabazo;27869;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27937;ES1110012.0073;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;10616.6662526
Carnota;Poligonal Cabazo;27870;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27938;ES1110012.0073;3.0;V;4030;4030;;Queirogais secos europeos;10616.6662526
Carnota;Poligonal Cabazo;27871;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27939;ES1110012.0073;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;10616.6662526
Carnota;Poligonal Cabazo;27872;24713;ES1110012.0073;UA162;113.720437822;UA100;10616.6662526;27940;ES1110012.0073;1.0;S;8310;8310;;Covas non explotadas polo turismo;10616.6662526
Carnota;Poligonal Cabazo;27878;24627;ES1110012.0076;UA162;47.8178521583;UA100;5377.08246715;27950;ES1110012.0076;1.0;V;4030;4030;;Queirogais secos europeos;5377.08246715
Carnota;Poligonal Cabazo;27879;24627;ES1110012.0076;UA162;47.8178521583;UA100;5377.08246715;27951;ES1110012.0076;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5377.08246715
Carnota;Poligonal Cabazo;27880;24627;ES1110012.0076;UA162;47.8178521583;UA100;5377.08246715;27949;ES1110012.0076;5.0;V;4030;4030;;Queirogais secos europeos;5377.08246715
Carnota;Poligonal Cabazo;27881;24627;ES1110012.0076;UA162;47.8178521583;UA100;5377.08246715;27948;ES1110012.0076;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;5377.08246715
Carnota;Poligonal Cabazo;27882;24627;ES1110012.0076;UA162;47.8178521583;UA100;5377.08246715;27947;ES1110012.0076;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5377.08246715
Carnota;Poligonal Cabazo;27883;24627;ES1110012.0076;UA162;47.8178521583;UA100;5377.08246715;27946;ES1110012.0076;5.0;P;4030;4030;;Queirogais secos europeos;5377.08246715
