concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22871;20708;ES1110008.0021;UA531;39.3405728885;UA500;6840.60614752;22939;ES1110008.0021;3.0;V;6510;6510;;Prados de sega de baixa altitude;6840.60614752
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22872;20708;ES1110008.0021;UA531;39.3405728885;UA500;6840.60614752;22940;ES1110008.0021;1.0;S;6410;6410;;Prados con Molinia;6840.60614752
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22891;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22964;ES1110008.0034;1.0;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;38597.4804219
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22892;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22966;ES1110008.0034;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;38597.4804219
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22893;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22960;ES1110008.0034;5.0;V;4030;4030;;Queirogais secos europeos;38597.4804219
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22894;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22965;ES1110008.0034;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;38597.4804219
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22895;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22967;ES1110008.0034;1.0;S;6510;6510;;Prados de sega de baixa altitude;38597.4804219
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22896;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22963;ES1110008.0034;1.0;S;7140;7140;;Turbeiras de transición e inllós;38597.4804219
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22897;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22961;ES1110008.0034;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;38597.4804219
Cee;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22898;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22959;ES1110008.0034;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;38597.4804219
