concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cervantes;;38776;32963;Es1120001.0001;UA220;0.815237409337;UA200;8148.53725736;38845;Es1120001.0001;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8148.53725736
Cervantes;;38777;32963;Es1120001.0001;UA220;0.815237409337;UA200;8148.53725736;38846;Es1120001.0001;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8148.53725736
Cervantes;;38778;32963;Es1120001.0001;UA220;0.815237409337;UA200;8148.53725736;38844;Es1120001.0001;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8148.53725736
Cervantes;;39357;33154;Es1120001.0198;UA220;1.05196681502;UA200;10601.1908968;39425;Es1120001.0198;5.0;P;3260;3260;;Ríos dos pisos basal a montano;10601.1908968
Cervantes;;39358;33154;Es1120001.0198;UA220;1.05196681502;UA200;10601.1908968;39426;Es1120001.0198;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10601.1908968
Cervantes;;39359;33154;Es1120001.0198;UA220;1.05196681502;UA200;10601.1908968;39427;Es1120001.0198;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10601.1908968
Cervantes;;40296;33460;Es1120001.0512;UA220;1.69350216149;UA200;16457.2088068;40364;Es1120001.0512;5.0;P;3260;3260;;Ríos dos pisos basal a montano;16457.2088068
Cervantes;;40297;33460;Es1120001.0512;UA220;1.69350216149;UA200;16457.2088068;40365;Es1120001.0512;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;16457.2088068
Cervantes;;40298;33460;Es1120001.0512;UA220;1.69350216149;UA200;16457.2088068;40366;Es1120001.0512;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;16457.2088068
Cervantes;;40365;33483;Es1120001.0535;UA220;0.271922420044;UA200;2770.0505994;40433;Es1120001.0535;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2770.0505994
Cervantes;;40366;33483;Es1120001.0535;UA220;0.271922420044;UA200;2770.0505994;40434;Es1120001.0535;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2770.0505994
Cervantes;;40367;33483;Es1120001.0535;UA220;0.271922420044;UA200;2770.0505994;40435;Es1120001.0535;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2770.0505994
Cervantes;;40524;33540;Es1120001.0592;UA220;0.356099063338;UA200;3586.22023171;40592;Es1120001.0592;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3586.22023171
Cervantes;;40525;33540;Es1120001.0592;UA220;0.356099063338;UA200;3586.22023171;40594;Es1120001.0592;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3586.22023171
Cervantes;;40526;33540;Es1120001.0592;UA220;0.356099063338;UA200;3586.22023171;40593;Es1120001.0592;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3586.22023171
Cervantes;;40807;33648;Es1120001.0702;UA422;2.11757035502;UA400;1201.944509;40875;Es1120001.0702;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1201.944509
Cervantes;;40808;33648;Es1120001.0702;UA422;2.11757035502;UA400;1201.944509;40876;Es1120001.0702;1.0;V;9380;9380;;Bosques de Ilex aquifolium;1201.944509
Cervantes;;40897;33690;Es1120001.0745;UA422;6.55047352066;UA400;1392.77536846;40966;Es1120001.0745;1.0;V;9380;9380;;Bosques de Ilex aquifolium;1392.77536846
Cervantes;;40898;33690;Es1120001.0745;UA422;6.55047352066;UA400;1392.77536846;40965;Es1120001.0745;1.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1392.77536846
Cervantes;;41378;33919;Es1120001.0977;UA310;4.17940255039;UA300;1228.38910543;41447;Es1120001.0977;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;1228.38910543
Cervantes;;41379;33919;Es1120001.0977;UA310;4.17940255039;UA300;1228.38910543;41448;Es1120001.0977;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1228.38910543
Cervantes;;41380;33919;Es1120001.0977;UA310;4.17940255039;UA300;1228.38910543;41449;Es1120001.0977;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1228.38910543
Cervantes;;41381;33919;Es1120001.0977;UA310;4.17940255039;UA300;1228.38910543;41450;Es1120001.0977;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1228.38910543
Cervantes;;41382;33919;Es1120001.0977;UA310;4.17940255039;UA300;1228.38910543;41446;Es1120001.0977;5.0;P;4030;4030;;Queirogais secos europeos;1228.38910543
Cervantes;;41383;33920;Es1120001.0978;UA310;3.08773316367;UA300;850.2893228;41451;Es1120001.0978;5.0;P;4030;4030;;Queirogais secos europeos;850.2893228
Cervantes;;41384;33920;Es1120001.0978;UA310;3.08773316367;UA300;850.2893228;41455;Es1120001.0978;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;850.2893228
Cervantes;;41385;33920;Es1120001.0978;UA310;3.08773316367;UA300;850.2893228;41454;Es1120001.0978;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;850.2893228
Cervantes;;41386;33920;Es1120001.0978;UA310;3.08773316367;UA300;850.2893228;41452;Es1120001.0978;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;850.2893228
Cervantes;;41387;33920;Es1120001.0978;UA310;3.08773316367;UA300;850.2893228;41453;Es1120001.0978;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;850.2893228
Cervantes;;41506;33941;Es1120001.0999;UA310;12.3366062402;UA300;3115.66373009;41575;Es1120001.0999;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;3115.66373009
Cervantes;;41507;33941;Es1120001.0999;UA310;12.3366062402;UA300;3115.66373009;41579;Es1120001.0999;1.0;S;3260;3260;;Ríos dos pisos basal a montano;3115.66373009
Cervantes;;41508;33941;Es1120001.0999;UA310;12.3366062402;UA300;3115.66373009;41578;Es1120001.0999;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3115.66373009
Cervantes;;41509;33941;Es1120001.0999;UA310;12.3366062402;UA300;3115.66373009;41576;Es1120001.0999;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3115.66373009
Cervantes;;41510;33941;Es1120001.0999;UA310;12.3366062402;UA300;3115.66373009;41574;Es1120001.0999;5.0;P;4030;4030;;Queirogais secos europeos;3115.66373009
Cervantes;;41511;33941;Es1120001.0999;UA310;12.3366062402;UA300;3115.66373009;41577;Es1120001.0999;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;3115.66373009
Cervantes;;42120;34045;Es1120001.1108;UA310;23.0022492337;UA300;2658.87061769;42193;Es1120001.1108;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2658.87061769
Cervantes;;42121;34045;Es1120001.1108;UA310;23.0022492337;UA300;2658.87061769;42192;Es1120001.1108;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2658.87061769
Cervantes;;42122;34045;Es1120001.1108;UA310;23.0022492337;UA300;2658.87061769;42191;Es1120001.1108;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2658.87061769
Cervantes;;42123;34045;Es1120001.1108;UA310;23.0022492337;UA300;2658.87061769;42190;Es1120001.1108;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2658.87061769
Cervantes;;42124;34045;Es1120001.1108;UA310;23.0022492337;UA300;2658.87061769;42188;Es1120001.1108;5.0;P;4030;4030;;Queirogais secos europeos;2658.87061769
Cervantes;;42125;34045;Es1120001.1108;UA310;23.0022492337;UA300;2658.87061769;42189;Es1120001.1108;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2658.87061769
Cervantes;;43457;34273;Es1120001.1349;UA310;10.2942425667;UA300;2192.68532681;43525;Es1120001.1349;5.0;P;4030;4030;;Queirogais secos europeos;2192.68532681
