concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Chandrexa de Queixa;"Poligonal Parque Treboada
,Poligonal Treboada";140431;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140510;ES1130002.0004;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;28259.6173514
Chandrexa de Queixa;"Poligonal Parque Treboada
,Poligonal Treboada";140435;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140509;ES1130002.0004;1.0;S;3260;3260;;Ríos dos pisos basal a montano;28259.6173514
Chandrexa de Queixa;"Poligonal Parque Treboada
,Poligonal Treboada";140436;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140508;ES1130002.0004;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;28259.6173514
Chandrexa de Queixa;"Poligonal Parque Treboada
,Poligonal Treboada";140437;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140512;ES1130002.0004;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;28259.6173514
Chandrexa de Queixa;"Poligonal Parque Treboada
,Poligonal Treboada";140442;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140522;ES1130002.0007;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;43619.7952201
Chandrexa de Queixa;"Poligonal Parque Treboada
,Poligonal Treboada";140446;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140520;ES1130002.0007;1.0;S;4030;4030;;Queirogais secos europeos;43619.7952201
Chandrexa de Queixa;"Poligonal Parque Treboada
,Poligonal Treboada";140474;81118;ES1130002.0019;UA710;0.931907812509;UA700;1566.84070109;140551;ES1130002.0019;1.0;S;6410;6410;;Prados con Molinia;1566.84070109
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140622;81172;ES1130002.0073;UA540;8.17918437494;UA500;3453.09407632;140699;ES1130002.0073;1.0;V;6520;6520;;Prados de sega de montaña;3453.09407632
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140623;81172;ES1130002.0073;UA540;8.17918437494;UA500;3453.09407632;140700;ES1130002.0073;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3453.09407632
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140624;81172;ES1130002.0073;UA540;8.17918437494;UA500;3453.09407632;140701;ES1130002.0073;1.0;S;6410;6410;;Prados con Molinia;3453.09407632
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140632;81177;ES1130002.0078;UA310;35.9138659454;UA300;5442.71620268;140709;ES1130002.0078;5.0;P;4030;4030;;Queirogais secos europeos;5442.71620268
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140633;81177;ES1130002.0078;UA310;35.9138659454;UA300;5442.71620268;140710;ES1130002.0078;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;5442.71620268
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140634;81177;ES1130002.0078;UA310;35.9138659454;UA300;5442.71620268;140711;ES1130002.0078;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5442.71620268
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140635;81177;ES1130002.0078;UA310;35.9138659454;UA300;5442.71620268;140712;ES1130002.0078;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5442.71620268
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140636;81177;ES1130002.0078;UA310;35.9138659454;UA300;5442.71620268;140713;ES1130002.0078;1.0;S;3260;3260;;Ríos dos pisos basal a montano;5442.71620268
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140645;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140726;ES1130002.0083;1.0;S;4030;4030;;Queirogais secos europeos;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140646;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140729;ES1130002.0083;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140647;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140728;ES1130002.0083;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140648;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140727;ES1130002.0083;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140649;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140725;ES1130002.0083;1.0;S;6410;6410;;Prados con Molinia;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140650;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140724;ES1130002.0083;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140651;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140722;ES1130002.0083;1.0;V;6520;6520;;Prados de sega de montaña;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140652;81182;ES1130002.0083;UA540;11.9690656993;UA500;2669.19949078;140723;ES1130002.0083;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2669.19949078
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140716;81208;ES1130002.0109;UA540;2.57208593751;UA500;851.38637086;140794;ES1130002.0109;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;851.38637086
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140717;81208;ES1130002.0109;UA540;2.57208593751;UA500;851.38637086;140795;ES1130002.0109;1.0;S;6410;6410;;Prados con Molinia;851.38637086
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140718;81208;ES1130002.0109;UA540;2.57208593751;UA500;851.38637086;140793;ES1130002.0109;1.0;V;6520;6520;;Prados de sega de montaña;851.38637086
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140725;81212;ES1130002.0113;UA310;11.8663547212;UA300;1533.3240398;140802;ES1130002.0113;5.0;P;4030;4030;;Queirogais secos europeos;1533.3240398
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140726;81212;ES1130002.0113;UA310;11.8663547212;UA300;1533.3240398;140803;ES1130002.0113;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1533.3240398
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140727;81212;ES1130002.0113;UA310;11.8663547212;UA300;1533.3240398;140804;ES1130002.0113;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1533.3240398
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140728;81212;ES1130002.0113;UA310;11.8663547212;UA300;1533.3240398;140805;ES1130002.0113;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1533.3240398
Chandrexa de Queixa;Poligonal PE XESTEIRÓN;140729;81212;ES1130002.0113;UA310;11.8663547212;UA300;1533.3240398;140806;ES1130002.0113;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1533.3240398
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140432;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140514;ES1130002.0004;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;28259.6173514
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140433;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140513;ES1130002.0004;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;28259.6173514
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140434;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140511;ES1130002.0004;1.0;S;4030;4030;;Queirogais secos europeos;28259.6173514
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140440;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140521;ES1130002.0007;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;43619.7952201
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140441;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140523;ES1130002.0007;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;43619.7952201
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140443;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140517;ES1130002.0007;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;43619.7952201
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140444;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140518;ES1130002.0007;1.0;S;3260;3260;;Ríos dos pisos basal a montano;43619.7952201
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140445;81106;ES1130002.0007;UA411;315.533645186;UA400;43619.7952201;140519;ES1130002.0007;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;43619.7952201
Chandrexa de Queixa;"Poligonal Treboada,Poligonal Parque Treboada
";140473;81118;ES1130002.0019;UA710;0.931907812509;UA700;1566.84070109;140550;ES1130002.0019;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1566.84070109
