concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87847;58299;ES1120008.0006;UA220;1.74924928885;UA200;10450.2118231;87915;ES1120008.0006;5.0;P;3260;3260;;Ríos dos pisos basal a montano;10450.2118231
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87848;58299;ES1120008.0006;UA220;1.74924928885;UA200;10450.2118231;87916;ES1120008.0006;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10450.2118231
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87849;58299;ES1120008.0006;UA220;1.74924928885;UA200;10450.2118231;87917;ES1120008.0006;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10450.2118231
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87865;58318;ES1120008.0012;UA220;0.684807056764;UA200;4571.38296947;87933;ES1120008.0012;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4571.38296947
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87866;58318;ES1120008.0012;UA220;0.684807056764;UA200;4571.38296947;87934;ES1120008.0012;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4571.38296947
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87867;58318;ES1120008.0012;UA220;0.684807056764;UA200;4571.38296947;87935;ES1120008.0012;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4571.38296947
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87907;57996;ES1120008.0033;UA422;1.33052784529;UA400;846.409653561;87975;ES1120008.0033;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;846.409653561
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87988;58064;ES1120008.0078;UA320;5.21639845852;UA300;1076.6955568;88056;ES1120008.0078;5.0;V;4030;4030;;Queirogais secos europeos;1076.6955568
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87989;58078;ES1120008.0079;UA411;94.0830178796;UA400;12529.978596;88057;ES1120008.0079;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;12529.978596
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87990;58078;ES1120008.0079;UA411;94.0830178796;UA400;12529.978596;88058;ES1120008.0079;1.0;S;3260;3260;;Ríos dos pisos basal a montano;12529.978596
Chantada;Parque Eólico Chantada,Parque Eólico Chantada;87991;58078;ES1120008.0079;UA411;94.0830178796;UA400;12529.978596;88059;ES1120008.0079;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;12529.978596
