concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Coristanco;P. E. Alto Torreiro,P.E. Bustelo - Baralláns,Parque Eólico Silvarredonda;32590;27134;ES1110015.0187;UA220;5.50728400508;UA200;18360.4633198;32658;ES1110015.0187;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;18360.4633198
Coristanco;Parque Eólico Silvarredonda;32427;27052;ES1110015.0095;UA531;0.68377387939;UA500;451.186504825;32495;ES1110015.0095;1.0;V;6510;6510;;Prados de sega de baixa altitude;451.186504825
Coristanco;Parque Eólico Silvarredonda;32428;27052;ES1110015.0095;UA531;0.68377387939;UA500;451.186504825;32496;ES1110015.0095;1.0;S;6410;6410;;Prados con Molinia;451.186504825
Coristanco;Parque Eólico Silvarredonda;32474;27071;ES1110015.0123;UA531;0.580574815443;UA500;600.60125001;32542;ES1110015.0123;5.0;V;6510;6510;;Prados de sega de baixa altitude;600.60125001
Coristanco;Parque Eólico Silvarredonda;32475;27071;ES1110015.0123;UA531;0.580574815443;UA500;600.60125001;32543;ES1110015.0123;1.0;S;6410;6410;;Prados con Molinia;600.60125001
Coristanco;Parque Eólico Silvarredonda;32476;27072;ES1110015.0124;UA531;2.37196352276;UA500;911.195629757;32544;ES1110015.0124;5.0;V;6510;6510;;Prados de sega de baixa altitude;911.195629757
Coristanco;Parque Eólico Silvarredonda;32477;27072;ES1110015.0124;UA531;2.37196352276;UA500;911.195629757;32545;ES1110015.0124;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;911.195629757
Coristanco;Parque Eólico Silvarredonda;32478;27072;ES1110015.0124;UA531;2.37196352276;UA500;911.195629757;32546;ES1110015.0124;1.0;S;6410;6410;;Prados con Molinia;911.195629757
Coristanco;Parque Eólico Silvarredonda;32479;27073;ES1110015.0125;UA320;1.38010428331;UA300;890.289329599;32548;ES1110015.0125;1.0;V;4030;4030;;Queirogais secos europeos;890.289329599
Coristanco;Parque Eólico Silvarredonda;32480;27073;ES1110015.0125;UA320;1.38010428331;UA300;890.289329599;32549;ES1110015.0125;1.0;V;4030;4030;;Queirogais secos europeos;890.289329599
Coristanco;Parque Eólico Silvarredonda;32481;27073;ES1110015.0125;UA320;1.38010428331;UA300;890.289329599;32547;ES1110015.0125;5.0;V;4030;4030;;Queirogais secos europeos;890.289329599
Coristanco;Parque Eólico Silvarredonda;32482;27073;ES1110015.0125;UA320;1.38010428331;UA300;890.289329599;32550;ES1110015.0125;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;890.289329599
Coristanco;Parque Eólico Silvarredonda;32489;27078;ES1110015.0130;UA320;0.699557813239;UA300;620.022221315;32559;ES1110015.0130;1.0;V;4030;4030;;Queirogais secos europeos;620.022221315
Coristanco;Parque Eólico Silvarredonda;32490;27078;ES1110015.0130;UA320;0.699557813239;UA300;620.022221315;32557;ES1110015.0130;5.0;V;4030;4030;;Queirogais secos europeos;620.022221315
Coristanco;Parque Eólico Silvarredonda;32491;27078;ES1110015.0130;UA320;0.699557813239;UA300;620.022221315;32558;ES1110015.0130;1.0;V;4030;4030;;Queirogais secos europeos;620.022221315
Coristanco;Parque Eólico Silvarredonda;32492;27079;ES1110015.0131;UA320;0.921369511478;UA300;504.560230044;32560;ES1110015.0131;5.0;V;4030;4030;;Queirogais secos europeos;504.560230044
