concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Cospeito;Poligonal Boura,Poligonal RULINHA;82508;51606;ES1120003.8363;UA220;4.80591274749;UA200;48027.1592227;82576;ES1120003.8363;1.0;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);48027.1592227
Cospeito;Poligonal Boura,Poligonal RULINHA;82510;51606;ES1120003.8363;UA220;4.80591274749;UA200;48027.1592227;82578;ES1120003.8363;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;48027.1592227
Cospeito;Poligonal Boura,Poligonal RULINHA;82531;51560;ES1120003.8370;UA220;1.52237198381;UA200;15262.3572658;82599;ES1120003.8370;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;15262.3572658
Cospeito;Poligonal Boura,Poligonal RULINHA;82660;50783;ES1120003.8768;UA220;1.55985388244;UA200;15599.350769;82728;ES1120003.8768;5.0;P;3260;3260;;Ríos dos pisos basal a montano;15599.350769
Cospeito;Poligonal Boura,Poligonal RULINHA;82662;50783;ES1120003.8768;UA220;1.55985388244;UA200;15599.350769;82730;ES1120003.8768;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;15599.350769
Cospeito;Poligonal RULINHA,Poligonal Boura;82507;51606;ES1120003.8363;UA220;4.80591274749;UA200;48027.1592227;82575;ES1120003.8363;5.0;P;3260;3260;;Ríos dos pisos basal a montano;48027.1592227
Cospeito;Poligonal RULINHA,Poligonal Boura;82509;51606;ES1120003.8363;UA220;4.80591274749;UA200;48027.1592227;82577;ES1120003.8363;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;48027.1592227
Cospeito;Poligonal RULINHA,Poligonal Boura;82530;51560;ES1120003.8370;UA220;1.52237198381;UA200;15262.3572658;82598;ES1120003.8370;5.0;P;3260;3260;;Ríos dos pisos basal a montano;15262.3572658
Cospeito;Poligonal RULINHA,Poligonal Boura;82532;51560;ES1120003.8370;UA220;1.52237198381;UA200;15262.3572658;82600;ES1120003.8370;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;15262.3572658
Cospeito;Poligonal RULINHA,Poligonal Boura;82661;50783;ES1120003.8768;UA220;1.55985388244;UA200;15599.350769;82729;ES1120003.8768;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;15599.350769
