concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22867;20721;ES1110008.0017;UA531;1.4364932947;UA500;509.7776469;22935;ES1110008.0017;3.0;V;6510;6510;;Prados de sega de baixa altitude;509.7776469
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22868;20721;ES1110008.0017;UA531;1.4364932947;UA500;509.7776469;22936;ES1110008.0017;1.0;S;6410;6410;;Prados con Molinia;509.7776469
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22869;20673;ES1110008.0018;UA531;0.40017444449;UA500;415.599829065;22937;ES1110008.0018;3.0;V;6510;6510;;Prados de sega de baixa altitude;415.599829065
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22870;20673;ES1110008.0018;UA531;0.40017444449;UA500;415.599829065;22938;ES1110008.0018;1.0;S;6410;6410;;Prados con Molinia;415.599829065
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22875;20297;ES1110008.0024;UA320;2.14746821248;UA300;1244.78689357;22943;ES1110008.0024;5.0;V;4030;4030;;Queirogais secos europeos;1244.78689357
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22876;20297;ES1110008.0024;UA320;2.14746821248;UA300;1244.78689357;22947;ES1110008.0024;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1244.78689357
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22877;20297;ES1110008.0024;UA320;2.14746821248;UA300;1244.78689357;22946;ES1110008.0024;1.0;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1244.78689357
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22878;20297;ES1110008.0024;UA320;2.14746821248;UA300;1244.78689357;22945;ES1110008.0024;1.0;S;7140;7140;;Turbeiras de transición e inllós;1244.78689357
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22879;20297;ES1110008.0024;UA320;2.14746821248;UA300;1244.78689357;22944;ES1110008.0024;1.0;S;7110*;7110;X;Turbeiras altas activas;1244.78689357
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22882;20299;ES1110008.0027;UA320;1.2520188625;UA300;569.992580805;22954;ES1110008.0027;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;569.992580805
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22883;20299;ES1110008.0027;UA320;1.2520188625;UA300;569.992580805;22950;ES1110008.0027;5.0;V;4030;4030;;Queirogais secos europeos;569.992580805
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22884;20299;ES1110008.0027;UA320;1.2520188625;UA300;569.992580805;22951;ES1110008.0027;1.0;S;7110*;7110;X;Turbeiras altas activas;569.992580805
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22885;20299;ES1110008.0027;UA320;1.2520188625;UA300;569.992580805;22952;ES1110008.0027;1.0;S;7140;7140;;Turbeiras de transición e inllós;569.992580805
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22886;20299;ES1110008.0027;UA320;1.2520188625;UA300;569.992580805;22953;ES1110008.0027;1.0;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;569.992580805
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22889;20303;ES1110008.0033;UA531;14.6677797825;UA500;4127.4831468;22957;ES1110008.0033;3.0;V;6510;6510;;Prados de sega de baixa altitude;4127.4831468
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22890;20303;ES1110008.0033;UA531;14.6677797825;UA500;4127.4831468;22958;ES1110008.0033;1.0;S;6410;6410;;Prados con Molinia;4127.4831468
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22891;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22964;ES1110008.0034;1.0;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22892;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22966;ES1110008.0034;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22893;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22960;ES1110008.0034;5.0;V;4030;4030;;Queirogais secos europeos;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22894;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22965;ES1110008.0034;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22895;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22967;ES1110008.0034;1.0;S;6510;6510;;Prados de sega de baixa altitude;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22896;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22963;ES1110008.0034;1.0;S;7140;7140;;Turbeiras de transición e inllós;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22897;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22961;ES1110008.0034;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22898;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22959;ES1110008.0034;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22899;21808;ES1110008.0034;UA320;503.726942412;UA300;38597.4804219;22962;ES1110008.0034;1.0;S;7110*;7110;X;Turbeiras altas activas;38597.4804219
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22925;20745;ES1110008.0054;UA631;42.6733528432;UA600;8496.13227449;22993;ES1110008.0054;2.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;8496.13227449
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22926;20745;ES1110008.0054;UA631;42.6733528432;UA600;8496.13227449;22994;ES1110008.0054;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;8496.13227449
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22927;20745;ES1110008.0054;UA631;42.6733528432;UA600;8496.13227449;22995;ES1110008.0054;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;8496.13227449
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22940;20749;ES1110008.0063;UA531;1.68060025914;UA500;845.196383511;23009;ES1110008.0063;1.0;S;6410;6410;;Prados con Molinia;845.196383511
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22941;20749;ES1110008.0063;UA531;1.68060025914;UA500;845.196383511;23008;ES1110008.0063;3.0;V;6510;6510;;Prados de sega de baixa altitude;845.196383511
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22945;20743;ES1110008.0067;UA420;7.63374443369;UA400;2148.58113909;23013;ES1110008.0067;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2148.58113909
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22946;20743;ES1110008.0067;UA420;7.63374443369;UA400;2148.58113909;23014;ES1110008.0067;1.0;S;6510;6510;;Prados de sega de baixa altitude;2148.58113909
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22949;20316;ES1110008.0072;UA531;1.21924556499;UA500;1001.99025461;23017;ES1110008.0072;3.0;V;6510;6510;;Prados de sega de baixa altitude;1001.99025461
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22950;20316;ES1110008.0072;UA531;1.21924556499;UA500;1001.99025461;23018;ES1110008.0072;1.0;S;6410;6410;;Prados con Molinia;1001.99025461
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22953;20319;ES1110008.0076;UA531;1.24660103;UA500;557.633982516;23021;ES1110008.0076;3.0;V;6510;6510;;Prados de sega de baixa altitude;557.633982516
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22954;20319;ES1110008.0076;UA531;1.24660103;UA500;557.633982516;23022;ES1110008.0076;1.0;S;6410;6410;;Prados con Molinia;557.633982516
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22969;20328;ES1110008.0089;UA531;2.01247237565;UA500;1102.61875346;23037;ES1110008.0089;3.0;V;6510;6510;;Prados de sega de baixa altitude;1102.61875346
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22970;20328;ES1110008.0089;UA531;2.01247237565;UA500;1102.61875346;23038;ES1110008.0089;1.0;S;6410;6410;;Prados con Molinia;1102.61875346
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22971;20741;ES1110008.0092;UA531;4.8715644537;UA500;1594.36628875;23039;ES1110008.0092;3.0;V;6510;6510;;Prados de sega de baixa altitude;1594.36628875
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22972;20741;ES1110008.0092;UA531;4.8715644537;UA500;1594.36628875;23040;ES1110008.0092;1.0;S;6410;6410;;Prados con Molinia;1594.36628875
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22973;20330;ES1110008.0093;UA320;8.68121178004;UA300;2171.63440384;23045;ES1110008.0093;1.0;S;7140;7140;;Turbeiras de transición e inllós;2171.63440384
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22974;20330;ES1110008.0093;UA320;8.68121178004;UA300;2171.63440384;23047;ES1110008.0093;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2171.63440384
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22975;20330;ES1110008.0093;UA320;8.68121178004;UA300;2171.63440384;23046;ES1110008.0093;1.0;S;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2171.63440384
Dumbría;Parque Eólico Paxareiras II-D,Parque Eólico Paxareiras II-D;22976;20330;ES1110008.0093;UA320;8.68121178004;UA300;2171.63440384;23043;ES1110008.0093;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2171.63440384
