concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Estrada, A;OUTEIRO GRANDE;195180;117145;ES1140008.0154;UA220;0.0152455056168;UA200;84.2814794981;195190;ES1140008.0154;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;84.2814794981
Estrada, A;OUTEIRO GRANDE;195181;117145;ES1140008.0154;UA220;0.0152455056168;UA200;84.2814794981;195191;ES1140008.0154;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;84.2814794981
Estrada, A;OUTEIRO GRANDE;195182;117145;ES1140008.0154;UA220;0.0152455056168;UA200;84.2814794981;195189;ES1140008.0154;5.0;P;3260;3260;;Ríos dos pisos basal a montano;84.2814794981
Estrada, A;OUTEIRO GRANDE;195705;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195714;ES1140008.0531;1.0;V;6510;6510;;Prados de sega de baixa altitude;3875.38093433
Estrada, A;OUTEIRO GRANDE;195706;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195717;ES1140008.0531;1.0;S;4030;4030;;Queirogais secos europeos;3875.38093433
Estrada, A;OUTEIRO GRANDE;195707;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195715;ES1140008.0531;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3875.38093433
Estrada, A;OUTEIRO GRANDE;195708;116832;ES1140008.0531;UA531;12.6314381758;UA500;3875.38093433;195716;ES1140008.0531;1.0;S;6410;6410;;Prados con Molinia;3875.38093433
Estrada, A;OUTEIRO GRANDE;196971;117224;ES1140008.0909;UA531;0.276119815727;UA500;257.752497915;196980;ES1140008.0909;5.0;V;6510;6510;;Prados de sega de baixa altitude;257.752497915
Estrada, A;OUTEIRO GRANDE;196972;117224;ES1140008.0909;UA531;0.276119815727;UA500;257.752497915;196981;ES1140008.0909;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;257.752497915
Estrada, A;OUTEIRO GRANDE;196973;117224;ES1140008.0909;UA531;0.276119815727;UA500;257.752497915;196982;ES1140008.0909;1.0;S;6410;6410;;Prados con Molinia;257.752497915
Estrada, A;OUTEIRO GRANDE;196974;117223;ES1140008.0910;UA531;0.733396797788;UA500;506.014017803;196983;ES1140008.0910;5.0;V;6510;6510;;Prados de sega de baixa altitude;506.014017803
Estrada, A;OUTEIRO GRANDE;197124;117438;ES1140008.0979;UA530;6.40342856433;UA500;1794.81878262;197137;ES1140008.0979;1.0;S;6410;6410;;Prados con Molinia;1794.81878262
Estrada, A;OUTEIRO GRANDE;197125;117438;ES1140008.0979;UA530;6.40342856433;UA500;1794.81878262;197133;ES1140008.0979;2.0;V;6510;6510;;Prados de sega de baixa altitude;1794.81878262
Estrada, A;OUTEIRO GRANDE;197126;117438;ES1140008.0979;UA530;6.40342856433;UA500;1794.81878262;197134;ES1140008.0979;2.0;V;6510;6510;;Prados de sega de baixa altitude;1794.81878262
Estrada, A;OUTEIRO GRANDE;197127;117438;ES1140008.0979;UA530;6.40342856433;UA500;1794.81878262;197135;ES1140008.0979;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1794.81878262
Estrada, A;OUTEIRO GRANDE;197128;117438;ES1140008.0979;UA530;6.40342856433;UA500;1794.81878262;197136;ES1140008.0979;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1794.81878262
Estrada, A;OUTEIRO GRANDE;197274;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197287;ES1140008.1043;1.0;S;6410;6410;;Prados con Molinia;875.386475592
Estrada, A;OUTEIRO GRANDE;197275;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197290;ES1140008.1043;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;875.386475592
Estrada, A;OUTEIRO GRANDE;197276;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197288;ES1140008.1043;1.0;S;4030;4030;;Queirogais secos europeos;875.386475592
Estrada, A;OUTEIRO GRANDE;197277;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197286;ES1140008.1043;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;875.386475592
Estrada, A;OUTEIRO GRANDE;197278;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197285;ES1140008.1043;1.0;S;3260;3260;;Ríos dos pisos basal a montano;875.386475592
Estrada, A;OUTEIRO GRANDE;197279;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197284;ES1140008.1043;2.0;V;6510;6510;;Prados de sega de baixa altitude;875.386475592
Estrada, A;OUTEIRO GRANDE;197280;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197283;ES1140008.1043;2.0;V;6510;6510;;Prados de sega de baixa altitude;875.386475592
Estrada, A;OUTEIRO GRANDE;197281;117468;ES1140008.1043;UA532;3.56370092637;UA500;875.386475592;197289;ES1140008.1043;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;875.386475592
Estrada, A;OUTEIRO GRANDE;197345;117221;ES1140008.1072;UA530;1.97938384671;UA500;584.132463907;197354;ES1140008.1072;2.0;V;6510;6510;;Prados de sega de baixa altitude;584.132463907
Estrada, A;OUTEIRO GRANDE;197346;117221;ES1140008.1072;UA530;1.97938384671;UA500;584.132463907;197355;ES1140008.1072;2.0;V;6510;6510;;Prados de sega de baixa altitude;584.132463907
Estrada, A;OUTEIRO GRANDE;197347;117221;ES1140008.1072;UA530;1.97938384671;UA500;584.132463907;197356;ES1140008.1072;1.0;S;3260;3260;;Ríos dos pisos basal a montano;584.132463907
Estrada, A;OUTEIRO GRANDE;197348;117221;ES1140008.1072;UA530;1.97938384671;UA500;584.132463907;197357;ES1140008.1072;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;584.132463907
Estrada, A;OUTEIRO GRANDE;197349;117221;ES1140008.1072;UA530;1.97938384671;UA500;584.132463907;197358;ES1140008.1072;1.0;S;6410;6410;;Prados con Molinia;584.132463907
Estrada, A;OUTEIRO GRANDE,Parque Eólico Couto de San Sebastián,Parque Eólico Couto de San Sebastián;181389;106765;ES1140001.1469;UA220;48.441221306;UA200;153723.690547;181466;ES1140001.1469;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;153723.690547
Estrada, A;OUTEIRO GRANDE,Parque Eólico Couto de San Sebastián,Parque Eólico Couto de San Sebastián;195174;117144;ES1140008.0085;UA220;0.0956989221702;UA200;487.622219592;195183;ES1140008.0085;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;487.622219592
Estrada, A;OUTEIRO GRANDE,Parque Eólico Couto de San Sebastián,Parque Eólico Couto de San Sebastián;195229;116978;ES1140008.0364;UA630;21.8995480563;UA600;4376.28838359;195238;ES1140008.0364;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4376.28838359
Estrada, A;OUTEIRO GRANDE,Parque Eólico Couto de San Sebastián,Parque Eólico Couto de San Sebastián;195315;117034;ES1140008.0391;UA420;4.92858121503;UA400;1631.9088427;195327;ES1140008.0391;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1631.9088427
Estrada, A;OUTEIRO GRANDE,Parque Eólico Couto de San Sebastián,Parque Eólico Couto de San Sebastián;195317;117034;ES1140008.0391;UA420;4.92858121503;UA400;1631.9088427;195326;ES1140008.0391;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1631.9088427
Estrada, A;OUTEIRO GRANDE,Parque Eólico Couto de San Sebastián,Parque Eólico Couto de San Sebastián;195351;116753;ES1140008.0405;UA420;2.73453117822;UA400;870.781378381;195363;ES1140008.0405;1.0;S;4030;4030;;Queirogais secos europeos;870.781378381
Estrada, A;OUTEIRO GRANDE,Parque Eólico Couto de San Sebastián,Parque Eólico Couto de San Sebastián;195378;116757;ES1140008.0415;UA420;0.877076654965;UA400;556.462856095;195386;ES1140008.0415;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;556.462856095
