concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Folgoso do Courel;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;68575;39529;Es1120001.6668;UA540;83.4804914132;UA500;12540.2681172;68643;Es1120001.6668;1.0;S;6410;6410;;Prados con Molinia;12540.2681172
Folgoso do Courel;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;68578;39529;Es1120001.6668;UA540;83.4804914132;UA500;12540.2681172;68646;Es1120001.6668;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;12540.2681172
Folgoso do Courel;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);68541;39525;Es1120001.6664;UA540;47.2403037792;UA500;9341.20681986;68615;Es1120001.6664;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;9341.20681986
Folgoso do Courel;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);68545;39525;Es1120001.6664;UA540;47.2403037792;UA500;9341.20681986;68610;Es1120001.6664;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9341.20681986
Folgoso do Courel;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);68572;39529;Es1120001.6668;UA540;83.4804914132;UA500;12540.2681172;68640;Es1120001.6668;3.0;V;6520;6520;;Prados de sega de montaña;12540.2681172
Folgoso do Courel;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);68576;39529;Es1120001.6668;UA540;83.4804914132;UA500;12540.2681172;68644;Es1120001.6668;1.0;S;4030;4030;;Queirogais secos europeos;12540.2681172
Folgoso do Courel;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;68540;39525;Es1120001.6664;UA540;47.2403037792;UA500;9341.20681986;68609;Es1120001.6664;2.0;V;6510;6510;;Prados de sega de baixa altitude;9341.20681986
Folgoso do Courel;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;68542;39525;Es1120001.6664;UA540;47.2403037792;UA500;9341.20681986;68614;Es1120001.6664;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9341.20681986
Folgoso do Courel;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;68543;39525;Es1120001.6664;UA540;47.2403037792;UA500;9341.20681986;68613;Es1120001.6664;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9341.20681986
Folgoso do Courel;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;68544;39525;Es1120001.6664;UA540;47.2403037792;UA500;9341.20681986;68612;Es1120001.6664;1.0;S;4030;4030;;Queirogais secos europeos;9341.20681986
Folgoso do Courel;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;68574;39529;Es1120001.6668;UA540;83.4804914132;UA500;12540.2681172;68642;Es1120001.6668;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;12540.2681172
