concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Frades;Poligonal Brancellao;34541;29242;ES1110016.0776;UA530;1.27874223827;UA500;514.154944789;34610;ES1110016.0776;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;514.154944789
Frades;Poligonal Brancellao;34542;29242;ES1110016.0776;UA530;1.27874223827;UA500;514.154944789;34611;ES1110016.0776;1.0;S;6410;6410;;Prados con Molinia;514.154944789
Frades;Poligonal Brancellao;34543;29242;ES1110016.0776;UA530;1.27874223827;UA500;514.154944789;34609;ES1110016.0776;5.0;V;6510;6510;;Prados de sega de baixa altitude;514.154944789
Frades;Poligonal Brancellao;34548;29593;ES1110016.0780;UA530;14.1319688493;UA500;2637.30865116;34616;ES1110016.0780;4.0;V;6510;6510;;Prados de sega de baixa altitude;2637.30865116
Frades;Poligonal Brancellao;34549;28580;ES1110016.0782;UA260;0.412686561605;UA200;648.307646075;34619;ES1110016.0782;2.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;648.307646075
Frades;Poligonal Brancellao;34550;28580;ES1110016.0782;UA260;0.412686561605;UA200;648.307646075;34618;ES1110016.0782;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;648.307646075
Frades;Poligonal Brancellao;34551;28580;ES1110016.0782;UA260;0.412686561605;UA200;648.307646075;34617;ES1110016.0782;4.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;648.307646075
Frades;Poligonal Brancellao;34552;31290;ES1110016.0784;UA532;24.2232102027;UA500;4426.81715391;34621;ES1110016.0784;1.0;V;6510;6510;;Prados de sega de baixa altitude;4426.81715391
Frades;Poligonal Brancellao;34553;31290;ES1110016.0784;UA532;24.2232102027;UA500;4426.81715391;34622;ES1110016.0784;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4426.81715391
Frades;Poligonal Brancellao;34554;31290;ES1110016.0784;UA532;24.2232102027;UA500;4426.81715391;34620;ES1110016.0784;4.0;V;6510;6510;;Prados de sega de baixa altitude;4426.81715391
Frades;Poligonal Brancellao;34555;30507;ES1110016.0785;UA530;4.86925550136;UA500;1854.20887869;34623;ES1110016.0785;1.0;S;4030;4030;;Queirogais secos europeos;1854.20887869
Frades;Poligonal Brancellao;34556;31559;ES1110016.0787;UA220;1.15392269593;UA200;3857.42202208;34624;ES1110016.0787;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3857.42202208
Frades;Poligonal Brancellao;34557;31559;ES1110016.0787;UA220;1.15392269593;UA200;3857.42202208;34625;ES1110016.0787;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3857.42202208
Frades;Poligonal Brancellao;34558;31559;ES1110016.0787;UA220;1.15392269593;UA200;3857.42202208;34626;ES1110016.0787;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3857.42202208
Frades;Poligonal Brancellao;34560;29599;ES1110016.0793;UA530;3.10786265388;UA500;919.179266087;34628;ES1110016.0793;4.0;V;6510;6510;;Prados de sega de baixa altitude;919.179266087
Frades;Poligonal Brancellao;34561;30503;ES1110016.0794;UA530;15.6942529631;UA500;2665.30737305;34629;ES1110016.0794;4.0;V;6510;6510;;Prados de sega de baixa altitude;2665.30737305
