concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Guitiriz;"Poligonal P.E MISTRAL
";78915;48549;ES1120003.5718;UA320;14.5048479021;UA300;2393.4932773;78986;ES1120003.5718;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2393.4932773
Guitiriz;"Poligonal P.E MISTRAL
";78916;48549;ES1120003.5718;UA320;14.5048479021;UA300;2393.4932773;78987;ES1120003.5718;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2393.4932773
Guitiriz;"Poligonal P.E MISTRAL
";78917;48549;ES1120003.5718;UA320;14.5048479021;UA300;2393.4932773;78988;ES1120003.5718;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2393.4932773
Guitiriz;"Poligonal P.E MISTRAL
";78918;48549;ES1120003.5718;UA320;14.5048479021;UA300;2393.4932773;78983;ES1120003.5718;5.0;V;4030;4030;;Queirogais secos europeos;2393.4932773
Guitiriz;"Poligonal P.E MISTRAL
";78919;48549;ES1120003.5718;UA320;14.5048479021;UA300;2393.4932773;78984;ES1120003.5718;1.0;V;4030;4030;;Queirogais secos europeos;2393.4932773
Guitiriz;"Poligonal P.E MISTRAL
";78920;48549;ES1120003.5718;UA320;14.5048479021;UA300;2393.4932773;78985;ES1120003.5718;1.0;V;4030;4030;;Queirogais secos europeos;2393.4932773
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";77653;52547;ES1120003.4830;UA220;1.23420267106;UA200;8233.83173474;77721;ES1120003.4830;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8233.83173474
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";77655;52547;ES1120003.4830;UA220;1.23420267106;UA200;8233.83173474;77722;ES1120003.4830;1.0;V;3270;3270;;Ríos de ribeiras lamacentas (Chenopodion rubri p.p. e de Bidention p.p.);8233.83173474
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";77661;52581;ES1120003.4836;UA260;5.51250872853;UA200;5792.17711122;77730;ES1120003.4836;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5792.17711122
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";82497;50836;ES1120003.8360;UA220;0.500928554567;UA200;5009.69827419;82566;ES1120003.8360;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5009.69827419
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";82499;50836;ES1120003.8360;UA220;0.500928554567;UA200;5009.69827419;82565;ES1120003.8360;5.0;P;3260;3260;;Ríos dos pisos basal a montano;5009.69827419
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";82820;50737;ES1120003.8824;UA220;0.0585503912934;UA200;399.470574755;82888;ES1120003.8824;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;399.470574755
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";82822;50736;ES1120003.8825;UA220;0.2396356423;UA200;1605.80589353;82892;ES1120003.8825;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1605.80589353
Guitiriz;"Poligonal P.E MISTRAL
,Poligonal P.E SANTUARIO";82824;50736;ES1120003.8825;UA220;0.2396356423;UA200;1605.80589353;82891;ES1120003.8825;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1605.80589353
Guitiriz;Poligonal P.E SANTUARIO;77645;50835;ES1120003.4826;UA260;3.56883001811;UA200;5029.66917036;77713;ES1120003.4826;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5029.66917036
Guitiriz;Poligonal P.E SANTUARIO;77646;50835;ES1120003.4826;UA260;3.56883001811;UA200;5029.66917036;77714;ES1120003.4826;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5029.66917036
Guitiriz;"Poligonal P.E SANTUARIO,Poligonal P.E MISTRAL
";77654;52547;ES1120003.4830;UA220;1.23420267106;UA200;8233.83173474;77724;ES1120003.4830;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8233.83173474
Guitiriz;"Poligonal P.E SANTUARIO,Poligonal P.E MISTRAL
";77656;52547;ES1120003.4830;UA220;1.23420267106;UA200;8233.83173474;77723;ES1120003.4830;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8233.83173474
Guitiriz;"Poligonal P.E SANTUARIO,Poligonal P.E MISTRAL
";77662;52581;ES1120003.4836;UA260;5.51250872853;UA200;5792.17711122;77729;ES1120003.4836;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;5792.17711122
Guitiriz;"Poligonal P.E SANTUARIO,Poligonal P.E MISTRAL
";82498;50836;ES1120003.8360;UA220;0.500928554567;UA200;5009.69827419;82567;ES1120003.8360;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5009.69827419
Guitiriz;"Poligonal P.E SANTUARIO,Poligonal P.E MISTRAL
";82819;50737;ES1120003.8824;UA220;0.0585503912934;UA200;399.470574755;82887;ES1120003.8824;5.0;P;3260;3260;;Ríos dos pisos basal a montano;399.470574755
Guitiriz;"Poligonal P.E SANTUARIO,Poligonal P.E MISTRAL
";82821;50737;ES1120003.8824;UA220;0.0585503912934;UA200;399.470574755;82889;ES1120003.8824;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;399.470574755
Guitiriz;"Poligonal P.E SANTUARIO,Poligonal P.E MISTRAL
";82823;50736;ES1120003.8825;UA220;0.2396356423;UA200;1605.80589353;82890;ES1120003.8825;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1605.80589353
Guitiriz;Poligonal PE ENTREMARCOS;82888;50793;ES1120003.8853;UA220;3.24359766901;UA200;23165.6212;82956;ES1120003.8853;5.0;P;3260;3260;;Ríos dos pisos basal a montano;23165.6212
Guitiriz;Poligonal PE ENTREMARCOS;82889;50793;ES1120003.8853;UA220;3.24359766901;UA200;23165.6212;82957;ES1120003.8853;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;23165.6212
Guitiriz;Poligonal PE ENTREMARCOS;82890;50793;ES1120003.8853;UA220;3.24359766901;UA200;23165.6212;82958;ES1120003.8853;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;23165.6212
