concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Lalín;MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco;201110;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201122;ES1140013.0470;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;183811.515035
Lalín;MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco;201112;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201118;ES1140013.0470;1.0;V;8310;8310;;Covas non explotadas polo turismo;183811.515035
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200040;119370;ES1140013.0019;UA220;0.42833187961;UA200;4285.09800982;200049;ES1140013.0019;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4285.09800982
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200041;119370;ES1140013.0019;UA220;0.42833187961;UA200;4285.09800982;200050;ES1140013.0019;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4285.09800982
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200042;119370;ES1140013.0019;UA220;0.42833187961;UA200;4285.09800982;200051;ES1140013.0019;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4285.09800982
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200048;119367;ES1140013.0022;UA220;0.181559408354;UA200;1817.07858231;200058;ES1140013.0022;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1817.07858231
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200049;119367;ES1140013.0022;UA220;0.181559408354;UA200;1817.07858231;200057;ES1140013.0022;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1817.07858231
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200053;119061;ES1140013.0024;UA220;0.407930986671;UA200;4082.43805931;200063;ES1140013.0024;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4082.43805931
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200054;119061;ES1140013.0024;UA220;0.407930986671;UA200;4082.43805931;200064;ES1140013.0024;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4082.43805931
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200055;119061;ES1140013.0024;UA220;0.407930986671;UA200;4082.43805931;200062;ES1140013.0024;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4082.43805931
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200266;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200280;ES1140013.0085;1.0;S;4030;4030;;Queirogais secos europeos;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200267;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200276;ES1140013.0085;2.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200268;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200283;ES1140013.0085;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200269;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200282;ES1140013.0085;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200270;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200281;ES1140013.0085;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200271;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200279;ES1140013.0085;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200272;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200277;ES1140013.0085;1.0;V;9380;9380;;Bosques de Ilex aquifolium;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200273;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200275;ES1140013.0085;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200274;119497;ES1140013.0085;UA411;33.7462171909;UA400;9834.84967777;200278;ES1140013.0085;1.0;S;3260;3260;;Ríos dos pisos basal a montano;9834.84967777
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200670;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200679;ES1140013.0251;1.0;V;6510;6510;;Prados de sega de baixa altitude;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200671;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200680;ES1140013.0251;1.0;S;3260;3260;;Ríos dos pisos basal a montano;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200672;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200681;ES1140013.0251;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200673;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200682;ES1140013.0251;1.0;S;6410;6410;;Prados con Molinia;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200674;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200683;ES1140013.0251;1.0;S;4030;4030;;Queirogais secos europeos;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200675;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200684;ES1140013.0251;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200676;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200685;ES1140013.0251;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200677;118917;ES1140013.0251;UA532;30.0908217344;UA500;7659.3434822;200686;ES1140013.0251;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7659.3434822
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200679;118921;ES1140013.0253;UA420;3.99093883568;UA400;1640.8340861;200688;ES1140013.0253;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1640.8340861
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200680;118923;ES1140013.0254;UA532;0.340826146707;UA500;230.75412178;200689;ES1140013.0254;1.0;V;6510;6510;;Prados de sega de baixa altitude;230.75412178
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200681;118924;ES1140013.0255;UA532;0.556593771732;UA500;299.757486275;200690;ES1140013.0255;1.0;V;6510;6510;;Prados de sega de baixa altitude;299.757486275
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200724;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200736;ES1140013.0274;1.0;S;3260;3260;;Ríos dos pisos basal a montano;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200725;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200741;ES1140013.0274;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200726;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200740;ES1140013.0274;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200727;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200739;ES1140013.0274;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200728;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200738;ES1140013.0274;1.0;S;4030;4030;;Queirogais secos europeos;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200729;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200735;ES1140013.0274;1.0;V;9380;9380;;Bosques de Ilex aquifolium;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200730;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200734;ES1140013.0274;2.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200731;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200733;ES1140013.0274;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200732;119511;ES1140013.0274;UA411;57.8998407816;UA400;7475.44049676;200737;ES1140013.0274;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7475.44049676
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200752;119518;ES1140013.0280;UA420;2.28929618509;UA400;2113.58417406;200761;ES1140013.0280;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2113.58417406
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200753;119513;ES1140013.0281;UA420;1.80713630668;UA400;1103.78743623;200762;ES1140013.0281;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1103.78743623
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200776;118995;ES1140013.0297;UA532;6.33030441593;UA500;1212.67696588;200785;ES1140013.0297;1.0;V;6510;6510;;Prados de sega de baixa altitude;1212.67696588
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200777;118995;ES1140013.0297;UA532;6.33030441593;UA500;1212.67696588;200787;ES1140013.0297;1.0;S;6410;6410;;Prados con Molinia;1212.67696588
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200778;118995;ES1140013.0297;UA532;6.33030441593;UA500;1212.67696588;200786;ES1140013.0297;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1212.67696588
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200814;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200830;ES1140013.0317;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200815;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200823;ES1140013.0317;1.0;V;6510;6510;;Prados de sega de baixa altitude;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200816;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200824;ES1140013.0317;1.0;S;3260;3260;;Ríos dos pisos basal a montano;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200817;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200825;ES1140013.0317;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200818;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200826;ES1140013.0317;1.0;S;6410;6410;;Prados con Molinia;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200819;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200827;ES1140013.0317;1.0;S;4030;4030;;Queirogais secos europeos;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200820;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200828;ES1140013.0317;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200821;119499;ES1140013.0317;UA532;64.5927827493;UA500;13669.9604429;200829;ES1140013.0317;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;13669.9604429
Lalín;Parque Eólico Ameixeira-Testeiros,Parque Eólico Ameixeira-Testeiros;200822;119005;ES1140013.0318;UA532;1.9092652655;UA500;690.711590787;200833;ES1140013.0318;1.0;S;6410;6410;;Prados con Molinia;690.711590787
