concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto;204854;120279;ES1140014.0716;UA320;324.775521105;UA300;48040.5551874;204860;ES1140014.0716;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;48040.5551874
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto;204869;120261;ES1140014.0718;UA320;1039.92754687;UA300;72026.2892567;204883;ES1140014.0718;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;72026.2892567
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto;205446;120278;ES1140014.0866;UA320;311.222895991;UA300;21902.4436578;205460;ES1140014.0866;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;21902.4436578
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto;205449;120278;ES1140014.0866;UA320;311.222895991;UA300;21902.4436578;205457;ES1140014.0866;3.0;V;4030;4030;;Queirogais secos europeos;21902.4436578
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto;205452;120278;ES1140014.0866;UA320;311.222895991;UA300;21902.4436578;205458;ES1140014.0866;2.0;V;4030;4030;;Queirogais secos europeos;21902.4436578
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204572;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204590;ES1140014.0562;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4995.63286276
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204575;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204588;ES1140014.0562;1.0;V;7140;7140;;Turbeiras de transición e inllós;4995.63286276
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204577;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204585;ES1140014.0562;1.0;V;6410;6410;;Prados con Molinia;4995.63286276
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204581;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204581;ES1140014.0562;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4995.63286276
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204851;120279;ES1140014.0716;UA320;324.775521105;UA300;48040.5551874;204863;ES1140014.0716;2.0;V;4030;4030;;Queirogais secos europeos;48040.5551874
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204857;120279;ES1140014.0716;UA320;324.775521105;UA300;48040.5551874;204862;ES1140014.0716;3.0;V;4030;4030;;Queirogais secos europeos;48040.5551874
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204872;120261;ES1140014.0718;UA320;1039.92754687;UA300;72026.2892567;204876;ES1140014.0718;3.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;72026.2892567
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204875;120261;ES1140014.0718;UA320;1039.92754687;UA300;72026.2892567;204880;ES1140014.0718;3.0;V;4030;4030;;Queirogais secos europeos;72026.2892567
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;204574;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204589;ES1140014.0562;1.0;V;3130;3130;;Augas oligotróficas ou mesotróficas;4995.63286276
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;204580;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204582;ES1140014.0562;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;4995.63286276
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;204850;120279;ES1140014.0716;UA320;324.775521105;UA300;48040.5551874;204865;ES1140014.0716;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;48040.5551874
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;204853;120279;ES1140014.0716;UA320;324.775521105;UA300;48040.5551874;204861;ES1140014.0716;1.0;V;8310;8310;;Covas non explotadas polo turismo;48040.5551874
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;204871;120261;ES1140014.0718;UA320;1039.92754687;UA300;72026.2892567;204881;ES1140014.0718;2.0;V;4030;4030;;Queirogais secos europeos;72026.2892567
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;204874;120261;ES1140014.0718;UA320;1039.92754687;UA300;72026.2892567;204877;ES1140014.0718;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;72026.2892567
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;205451;120278;ES1140014.0866;UA320;311.222895991;UA300;21902.4436578;205454;ES1140014.0866;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;21902.4436578
Lama, A;Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto,Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando;205826;120396;ES1140014.1002;UA220;0.919261577857;UA200;9193.59000932;205835;ES1140014.1002;5.0;P;3260;3260;;Ríos dos pisos basal a montano;9193.59000932
Lama, A;Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204578;120018;ES1140014.0562;UA270;23.0609786159;UA200;4995.63286276;204584;ES1140014.0562;1.0;V;7110*;7110;X;Turbeiras altas activas;4995.63286276
Lama, A;Parque Eólico Outeiro do Coto,Parque Eólico Monte Seixo-Cando,Parque Eólico Monte Seixo-Cando,Parque Eólico Outeiro do Coto;204852;120279;ES1140014.0716;UA320;324.775521105;UA300;48040.5551874;204864;ES1140014.0716;2.0;V;4030;4030;;Queirogais secos europeos;48040.5551874
