concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Laxe;Parque Eólico Pena Forcada Modificado Num1;10182;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10250;ES1110005.0091;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;5517.68928295
Laxe;Parque Eólico Pena Forcada Modificado Num1;10183;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10251;ES1110005.0091;1.0;V;1170;1170;;Arrecifes;5517.68928295
Laxe;Parque Eólico Pena Forcada Modificado Num1;10184;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10252;ES1110005.0091;1.0;V;1170;1170;;Arrecifes;5517.68928295
Laxe;Parque Eólico Pena Forcada Modificado Num1;10185;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10253;ES1110005.0091;1.0;V;8330;8330;;Furnas mariñas;5517.68928295
Laxe;Parque Eólico Pena Forcada Modificado Num1;10186;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10254;ES1110005.0091;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5517.68928295
Laxe;Parque Eólico Pena Forcada Modificado Num1;10187;11360;ES1110005.0091;UA161;7.77574883553;UA100;5517.68928295;10255;ES1110005.0091;1.0;V;7220*;7220;X;Mananciais petrificantes con formación de “tuf” (Cratoneurion);5517.68928295
Laxe;Parque Eólico Pena Forcada Modificado Num1;10810;11587;ES1110005.0326;UA240;3.10346436375;UA200;1106.23402077;10880;ES1110005.0326;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1106.23402077
Laxe;Parque Eólico Pena Forcada Modificado Num1;10811;11587;ES1110005.0326;UA240;3.10346436375;UA200;1106.23402077;10884;ES1110005.0326;1.0;V;7140;7140;;Turbeiras de transición e inllós;1106.23402077
Laxe;Parque Eólico Pena Forcada Modificado Num1;10812;11587;ES1110005.0326;UA240;3.10346436375;UA200;1106.23402077;10883;ES1110005.0326;4.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1106.23402077
Laxe;Parque Eólico Pena Forcada Modificado Num1;10813;11587;ES1110005.0326;UA240;3.10346436375;UA200;1106.23402077;10882;ES1110005.0326;1.0;V;6410;6410;;Prados con Molinia;1106.23402077
Laxe;Parque Eólico Pena Forcada Modificado Num1;10814;11587;ES1110005.0326;UA240;3.10346436375;UA200;1106.23402077;10879;ES1110005.0326;2.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1106.23402077
Laxe;Parque Eólico Pena Forcada Modificado Num1;10815;11587;ES1110005.0326;UA240;3.10346436375;UA200;1106.23402077;10878;ES1110005.0326;5.0;P;7110*;7110;X;Turbeiras altas activas;1106.23402077
Laxe;Parque Eólico Pena Forcada Modificado Num1;10816;11587;ES1110005.0326;UA240;3.10346436375;UA200;1106.23402077;10881;ES1110005.0326;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1106.23402077
Laxe;Parque Eólico Pena Forcada Modificado Num1;10817;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10888;ES1110005.0327;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4072.22657183
Laxe;Parque Eólico Pena Forcada Modificado Num1;10818;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10885;ES1110005.0327;5.0;P;4030;4030;;Queirogais secos europeos;4072.22657183
Laxe;Parque Eólico Pena Forcada Modificado Num1;10819;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10886;ES1110005.0327;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;4072.22657183
Laxe;Parque Eólico Pena Forcada Modificado Num1;10820;11588;ES1110005.0327;UA162;18.0138049346;UA100;4072.22657183;10887;ES1110005.0327;5.0;V;4030;4030;;Queirogais secos europeos;4072.22657183
Laxe;Parque Eólico Pena Forcada Modificado Num1;10821;11589;ES1110005.0328;UA162;1.10710703124;UA100;702.038831807;10891;ES1110005.0328;5.0;V;4030;4030;;Queirogais secos europeos;702.038831807
Laxe;Parque Eólico Pena Forcada Modificado Num1;10822;11589;ES1110005.0328;UA162;1.10710703124;UA100;702.038831807;10889;ES1110005.0328;5.0;P;4030;4030;;Queirogais secos europeos;702.038831807
Laxe;Parque Eólico Pena Forcada Modificado Num1;10823;11589;ES1110005.0328;UA162;1.10710703124;UA100;702.038831807;10890;ES1110005.0328;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;702.038831807
Laxe;Parque Eólico Pena Forcada Modificado Num1;10824;11590;ES1110005.0329;UA162;19.6662265625;UA100;6728.15528355;10892;ES1110005.0329;5.0;P;4030;4030;;Queirogais secos europeos;6728.15528355
Laxe;Parque Eólico Pena Forcada Modificado Num1;10825;11590;ES1110005.0329;UA162;19.6662265625;UA100;6728.15528355;10893;ES1110005.0329;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;6728.15528355
Laxe;Parque Eólico Pena Forcada Modificado Num1;10826;11590;ES1110005.0329;UA162;19.6662265625;UA100;6728.15528355;10894;ES1110005.0329;5.0;V;4030;4030;;Queirogais secos europeos;6728.15528355
Laxe;Parque Eólico Pena Forcada Modificado Num1;10827;11590;ES1110005.0329;UA162;19.6662265625;UA100;6728.15528355;10895;ES1110005.0329;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6728.15528355
Laxe;Parque Eólico Pena Forcada Modificado Num1;11062;11656;ES1110005.0397;UA120;0.24493798089;UA100;491.862599679;11130;ES1110005.0397;5.0;P;1130;1130;;Esteiros;491.862599679
Laxe;Parque Eólico Pena Forcada Modificado Num1;11378;11777;ES1110005.0532;UA150;22.5628390216;UA100;4917.70189589;11447;ES1110005.0532;1.0;V;1210;1210;;Vexetación anual sobre argazos;4917.70189589
Laxe;Parque Eólico Pena Forcada Modificado Num1;11379;11777;ES1110005.0532;UA150;22.5628390216;UA100;4917.70189589;11446;ES1110005.0532;5.0;P;1140;1140;;Chairas lamacentas ou areosas non cubertos pola auga na baixamar;4917.70189589
