concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Laza;Poligonal P.E FIAL DAS CORZAS;142836;81968;ES1130002.0871;UA630;26.3162140625;UA600;3202.661523;142913;ES1130002.0871;1.0;S;4030;4030;;Queirogais secos europeos;3202.661523
Laza;Poligonal P.E FIAL DAS CORZAS;142878;81982;ES1130002.0885;UA540;1.3559484375;UA500;1106.94476263;142955;ES1130002.0885;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1106.94476263
Laza;Poligonal P.E FIAL DAS CORZAS;142879;81982;ES1130002.0885;UA540;1.3559484375;UA500;1106.94476263;142956;ES1130002.0885;1.0;S;6410;6410;;Prados con Molinia;1106.94476263
Laza;Poligonal P.E FIAL DAS CORZAS;142891;81988;ES1130002.0891;UA320;10.1585671875;UA300;3111.79700178;142968;ES1130002.0891;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;3111.79700178
Laza;Poligonal P.E FIAL DAS CORZAS;142892;81988;ES1130002.0891;UA320;10.1585671875;UA300;3111.79700178;142969;ES1130002.0891;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3111.79700178
Laza;Poligonal P.E FIAL DAS CORZAS;142893;81988;ES1130002.0891;UA320;10.1585671875;UA300;3111.79700178;142970;ES1130002.0891;2.0;V;4030;4030;;Queirogais secos europeos;3111.79700178
Laza;Poligonal P.E FIAL DAS CORZAS;142894;81988;ES1130002.0891;UA320;10.1585671875;UA300;3111.79700178;142971;ES1130002.0891;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3111.79700178
Laza;Poligonal P.E FIAL DAS CORZAS;142933;81998;ES1130002.0901;UA630;5.36902812498;UA600;1354.00969371;143010;ES1130002.0901;1.0;S;4030;4030;;Queirogais secos europeos;1354.00969371
Laza;Poligonal P.E FIAL DAS CORZAS;145744;82880;ES1130002.1807;UA220;0.305739873959;UA200;3137.94293022;145821;ES1130002.1807;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3137.94293022
Laza;Poligonal P.E FIAL DAS CORZAS;145745;82880;ES1130002.1807;UA220;0.305739873959;UA200;3137.94293022;145822;ES1130002.1807;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3137.94293022
Laza;Poligonal P.E FIAL DAS CORZAS;146114;83007;ES1130002.1933;UA220;0.886425284304;UA200;8933.58533292;146191;ES1130002.1933;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8933.58533292
Laza;Poligonal P.E FIAL DAS CORZAS;146115;83007;ES1130002.1933;UA220;0.886425284304;UA200;8933.58533292;146192;ES1130002.1933;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8933.58533292
Laza;Poligonal P.E FIAL DAS CORZAS;146116;83007;ES1130002.1933;UA220;0.886425284304;UA200;8933.58533292;146193;ES1130002.1933;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8933.58533292
