concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);11043;11648;ES1110005.0389;UA162;163.394166582;UA100;48172.693892;11112;ES1110005.0389;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;48172.693892
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);11044;11648;ES1110005.0389;UA162;163.394166582;UA100;48172.693892;11117;ES1110005.0389;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;48172.693892
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);11045;11648;ES1110005.0389;UA162;163.394166582;UA100;48172.693892;11116;ES1110005.0389;4.0;V;4030;4030;;Queirogais secos europeos;48172.693892
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);11046;11648;ES1110005.0389;UA162;163.394166582;UA100;48172.693892;11115;ES1110005.0389;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;48172.693892
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);11047;11648;ES1110005.0389;UA162;163.394166582;UA100;48172.693892;11113;ES1110005.0389;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;48172.693892
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);11048;11648;ES1110005.0389;UA162;163.394166582;UA100;48172.693892;11111;ES1110005.0389;5.0;P;4030;4030;;Queirogais secos europeos;48172.693892
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);11049;11648;ES1110005.0389;UA162;163.394166582;UA100;48172.693892;11114;ES1110005.0389;1.0;V;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;48172.693892
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12092;12081;ES1110005.0857;UA320;1.72926093752;UA300;685.861875707;12164;ES1110005.0857;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;685.861875707
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12093;12081;ES1110005.0857;UA320;1.72926093752;UA300;685.861875707;12160;ES1110005.0857;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;685.861875707
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12094;12081;ES1110005.0857;UA320;1.72926093752;UA300;685.861875707;12161;ES1110005.0857;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;685.861875707
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12095;12081;ES1110005.0857;UA320;1.72926093752;UA300;685.861875707;12162;ES1110005.0857;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;685.861875707
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12096;12081;ES1110005.0857;UA320;1.72926093752;UA300;685.861875707;12163;ES1110005.0857;1.0;V;8310;8310;;Covas non explotadas polo turismo;685.861875707
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12130;12089;ES1110005.0865;UA320;2.25645312499;UA300;1422.87014801;12199;ES1110005.0865;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;1422.87014801
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12131;12089;ES1110005.0865;UA320;2.25645312499;UA300;1422.87014801;12203;ES1110005.0865;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1422.87014801
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12132;12089;ES1110005.0865;UA320;2.25645312499;UA300;1422.87014801;12202;ES1110005.0865;1.0;V;4030;4030;;Queirogais secos europeos;1422.87014801
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12133;12089;ES1110005.0865;UA320;2.25645312499;UA300;1422.87014801;12198;ES1110005.0865;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;1422.87014801
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12134;12089;ES1110005.0865;UA320;2.25645312499;UA300;1422.87014801;12200;ES1110005.0865;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1422.87014801
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12135;12089;ES1110005.0865;UA320;2.25645312499;UA300;1422.87014801;12201;ES1110005.0865;1.0;V;8310;8310;;Covas non explotadas polo turismo;1422.87014801
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12136;12090;ES1110005.0866;UA162;0.810959035759;UA100;680.643289176;12204;ES1110005.0866;5.0;P;4030;4030;;Queirogais secos europeos;680.643289176
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12137;12090;ES1110005.0866;UA162;0.810959035759;UA100;680.643289176;12205;ES1110005.0866;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;680.643289176
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12138;12090;ES1110005.0866;UA162;0.810959035759;UA100;680.643289176;12206;ES1110005.0866;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;680.643289176
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12139;12090;ES1110005.0866;UA162;0.810959035759;UA100;680.643289176;12207;ES1110005.0866;1.0;V;4030;4030;;Queirogais secos europeos;680.643289176
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12147;12093;ES1110005.0869;UA320;7.96358906247;UA300;2754.4971888;12215;ES1110005.0869;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2754.4971888
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12148;12093;ES1110005.0869;UA320;7.96358906247;UA300;2754.4971888;12220;ES1110005.0869;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2754.4971888
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12149;12093;ES1110005.0869;UA320;7.96358906247;UA300;2754.4971888;12219;ES1110005.0869;1.0;V;4030;4030;;Queirogais secos europeos;2754.4971888
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12150;12093;ES1110005.0869;UA320;7.96358906247;UA300;2754.4971888;12216;ES1110005.0869;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2754.4971888
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12151;12093;ES1110005.0869;UA320;7.96358906247;UA300;2754.4971888;12217;ES1110005.0869;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2754.4971888
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12152;12093;ES1110005.0869;UA320;7.96358906247;UA300;2754.4971888;12218;ES1110005.0869;1.0;V;8310;8310;;Covas non explotadas polo turismo;2754.4971888
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12184;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12252;ES1110005.0877;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;983.785118262
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12185;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12253;ES1110005.0877;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;983.785118262
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12186;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12254;ES1110005.0877;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;983.785118262
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12187;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12255;ES1110005.0877;1.0;V;8310;8310;;Covas non explotadas polo turismo;983.785118262
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12188;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12256;ES1110005.0877;1.0;V;4030;4030;;Queirogais secos europeos;983.785118262
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12189;12100;ES1110005.0877;UA320;3.29325156247;UA300;983.785118262;12257;ES1110005.0877;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;983.785118262
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12223;12108;ES1110005.0887;UA320;1.04182343747;UA300;700.93095102;12296;ES1110005.0887;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;700.93095102
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12224;12108;ES1110005.0887;UA320;1.04182343747;UA300;700.93095102;12291;ES1110005.0887;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;700.93095102
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12225;12108;ES1110005.0887;UA320;1.04182343747;UA300;700.93095102;12292;ES1110005.0887;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;700.93095102
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12226;12108;ES1110005.0887;UA320;1.04182343747;UA300;700.93095102;12293;ES1110005.0887;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;700.93095102
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12227;12108;ES1110005.0887;UA320;1.04182343747;UA300;700.93095102;12294;ES1110005.0887;1.0;V;8310;8310;;Covas non explotadas polo turismo;700.93095102
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12228;12108;ES1110005.0887;UA320;1.04182343747;UA300;700.93095102;12295;ES1110005.0887;1.0;V;4030;4030;;Queirogais secos europeos;700.93095102
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12238;12111;ES1110005.0890;UA320;1.17629687499;UA300;446.612786051;12306;ES1110005.0890;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;446.612786051
Malpica de Bergantiños;Parque Eólico Malpica (repontenciado),Parque Eólico Malpica (repontenciado);12239;12111;ES1110005.0890;UA320;1.17629687499;UA300;446.612786051;12307;ES1110005.0890;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;446.612786051
