concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Mesía;Poligonal Brancellao;34517;28577;ES1110016.0757;UA631;0.599256430043;UA600;468.834195089;34585;ES1110016.0757;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;468.834195089
Mesía;Poligonal Brancellao;34518;30515;ES1110016.0759;UA532;21.9593030312;UA500;4885.55249976;34587;ES1110016.0759;1.0;V;6510;6510;;Prados de sega de baixa altitude;4885.55249976
Mesía;Poligonal Brancellao;34519;30515;ES1110016.0759;UA532;21.9593030312;UA500;4885.55249976;34588;ES1110016.0759;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4885.55249976
Mesía;Poligonal Brancellao;34520;30515;ES1110016.0759;UA532;21.9593030312;UA500;4885.55249976;34586;ES1110016.0759;4.0;V;6510;6510;;Prados de sega de baixa altitude;4885.55249976
Mesía;Poligonal Brancellao;34529;30517;ES1110016.0765;UA631;17.8357710614;UA600;2389.27722637;34597;ES1110016.0765;1.0;S;6410;6410;;Prados con Molinia;2389.27722637
Mesía;Poligonal Brancellao;34530;29583;ES1110016.0766;UA530;1.81588883876;UA500;641.816442398;34598;ES1110016.0766;4.0;V;6510;6510;;Prados de sega de baixa altitude;641.816442398
Mesía;Poligonal Brancellao;34531;28516;ES1110016.0769;UA220;0.147507089141;UA200;502.534528849;34599;ES1110016.0769;5.0;P;3260;3260;;Ríos dos pisos basal a montano;502.534528849
Mesía;Poligonal Brancellao;34532;28516;ES1110016.0769;UA220;0.147507089141;UA200;502.534528849;34600;ES1110016.0769;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;502.534528849
Mesía;Poligonal Brancellao;34533;28305;ES1110016.0771;UA631;15.9836443469;UA600;2536.04655477;34602;ES1110016.0771;1.0;S;6510;6510;;Prados de sega de baixa altitude;2536.04655477
Mesía;Poligonal Brancellao;34534;28305;ES1110016.0771;UA631;15.9836443469;UA600;2536.04655477;34603;ES1110016.0771;1.0;S;6410;6410;;Prados con Molinia;2536.04655477
Mesía;Poligonal Brancellao;34535;28305;ES1110016.0771;UA631;15.9836443469;UA600;2536.04655477;34601;ES1110016.0771;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2536.04655477
Mesía;Poligonal Brancellao;34536;29136;ES1110016.0773;UA630;1.98671701519;UA600;1273.7194446;34605;ES1110016.0773;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1273.7194446
Mesía;Poligonal Brancellao;34537;29136;ES1110016.0773;UA630;1.98671701519;UA600;1273.7194446;34604;ES1110016.0773;1.0;S;4030;4030;;Queirogais secos europeos;1273.7194446
Mesía;Poligonal Brancellao;34538;30510;ES1110016.0774;UA530;6.5183688167;UA500;1751.27341887;34606;ES1110016.0774;3.0;V;6510;6510;;Prados de sega de baixa altitude;1751.27341887
Mesía;Poligonal Brancellao;34541;29242;ES1110016.0776;UA530;1.27874223827;UA500;514.154944789;34610;ES1110016.0776;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;514.154944789
Mesía;Poligonal Brancellao;34542;29242;ES1110016.0776;UA530;1.27874223827;UA500;514.154944789;34611;ES1110016.0776;1.0;S;6410;6410;;Prados con Molinia;514.154944789
Mesía;Poligonal Brancellao;34543;29242;ES1110016.0776;UA530;1.27874223827;UA500;514.154944789;34609;ES1110016.0776;5.0;V;6510;6510;;Prados de sega de baixa altitude;514.154944789
Mesía;Poligonal Brancellao;34544;28578;ES1110016.0777;UA220;0.0956177347468;UA200;329.847049134;34613;ES1110016.0777;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;329.847049134
Mesía;Poligonal Brancellao;34545;28578;ES1110016.0777;UA220;0.0956177347468;UA200;329.847049134;34612;ES1110016.0777;5.0;P;3260;3260;;Ríos dos pisos basal a montano;329.847049134
Mesía;Poligonal Brancellao;34546;30509;ES1110016.0778;UA530;18.1395963442;UA500;3003.35363271;34614;ES1110016.0778;4.0;V;6510;6510;;Prados de sega de baixa altitude;3003.35363271
Mesía;Poligonal Brancellao;34547;30512;ES1110016.0779;UA530;2.51924102554;UA500;746.722960952;34615;ES1110016.0779;3.0;V;6510;6510;;Prados de sega de baixa altitude;746.722960952
Mesía;Poligonal Brancellao;34548;29593;ES1110016.0780;UA530;14.1319688493;UA500;2637.30865116;34616;ES1110016.0780;4.0;V;6510;6510;;Prados de sega de baixa altitude;2637.30865116
Mesía;Poligonal Brancellao;34552;31290;ES1110016.0784;UA532;24.2232102027;UA500;4426.81715391;34621;ES1110016.0784;1.0;V;6510;6510;;Prados de sega de baixa altitude;4426.81715391
Mesía;Poligonal Brancellao;34553;31290;ES1110016.0784;UA532;24.2232102027;UA500;4426.81715391;34622;ES1110016.0784;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4426.81715391
Mesía;Poligonal Brancellao;34554;31290;ES1110016.0784;UA532;24.2232102027;UA500;4426.81715391;34620;ES1110016.0784;4.0;V;6510;6510;;Prados de sega de baixa altitude;4426.81715391
Mesía;Poligonal Brancellao;34556;31559;ES1110016.0787;UA220;1.15392269593;UA200;3857.42202208;34624;ES1110016.0787;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3857.42202208
