concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Moeche;"POLIGONAL P.E MOECHE
";2426;1411;ES1110001.1405;UA220;1.59098578804;UA200;3200.1312743;2494;ES1110001.1405;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3200.1312743
Moeche;"POLIGONAL P.E MOECHE
";2427;1411;ES1110001.1405;UA220;1.59098578804;UA200;3200.1312743;2495;ES1110001.1405;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3200.1312743
Moeche;"POLIGONAL P.E MOECHE
";2428;1411;ES1110001.1405;UA220;1.59098578804;UA200;3200.1312743;2496;ES1110001.1405;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3200.1312743
Moeche;"POLIGONAL P.E MOECHE
";2538;1410;ES1110001.1454;UA220;5.47048716674;UA200;10946.618308;2606;ES1110001.1454;5.0;P;3260;3260;;Ríos dos pisos basal a montano;10946.618308
Moeche;"POLIGONAL P.E MOECHE
";2539;1410;ES1110001.1454;UA220;5.47048716674;UA200;10946.618308;2607;ES1110001.1454;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10946.618308
Moeche;"POLIGONAL P.E MOECHE
";2540;1410;ES1110001.1454;UA220;5.47048716674;UA200;10946.618308;2608;ES1110001.1454;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10946.618308
Moeche;"POLIGONAL P.E MOECHE
";28647;24962;ES1110013.0127;UA260;0.494519503355;UA200;858.539722471;28715;ES1110013.0127;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;858.539722471
Moeche;"POLIGONAL P.E MOECHE
";28648;24962;ES1110013.0127;UA260;0.494519503355;UA200;858.539722471;28716;ES1110013.0127;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;858.539722471
Moeche;"POLIGONAL P.E MOECHE
";28941;25132;ES1110013.0298;UA531;7.1114539358;UA500;1458.65678429;29012;ES1110013.0298;1.0;S;6410;6410;;Prados con Molinia;1458.65678429
Moeche;"POLIGONAL P.E MOECHE
";28942;25132;ES1110013.0298;UA531;7.1114539358;UA500;1458.65678429;29009;ES1110013.0298;1.0;V;6510;6510;;Prados de sega de baixa altitude;1458.65678429
Moeche;"POLIGONAL P.E MOECHE
";28943;25132;ES1110013.0298;UA531;7.1114539358;UA500;1458.65678429;29010;ES1110013.0298;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1458.65678429
Moeche;"POLIGONAL P.E MOECHE
";28944;25132;ES1110013.0298;UA531;7.1114539358;UA500;1458.65678429;29011;ES1110013.0298;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1458.65678429
Moeche;"POLIGONAL P.E MOECHE
";28945;25133;ES1110013.0299;UA260;1.49558437449;UA200;511.312713292;29014;ES1110013.0299;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;511.312713292
Moeche;"POLIGONAL P.E MOECHE
";28946;25133;ES1110013.0299;UA260;1.49558437449;UA200;511.312713292;29013;ES1110013.0299;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;511.312713292
Moeche;"POLIGONAL P.E MOECHE
";28947;25136;ES1110013.0302;UA260;0.833716350609;UA200;492.728550112;29015;ES1110013.0302;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;492.728550112
Moeche;"POLIGONAL P.E MOECHE
";28948;25136;ES1110013.0302;UA260;0.833716350609;UA200;492.728550112;29016;ES1110013.0302;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;492.728550112
Moeche;"POLIGONAL P.E MOECHE
";29553;25328;ES1110013.0507;UA634;3.20047393865;UA600;962.641928305;29621;ES1110013.0507;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;962.641928305
Moeche;"POLIGONAL P.E MOECHE
";29554;25328;ES1110013.0507;UA634;3.20047393865;UA600;962.641928305;29622;ES1110013.0507;1.0;S;6410;6410;;Prados con Molinia;962.641928305
Moeche;"POLIGONAL P.E MOECHE
";29572;25337;ES1110013.0516;UA220;0.0512982694035;UA200;198.81870088;29642;ES1110013.0516;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;198.81870088
