concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Mondariz;CHAN DO EIXO;190386;113643;ES1140006.0100;UA220;0.905092603481;UA200;8832.00320228;190395;ES1140006.0100;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8832.00320228
Mondariz;CHAN DO EIXO;190387;113643;ES1140006.0100;UA220;0.905092603481;UA200;8832.00320228;190396;ES1140006.0100;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8832.00320228
Mondariz;CHAN DO EIXO;190388;113643;ES1140006.0100;UA220;0.905092603481;UA200;8832.00320228;190397;ES1140006.0100;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8832.00320228
Mondariz;CHAN DO EIXO;191199;113575;ES1140006.0593;UA520;54.6432485824;UA500;6924.51123231;191212;ES1140006.0593;1.0;S;4030;4030;;Queirogais secos europeos;6924.51123231
Mondariz;CHAN DO EIXO;191200;113575;ES1140006.0593;UA520;54.6432485824;UA500;6924.51123231;191214;ES1140006.0593;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6924.51123231
Mondariz;CHAN DO EIXO;191201;113575;ES1140006.0593;UA520;54.6432485824;UA500;6924.51123231;191213;ES1140006.0593;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;6924.51123231
Mondariz;CHAN DO EIXO;191202;113575;ES1140006.0593;UA520;54.6432485824;UA500;6924.51123231;191210;ES1140006.0593;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6924.51123231
Mondariz;CHAN DO EIXO;191203;113575;ES1140006.0593;UA520;54.6432485824;UA500;6924.51123231;191209;ES1140006.0593;1.0;S;3260;3260;;Ríos dos pisos basal a montano;6924.51123231
Mondariz;CHAN DO EIXO;191204;113575;ES1140006.0593;UA520;54.6432485824;UA500;6924.51123231;191208;ES1140006.0593;1.0;V;6510;6510;;Prados de sega de baixa altitude;6924.51123231
Mondariz;CHAN DO EIXO;191205;113575;ES1140006.0593;UA520;54.6432485824;UA500;6924.51123231;191211;ES1140006.0593;1.0;S;6410;6410;;Prados con Molinia;6924.51123231
Mondariz;CHAN DO EIXO;191549;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191564;ES1140006.0775;1.0;S;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2919.5555839
Mondariz;CHAN DO EIXO;191550;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191561;ES1140006.0775;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2919.5555839
Mondariz;CHAN DO EIXO;191551;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191566;ES1140006.0775;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2919.5555839
Mondariz;CHAN DO EIXO;191552;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191565;ES1140006.0775;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2919.5555839
Mondariz;CHAN DO EIXO;191553;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191558;ES1140006.0775;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2919.5555839
Mondariz;CHAN DO EIXO;191554;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191562;ES1140006.0775;1.0;S;4030;4030;;Queirogais secos europeos;2919.5555839
Mondariz;CHAN DO EIXO;191555;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191560;ES1140006.0775;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2919.5555839
Mondariz;CHAN DO EIXO;191556;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191559;ES1140006.0775;2.0;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;2919.5555839
Mondariz;CHAN DO EIXO;191557;113077;ES1140006.0775;UA411;7.72006058159;UA400;2919.5555839;191563;ES1140006.0775;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2919.5555839
Mondariz;CHAN DO EIXO;191561;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191577;ES1140006.0777;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3682.2028208
Mondariz;CHAN DO EIXO;191562;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191578;ES1140006.0777;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3682.2028208
Mondariz;CHAN DO EIXO;191563;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191576;ES1140006.0777;1.0;S;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;3682.2028208
Mondariz;CHAN DO EIXO;191564;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191575;ES1140006.0777;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3682.2028208
Mondariz;CHAN DO EIXO;191565;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191573;ES1140006.0777;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3682.2028208
Mondariz;CHAN DO EIXO;191566;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191572;ES1140006.0777;1.0;S;3260;3260;;Ríos dos pisos basal a montano;3682.2028208
Mondariz;CHAN DO EIXO;191567;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191571;ES1140006.0777;2.0;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;3682.2028208
Mondariz;CHAN DO EIXO;191568;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191570;ES1140006.0777;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3682.2028208
Mondariz;CHAN DO EIXO;191569;113079;ES1140006.0777;UA411;10.2470803099;UA400;3682.2028208;191574;ES1140006.0777;1.0;S;4030;4030;;Queirogais secos europeos;3682.2028208
Mondariz;CHAN DO EIXO;191570;113118;ES1140006.0778;UA630;47.2366426601;UA600;3898.73325127;191579;ES1140006.0778;1.0;S;3260;3260;;Ríos dos pisos basal a montano;3898.73325127
Mondariz;CHAN DO EIXO;191571;113118;ES1140006.0778;UA630;47.2366426601;UA600;3898.73325127;191580;ES1140006.0778;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3898.73325127
Mondariz;CHAN DO EIXO;191956;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191970;ES1140006.0995;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2662.66123926
Mondariz;CHAN DO EIXO;191957;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191973;ES1140006.0995;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2662.66123926
Mondariz;CHAN DO EIXO;191958;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191972;ES1140006.0995;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2662.66123926
Mondariz;CHAN DO EIXO;191959;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191971;ES1140006.0995;1.0;S;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2662.66123926
Mondariz;CHAN DO EIXO;191960;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191968;ES1140006.0995;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2662.66123926
Mondariz;CHAN DO EIXO;191961;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191967;ES1140006.0995;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2662.66123926
Mondariz;CHAN DO EIXO;191962;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191966;ES1140006.0995;2.0;V;9180*;9180;X;Bosques de encostas, desprendementos e barrancos do Tilio-Acerion;2662.66123926
Mondariz;CHAN DO EIXO;191963;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191965;ES1140006.0995;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2662.66123926
Mondariz;CHAN DO EIXO;191964;113463;ES1140006.0995;UA411;20.0126593942;UA400;2662.66123926;191969;ES1140006.0995;1.0;S;4030;4030;;Queirogais secos europeos;2662.66123926
Mondariz;CHAN DO EIXO;191990;113494;ES1140006.1010;UA220;0.397155366733;UA200;3977.85882641;191999;ES1140006.1010;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3977.85882641
Mondariz;CHAN DO EIXO;191991;113494;ES1140006.1010;UA220;0.397155366733;UA200;3977.85882641;192000;ES1140006.1010;3.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3977.85882641
