concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Mondoñedo;Parque Eólico Álabe-Labrada,Parque Eólico Terral,Parque Eólico Álabe-Labrada,Parque Eólico Mondoñedo;105860;70185;ES1120015.3407;UA220;1.31723523914;UA200;18813.424554;105928;ES1120015.3407;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;18813.424554
Mondoñedo;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Álabe-Labrada,Parque Eólico Terral,Parque Eólico Álabe-Labrada,Parque Eólico Mondoñedo;103755;70195;ES1120015.2669;UA630;243.36097792;UA600;30896.2578573;103823;ES1120015.2669;1.0;S;7110*;7110;X;Turbeiras altas activas;30896.2578573
Mondoñedo;Parque Eólico Álabe-Montemaior-Sur,Parque Eólico Mondoñedo;105854;68934;ES1120015.3405;UA220;1.08671485848;UA200;15519.6184002;105922;ES1120015.3405;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;15519.6184002
Mondoñedo;Parque Eólico Alto do Seixal  (Farrapa I Fase II);101747;68703;ES1120015.1990;UA270;33.2129769568;UA200;3800.00582395;101818;ES1120015.1990;1.0;V;7110*;7110;X;Turbeiras altas activas;3800.00582395
Mondoñedo;Parque Eólico Alto do Seixal  (Farrapa I Fase II);101748;68703;ES1120015.1990;UA270;33.2129769568;UA200;3800.00582395;101822;ES1120015.1990;1.0;V;7110*;7110;X;Turbeiras altas activas;3800.00582395
Mondoñedo;Parque Eólico Alto do Seixal  (Farrapa I Fase II);101749;68703;ES1120015.1990;UA270;33.2129769568;UA200;3800.00582395;101821;ES1120015.1990;1.0;V;7110*;7110;X;Turbeiras altas activas;3800.00582395
Mondoñedo;Parque Eólico Alto do Seixal  (Farrapa I Fase II);101750;68703;ES1120015.1990;UA270;33.2129769568;UA200;3800.00582395;101819;ES1120015.1990;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;3800.00582395
Mondoñedo;Parque Eólico Alto do Seixal  (Farrapa I Fase II);101751;68703;ES1120015.1990;UA270;33.2129769568;UA200;3800.00582395;101816;ES1120015.1990;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3800.00582395
Mondoñedo;Parque Eólico Alto do Seixal  (Farrapa I Fase II);101752;68703;ES1120015.1990;UA270;33.2129769568;UA200;3800.00582395;101815;ES1120015.1990;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;3800.00582395
Mondoñedo;Parque Eólico Alto do Seixal  (Farrapa I Fase II);101753;68703;ES1120015.1990;UA270;33.2129769568;UA200;3800.00582395;101817;ES1120015.1990;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;3800.00582395
