concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Monfero;Parque Eólico Touriñán IV,Parque Eólico Touriñán IV;6535;7964;ES1110003.0605;UA220;0.748849997528;UA200;3751.95589814;6604;ES1110003.0605;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3751.95589814
Monfero;Parque Eólico Touriñán IV,Parque Eólico Touriñán IV;6536;7964;ES1110003.0605;UA220;0.748849997528;UA200;3751.95589814;6603;ES1110003.0605;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3751.95589814
Monfero;"Poligonal P.E MISTRAL
";9322;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9395;ES1110003.3172;1.0;V;7110*;7110;X;Turbeiras altas activas;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9323;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9398;ES1110003.3172;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9324;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9397;ES1110003.3172;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9325;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9394;ES1110003.3172;1.0;V;7110*;7110;X;Turbeiras altas activas;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9326;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9393;ES1110003.3172;1.0;V;6410;6410;;Prados con Molinia;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9327;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9392;ES1110003.3172;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9328;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9391;ES1110003.3172;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9329;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9390;ES1110003.3172;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2440.50020258
Monfero;"Poligonal P.E MISTRAL
";9330;10468;ES1110003.3172;UA270;23.0162978792;UA200;2440.50020258;9396;ES1110003.3172;1.0;V;7140;7140;;Turbeiras de transición e inllós;2440.50020258
Monfero;POLIGONAL PENA DO CORVO;6379;7886;ES1110003.0520;UA220;0.463551426516;UA200;2324.15183774;6447;ES1110003.0520;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2324.15183774
Monfero;POLIGONAL PENA DO CORVO;6380;7886;ES1110003.0520;UA220;0.463551426516;UA200;2324.15183774;6448;ES1110003.0520;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2324.15183774
Monfero;POLIGONAL PENA DO CORVO;6385;7889;ES1110003.0523;UA220;0.207447067389;UA200;1044.68706208;6454;ES1110003.0523;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1044.68706208
Monfero;POLIGONAL PENA DO CORVO;6386;7889;ES1110003.0523;UA220;0.207447067389;UA200;1044.68706208;6453;ES1110003.0523;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1044.68706208
Monfero;POLIGONAL PENA DO CORVO;6421;7907;ES1110003.0541;UA220;0.00672917164451;UA200;41.2334072932;6489;ES1110003.0541;5.0;P;3260;3260;;Ríos dos pisos basal a montano;41.2334072932
