concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99516;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99586;ES1120015.0976;1.0;V;8310;8310;;Covas non explotadas polo turismo;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99517;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99591;ES1120015.0976;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99518;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99590;ES1120015.0976;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99519;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99589;ES1120015.0976;1.0;V;4030;4030;;Queirogais secos europeos;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99520;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99587;ES1120015.0976;2.0;V;4030;4030;;Queirogais secos europeos;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99521;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99585;ES1120015.0976;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99522;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99584;ES1120015.0976;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99523;69062;ES1120015.0976;UA320;0.845144114201;UA300;757.607148943;99588;ES1120015.0976;1.0;V;4030;4030;;Queirogais secos europeos;757.607148943
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99544;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99618;ES1120015.0985;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99545;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99612;ES1120015.0985;5.0;P;7110*;7110;X;Turbeiras altas activas;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99546;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99622;ES1120015.0985;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99547;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99621;ES1120015.0985;1.0;V;3130;3130;;Augas oligotróficas ou mesotróficas;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99548;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99620;ES1120015.0985;1.0;V;7140;7140;;Turbeiras de transición e inllós;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99549;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99619;ES1120015.0985;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99550;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99617;ES1120015.0985;2.0;V;6230*;6230;X;Formacións herbáceas con Nardus;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99551;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99616;ES1120015.0985;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99552;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99615;ES1120015.0985;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99553;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99613;ES1120015.0985;2.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99554;69063;ES1120015.0985;UA240;0.855346462258;UA200;466.699541857;99614;ES1120015.0985;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;466.699541857
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99595;67158;ES1120015.0997;UA320;0.236500562;UA300;183.977384988;99665;ES1120015.0997;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;183.977384988
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99596;67158;ES1120015.0997;UA320;0.236500562;UA300;183.977384988;99663;ES1120015.0997;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;183.977384988
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;99597;67158;ES1120015.0997;UA320;0.236500562;UA300;183.977384988;99664;ES1120015.0997;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;183.977384988
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;103578;68550;ES1120015.2615;UA320;0.289704125713;UA300;360.447667916;103646;ES1120015.2615;5.0;V;4030;4030;;Queirogais secos europeos;360.447667916
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;104106;68884;ES1120015.2792;UA220;0.729499521715;UA200;10349.2000898;104174;ES1120015.2792;5.0;P;3260;3260;;Ríos dos pisos basal a montano;10349.2000898
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;104107;68884;ES1120015.2792;UA220;0.729499521715;UA200;10349.2000898;104175;ES1120015.2792;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;10349.2000898
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;104108;68884;ES1120015.2792;UA220;0.729499521715;UA200;10349.2000898;104176;ES1120015.2792;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;10349.2000898
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;104582;68176;ES1120015.3003;UA320;0.178519067329;UA300;401.619032847;104650;ES1120015.3003;5.0;V;4030;4030;;Queirogais secos europeos;401.619032847
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;104601;68171;ES1120015.3016;UA320;0.129480278128;UA300;383.177274365;104669;ES1120015.3016;5.0;V;4030;4030;;Queirogais secos europeos;383.177274365
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán;104602;68170;ES1120015.3017;UA320;0.0355918759094;UA300;117.223438315;104670;ES1120015.3017;5.0;V;4030;4030;;Queirogais secos europeos;117.223438315
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Pena Grande copia;104057;69316;ES1120015.2764;UA270;171.849970182;UA200;23568.1389786;104132;ES1120015.2764;1.0;S;4030;4030;;Queirogais secos europeos;23568.1389786
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Pena Grande copia;104063;69316;ES1120015.2764;UA270;171.849970182;UA200;23568.1389786;104124;ES1120015.2764;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;23568.1389786
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Pena Grande copia;104066;69316;ES1120015.2764;UA270;171.849970182;UA200;23568.1389786;104135;ES1120015.2764;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;23568.1389786
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Pena Grande copia,Pedra Chantada y Pena Luisa;103110;69307;ES1120015.2511;UA220;1.79787188825;UA200;25684.7750745;103178;ES1120015.2511;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;25684.7750745
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Pena Grande copia;104115;69447;ES1120015.2802;UA270;142.39688613;UA200;27293.0154783;104195;ES1120015.2802;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;27293.0154783
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Pena Grande copia;104118;69447;ES1120015.2802;UA270;142.39688613;UA200;27293.0154783;104183;ES1120015.2802;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;27293.0154783
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Pena Grande copia;104121;69447;ES1120015.2802;UA270;142.39688613;UA200;27293.0154783;104189;ES1120015.2802;1.0;V;7110*;7110;X;Turbeiras altas activas;27293.0154783
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Pena Grande copia;104124;69447;ES1120015.2802;UA270;142.39688613;UA200;27293.0154783;104186;ES1120015.2802;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;27293.0154783
Muras;Ampliación Parque Eólico Álabe-Soán,Ampliación Parque Eólico Álabe-Soán,Pena Grande copia;104127;69447;ES1120015.2802;UA270;142.39688613;UA200;27293.0154783;104185;ES1120015.2802;1.0;V;7110*;7110;X;Turbeiras altas activas;27293.0154783
Muras;Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Ampliación Parque Eólico Álabe-Soán,Pena Grande copia;104054;69316;ES1120015.2764;UA270;171.849970182;UA200;23568.1389786;104127;ES1120015.2764;1.0;V;7110*;7110;X;Turbeiras altas activas;23568.1389786
Muras;Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Ampliación Parque Eólico Álabe-Soán,Pena Grande copia;104060;69316;ES1120015.2764;UA270;171.849970182;UA200;23568.1389786;104128;ES1120015.2764;1.0;V;7110*;7110;X;Turbeiras altas activas;23568.1389786
Muras;Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Pena Grande copia,Ampliación Parque Eólico Álabe-Soán;104065;69316;ES1120015.2764;UA270;171.849970182;UA200;23568.1389786;104122;ES1120015.2764;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;23568.1389786
Muras;Ampliación Parque Eólico Álabe-Soán,Parque Eólico Silán,Pena Grande copia,Pedra Chantada y Pena Luisa,Ampliación Parque Eólico Álabe-Soán;103109;69307;ES1120015.2511;UA220;1.79787188825;UA200;25684.7750745;103177;ES1120015.2511;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;25684.7750745
Muras;Ampliación Parque Eólico Álabe-Soán,Pena Grande copia,Ampliación Parque Eólico Álabe-Soán;99582;68554;ES1120015.0994;UA320;0.786669417007;UA300;754.309449754;99650;ES1120015.0994;5.0;V;4030;4030;;Queirogais secos europeos;754.309449754
Muras;Ampliación Parque Eólico Álabe-Soán,Pena Grande copia,Ampliación Parque Eólico Álabe-Soán;104114;69447;ES1120015.2802;UA270;142.39688613;UA200;27293.0154783;104190;ES1120015.2802;1.0;V;7140;7140;;Turbeiras de transición e inllós;27293.0154783
Muras;Ampliación Parque Eólico Álabe-Soán,Pena Grande copia,Ampliación Parque Eólico Álabe-Soán;104117;69447;ES1120015.2802;UA270;142.39688613;UA200;27293.0154783;104193;ES1120015.2802;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;27293.0154783
