concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Narón;"POLIGONAL P.E Caaveiro
";28804;25014;ES1110013.0180;UA531;1.37817936841;UA500;539.914488869;28873;ES1110013.0180;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;539.914488869
Narón;"POLIGONAL P.E Caaveiro
";28805;25014;ES1110013.0180;UA531;1.37817936841;UA500;539.914488869;28874;ES1110013.0180;1.0;S;6410;6410;;Prados con Molinia;539.914488869
Narón;"POLIGONAL P.E Caaveiro
";28806;25014;ES1110013.0180;UA531;1.37817936841;UA500;539.914488869;28872;ES1110013.0180;1.0;V;6510;6510;;Prados de sega de baixa altitude;539.914488869
Narón;"POLIGONAL P.E Caaveiro
";28807;25016;ES1110013.0182;UA320;1.0953095073;UA300;483.935983201;28876;ES1110013.0182;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;483.935983201
Narón;"POLIGONAL P.E Caaveiro
";28808;25016;ES1110013.0182;UA320;1.0953095073;UA300;483.935983201;28877;ES1110013.0182;1.0;V;4030;4030;;Queirogais secos europeos;483.935983201
Narón;"POLIGONAL P.E Caaveiro
";28809;25016;ES1110013.0182;UA320;1.0953095073;UA300;483.935983201;28878;ES1110013.0182;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;483.935983201
Narón;"POLIGONAL P.E Caaveiro
";28810;25016;ES1110013.0182;UA320;1.0953095073;UA300;483.935983201;28875;ES1110013.0182;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;483.935983201
Narón;"POLIGONAL P.E Caaveiro
";28811;25017;ES1110013.0183;UA531;0.181594435364;UA500;170.42046419;28881;ES1110013.0183;1.0;S;6410;6410;;Prados con Molinia;170.42046419
Narón;"POLIGONAL P.E Caaveiro
";28812;25017;ES1110013.0183;UA531;0.181594435364;UA500;170.42046419;28879;ES1110013.0183;1.0;V;6510;6510;;Prados de sega de baixa altitude;170.42046419
Narón;"POLIGONAL P.E Caaveiro
";28813;25017;ES1110013.0183;UA531;0.181594435364;UA500;170.42046419;28880;ES1110013.0183;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;170.42046419
Narón;"POLIGONAL P.E Caaveiro
";28814;25018;ES1110013.0184;UA531;6.91683216941;UA500;1634.2224959;28886;ES1110013.0184;1.0;S;6410;6410;;Prados con Molinia;1634.2224959
Narón;"POLIGONAL P.E Caaveiro
";28815;25018;ES1110013.0184;UA531;6.91683216941;UA500;1634.2224959;28885;ES1110013.0184;1.0;S;6410;6410;;Prados con Molinia;1634.2224959
Narón;"POLIGONAL P.E Caaveiro
";28816;25018;ES1110013.0184;UA531;6.91683216941;UA500;1634.2224959;28884;ES1110013.0184;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1634.2224959
Narón;"POLIGONAL P.E Caaveiro
";28817;25018;ES1110013.0184;UA531;6.91683216941;UA500;1634.2224959;28882;ES1110013.0184;1.0;V;6510;6510;;Prados de sega de baixa altitude;1634.2224959
Narón;"POLIGONAL P.E Caaveiro
";28818;25018;ES1110013.0184;UA531;6.91683216941;UA500;1634.2224959;28883;ES1110013.0184;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1634.2224959
Narón;"POLIGONAL P.E Caaveiro
";28819;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28891;ES1110013.0185;1.0;S;4030;4030;;Queirogais secos europeos;1564.23641215
Narón;"POLIGONAL P.E Caaveiro
";28820;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28887;ES1110013.0185;1.0;V;6510;6510;;Prados de sega de baixa altitude;1564.23641215
Narón;"POLIGONAL P.E Caaveiro
";28821;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28892;ES1110013.0185;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;1564.23641215
Narón;"POLIGONAL P.E Caaveiro
";28822;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28893;ES1110013.0185;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1564.23641215
Narón;"POLIGONAL P.E Caaveiro
";28823;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28888;ES1110013.0185;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1564.23641215
Narón;"POLIGONAL P.E Caaveiro
";28824;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28889;ES1110013.0185;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1564.23641215
Narón;"POLIGONAL P.E Caaveiro
";28825;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28890;ES1110013.0185;1.0;S;6410;6410;;Prados con Molinia;1564.23641215
Narón;"POLIGONAL P.E Caaveiro
";28826;25035;ES1110013.0201;UA260;0.31082001718;UA200;459.400044777;28894;ES1110013.0201;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;459.400044777
Narón;"POLIGONAL P.E Caaveiro
";28827;25035;ES1110013.0201;UA260;0.31082001718;UA200;459.400044777;28895;ES1110013.0201;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;459.400044777
Narón;"POLIGONAL P.E Caaveiro
";28828;25038;ES1110013.0204;UA260;0.448897201503;UA200;280.463547798;28896;ES1110013.0204;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;280.463547798
Narón;"POLIGONAL P.E Caaveiro
";28829;25038;ES1110013.0204;UA260;0.448897201503;UA200;280.463547798;28897;ES1110013.0204;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;280.463547798
Narón;"POLIGONAL P.E Caaveiro
";28830;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28898;ES1110013.0206;1.0;V;6510;6510;;Prados de sega de baixa altitude;1433.42396766
Narón;"POLIGONAL P.E Caaveiro
";28831;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28901;ES1110013.0206;1.0;S;6410;6410;;Prados con Molinia;1433.42396766
Narón;"POLIGONAL P.E Caaveiro
";28832;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28899;ES1110013.0206;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1433.42396766
Narón;"POLIGONAL P.E Caaveiro
";28833;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28900;ES1110013.0206;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1433.42396766
Narón;"POLIGONAL P.E Caaveiro
";28863;25076;ES1110013.0242;UA531;0.19180310925;UA500;184.320904138;28931;ES1110013.0242;1.0;V;6510;6510;;Prados de sega de baixa altitude;184.320904138
Narón;"POLIGONAL P.E Caaveiro
";28864;25076;ES1110013.0242;UA531;0.19180310925;UA500;184.320904138;28932;ES1110013.0242;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;184.320904138
Narón;"POLIGONAL P.E Caaveiro
";28865;25076;ES1110013.0242;UA531;0.19180310925;UA500;184.320904138;28933;ES1110013.0242;1.0;S;6410;6410;;Prados con Molinia;184.320904138
Narón;"POLIGONAL P.E Caaveiro
";28866;25077;ES1110013.0243;UA531;1.55220054737;UA500;601.369239741;28935;ES1110013.0243;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;601.369239741
Narón;"POLIGONAL P.E Caaveiro
";28867;25077;ES1110013.0243;UA531;1.55220054737;UA500;601.369239741;28936;ES1110013.0243;1.0;S;6410;6410;;Prados con Molinia;601.369239741
Narón;"POLIGONAL P.E Caaveiro
";28868;25077;ES1110013.0243;UA531;1.55220054737;UA500;601.369239741;28934;ES1110013.0243;1.0;V;6510;6510;;Prados de sega de baixa altitude;601.369239741
Narón;"POLIGONAL P.E Caaveiro
";28869;25078;ES1110013.0244;UA531;5.85461320225;UA500;1098.3389497;28938;ES1110013.0244;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1098.3389497
Narón;"POLIGONAL P.E Caaveiro
";28870;25078;ES1110013.0244;UA531;5.85461320225;UA500;1098.3389497;28939;ES1110013.0244;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1098.3389497
Narón;"POLIGONAL P.E Caaveiro
";28871;25078;ES1110013.0244;UA531;5.85461320225;UA500;1098.3389497;28940;ES1110013.0244;1.0;S;6410;6410;;Prados con Molinia;1098.3389497
Narón;"POLIGONAL P.E Caaveiro
";28872;25078;ES1110013.0244;UA531;5.85461320225;UA500;1098.3389497;28937;ES1110013.0244;1.0;V;6510;6510;;Prados de sega de baixa altitude;1098.3389497
Narón;"POLIGONAL P.E Caaveiro
";28873;25079;ES1110013.0245;UA531;1.40114025206;UA500;534.569072728;28941;ES1110013.0245;1.0;V;6510;6510;;Prados de sega de baixa altitude;534.569072728
Narón;"POLIGONAL P.E Caaveiro
";28874;25079;ES1110013.0245;UA531;1.40114025206;UA500;534.569072728;28942;ES1110013.0245;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;534.569072728
Narón;"POLIGONAL P.E Caaveiro
";28875;25079;ES1110013.0245;UA531;1.40114025206;UA500;534.569072728;28943;ES1110013.0245;1.0;S;6410;6410;;Prados con Molinia;534.569072728
Narón;"POLIGONAL P.E Caaveiro
";28949;25139;ES1110013.0305;UA320;0.135202354934;UA300;166.9465108;29017;ES1110013.0305;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;166.9465108
Narón;"POLIGONAL P.E Caaveiro
";28950;25139;ES1110013.0305;UA320;0.135202354934;UA300;166.9465108;29018;ES1110013.0305;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;166.9465108
Narón;"POLIGONAL P.E Caaveiro
";28951;25139;ES1110013.0305;UA320;0.135202354934;UA300;166.9465108;29019;ES1110013.0305;1.0;V;4030;4030;;Queirogais secos europeos;166.9465108
Narón;"POLIGONAL P.E Caaveiro
";28952;25139;ES1110013.0305;UA320;0.135202354934;UA300;166.9465108;29020;ES1110013.0305;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;166.9465108
Narón;"POLIGONAL P.E Caaveiro
";29938;25500;ES1110013.0679;UA260;1.04704392479;UA200;634.635380277;30006;ES1110013.0679;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;634.635380277
Narón;"POLIGONAL P.E Caaveiro
";29939;25500;ES1110013.0679;UA260;1.04704392479;UA200;634.635380277;30007;ES1110013.0679;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;634.635380277
Narón;"POLIGONAL P.E Caaveiro
";29940;25501;ES1110013.0680;UA531;2.55696187351;UA500;981.270504179;30008;ES1110013.0680;1.0;V;6510;6510;;Prados de sega de baixa altitude;981.270504179
Narón;"POLIGONAL P.E Caaveiro
";29941;25501;ES1110013.0680;UA531;2.55696187351;UA500;981.270504179;30009;ES1110013.0680;1.0;S;3260;3260;;Ríos dos pisos basal a montano;981.270504179
