concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Neda;"POLIGONAL P.E Caaveiro
";6845;8117;ES1110003.0772;UA220;0.109955299071;UA200;557.177744768;6913;ES1110003.0772;5.0;P;3260;3260;;Ríos dos pisos basal a montano;557.177744768
Neda;"POLIGONAL P.E Caaveiro
";6846;8117;ES1110003.0772;UA220;0.109955299071;UA200;557.177744768;6914;ES1110003.0772;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;557.177744768
Neda;"POLIGONAL P.E Caaveiro
";6943;8184;ES1110003.0849;UA220;1.6271502642;UA200;3273.57111616;7011;ES1110003.0849;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3273.57111616
Neda;"POLIGONAL P.E Caaveiro
";28800;25012;ES1110013.0178;UA320;0.449895542267;UA300;316.829818731;28868;ES1110013.0178;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;316.829818731
Neda;"POLIGONAL P.E Caaveiro
";28801;25012;ES1110013.0178;UA320;0.449895542267;UA300;316.829818731;28869;ES1110013.0178;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;316.829818731
Neda;"POLIGONAL P.E Caaveiro
";28802;25012;ES1110013.0178;UA320;0.449895542267;UA300;316.829818731;28870;ES1110013.0178;1.0;V;4030;4030;;Queirogais secos europeos;316.829818731
Neda;"POLIGONAL P.E Caaveiro
";28803;25012;ES1110013.0178;UA320;0.449895542267;UA300;316.829818731;28871;ES1110013.0178;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;316.829818731
Neda;"POLIGONAL P.E Caaveiro
";28819;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28891;ES1110013.0185;1.0;S;4030;4030;;Queirogais secos europeos;1564.23641215
Neda;"POLIGONAL P.E Caaveiro
";28820;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28887;ES1110013.0185;1.0;V;6510;6510;;Prados de sega de baixa altitude;1564.23641215
Neda;"POLIGONAL P.E Caaveiro
";28821;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28892;ES1110013.0185;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;1564.23641215
Neda;"POLIGONAL P.E Caaveiro
";28822;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28893;ES1110013.0185;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1564.23641215
Neda;"POLIGONAL P.E Caaveiro
";28823;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28888;ES1110013.0185;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1564.23641215
Neda;"POLIGONAL P.E Caaveiro
";28824;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28889;ES1110013.0185;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1564.23641215
Neda;"POLIGONAL P.E Caaveiro
";28825;25019;ES1110013.0185;UA531;10.8167694717;UA500;1564.23641215;28890;ES1110013.0185;1.0;S;6410;6410;;Prados con Molinia;1564.23641215
Neda;"POLIGONAL P.E Caaveiro
";28830;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28898;ES1110013.0206;1.0;V;6510;6510;;Prados de sega de baixa altitude;1433.42396766
Neda;"POLIGONAL P.E Caaveiro
";28831;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28901;ES1110013.0206;1.0;S;6410;6410;;Prados con Molinia;1433.42396766
Neda;"POLIGONAL P.E Caaveiro
";28832;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28899;ES1110013.0206;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1433.42396766
Neda;"POLIGONAL P.E Caaveiro
";28833;25040;ES1110013.0206;UA531;8.00791368892;UA500;1433.42396766;28900;ES1110013.0206;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1433.42396766
Neda;"POLIGONAL P.E Caaveiro
";28834;25045;ES1110013.0211;UA260;0.327719889834;UA200;268.538804481;28902;ES1110013.0211;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;268.538804481
Neda;"POLIGONAL P.E Caaveiro
";28835;25045;ES1110013.0211;UA260;0.327719889834;UA200;268.538804481;28903;ES1110013.0211;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;268.538804481
Neda;"POLIGONAL P.E Caaveiro
";28836;25048;ES1110013.0214;UA260;1.24211649567;UA200;745.200977913;28905;ES1110013.0214;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;745.200977913
Neda;"POLIGONAL P.E Caaveiro
";28837;25048;ES1110013.0214;UA260;1.24211649567;UA200;745.200977913;28904;ES1110013.0214;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;745.200977913
Neda;"POLIGONAL P.E Caaveiro
";28956;25142;ES1110013.0308;UA531;2.04555001474;UA500;900.817039335;29025;ES1110013.0308;1.0;S;3260;3260;;Ríos dos pisos basal a montano;900.817039335
Neda;"POLIGONAL P.E Caaveiro
";28957;25142;ES1110013.0308;UA531;2.04555001474;UA500;900.817039335;29026;ES1110013.0308;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;900.817039335
Neda;"POLIGONAL P.E Caaveiro
";28958;25142;ES1110013.0308;UA531;2.04555001474;UA500;900.817039335;29027;ES1110013.0308;1.0;S;6410;6410;;Prados con Molinia;900.817039335
Neda;"POLIGONAL P.E Caaveiro
";28959;25142;ES1110013.0308;UA531;2.04555001474;UA500;900.817039335;29024;ES1110013.0308;1.0;V;6510;6510;;Prados de sega de baixa altitude;900.817039335
Neda;"POLIGONAL P.E Caaveiro
";29996;25522;ES1110013.0701;UA220;0.0054058753164;UA200;35.0569716241;30064;ES1110013.0701;5.0;P;3260;3260;;Ríos dos pisos basal a montano;35.0569716241
Neda;"POLIGONAL P.E Caaveiro
";29997;25522;ES1110013.0701;UA220;0.0054058753164;UA200;35.0569716241;30065;ES1110013.0701;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;35.0569716241
Neda;"POLIGONAL P.E Caaveiro
";29998;25525;ES1110013.0704;UA220;0.112078141199;UA200;568.425049049;30066;ES1110013.0704;5.0;P;3260;3260;;Ríos dos pisos basal a montano;568.425049049
Neda;"POLIGONAL P.E Caaveiro
";29999;25525;ES1110013.0704;UA220;0.112078141199;UA200;568.425049049;30067;ES1110013.0704;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;568.425049049
Neda;"POLIGONAL P.E Caaveiro
";30000;25526;ES1110013.0705;UA260;0.789726389202;UA200;353.255260316;30069;ES1110013.0705;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;353.255260316
Neda;"POLIGONAL P.E Caaveiro
";30001;25526;ES1110013.0705;UA260;0.789726389202;UA200;353.255260316;30068;ES1110013.0705;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;353.255260316
Neda;"POLIGONAL P.E Caaveiro
";30002;25528;ES1110013.0707;UA531;3.9598465805;UA500;1101.39047845;30073;ES1110013.0707;1.0;S;6410;6410;;Prados con Molinia;1101.39047845
Neda;"POLIGONAL P.E Caaveiro
";30003;25528;ES1110013.0707;UA531;3.9598465805;UA500;1101.39047845;30072;ES1110013.0707;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1101.39047845
Neda;"POLIGONAL P.E Caaveiro
";30004;25528;ES1110013.0707;UA531;3.9598465805;UA500;1101.39047845;30070;ES1110013.0707;5.0;V;6510;6510;;Prados de sega de baixa altitude;1101.39047845
Neda;"POLIGONAL P.E Caaveiro
";30005;25528;ES1110013.0707;UA531;3.9598465805;UA500;1101.39047845;30071;ES1110013.0707;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1101.39047845
Neda;"POLIGONAL P.E Caaveiro
";30006;25530;ES1110013.0709;UA220;0.309376431775;UA200;1554.73254136;30074;ES1110013.0709;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1554.73254136
Neda;"POLIGONAL P.E Caaveiro
";30007;25530;ES1110013.0709;UA220;0.309376431775;UA200;1554.73254136;30075;ES1110013.0709;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1554.73254136
Neda;"POLIGONAL P.E Caaveiro
";30008;25530;ES1110013.0709;UA220;0.309376431775;UA200;1554.73254136;30076;ES1110013.0709;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1554.73254136
Neda;"POLIGONAL P.E Caaveiro
";30009;25531;ES1110013.0710;UA220;0.0362176723909;UA200;189.265184102;30077;ES1110013.0710;5.0;P;3260;3260;;Ríos dos pisos basal a montano;189.265184102
Neda;"POLIGONAL P.E Caaveiro
";30010;25531;ES1110013.0710;UA220;0.0362176723909;UA200;189.265184102;30078;ES1110013.0710;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;189.265184102
Neda;"POLIGONAL P.E Caaveiro
";30011;25532;ES1110013.0711;UA220;0.0449411470787;UA200;232.978691687;30079;ES1110013.0711;5.0;P;3260;3260;;Ríos dos pisos basal a montano;232.978691687
Neda;"POLIGONAL P.E Caaveiro
";30012;25532;ES1110013.0711;UA220;0.0449411470787;UA200;232.978691687;30080;ES1110013.0711;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;232.978691687
Neda;"POLIGONAL P.E Caaveiro
";30013;25532;ES1110013.0711;UA220;0.0449411470787;UA200;232.978691687;30081;ES1110013.0711;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;232.978691687
Neda;"POLIGONAL P.E Caaveiro
";30014;25533;ES1110013.0712;UA220;0.624505790619;UA200;3131.24012362;30082;ES1110013.0712;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3131.24012362
Neda;"POLIGONAL P.E Caaveiro
";30015;25533;ES1110013.0712;UA220;0.624505790619;UA200;3131.24012362;30083;ES1110013.0712;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3131.24012362
Neda;"POLIGONAL P.E Caaveiro
";30016;25533;ES1110013.0712;UA220;0.624505790619;UA200;3131.24012362;30084;ES1110013.0712;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3131.24012362
Neda;"POLIGONAL P.E Caaveiro
";30017;25535;ES1110013.0714;UA531;4.85249323998;UA500;1278.54876272;30085;ES1110013.0714;5.0;V;6510;6510;;Prados de sega de baixa altitude;1278.54876272
Neda;"POLIGONAL P.E Caaveiro
";30018;25535;ES1110013.0714;UA531;4.85249323998;UA500;1278.54876272;30086;ES1110013.0714;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1278.54876272
Neda;"POLIGONAL P.E Caaveiro
";30019;25535;ES1110013.0714;UA531;4.85249323998;UA500;1278.54876272;30087;ES1110013.0714;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1278.54876272
Neda;"POLIGONAL P.E Caaveiro
";30020;25535;ES1110013.0714;UA531;4.85249323998;UA500;1278.54876272;30088;ES1110013.0714;1.0;S;6410;6410;;Prados con Molinia;1278.54876272
Neda;"POLIGONAL P.E Caaveiro
";30029;25539;ES1110013.0718;UA220;0.80242989352;UA200;4019.12888826;30097;ES1110013.0718;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4019.12888826
Neda;"POLIGONAL P.E Caaveiro
";30030;25539;ES1110013.0718;UA220;0.80242989352;UA200;4019.12888826;30098;ES1110013.0718;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4019.12888826
Neda;"POLIGONAL P.E Caaveiro
";30031;25539;ES1110013.0718;UA220;0.80242989352;UA200;4019.12888826;30099;ES1110013.0718;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4019.12888826
Neda;"POLIGONAL P.E Caaveiro
";30091;25563;ES1110013.0743;UA260;0.252337191383;UA200;253.613218455;30159;ES1110013.0743;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;253.613218455
Neda;"POLIGONAL P.E Caaveiro
";30092;25563;ES1110013.0743;UA260;0.252337191383;UA200;253.613218455;30160;ES1110013.0743;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;253.613218455
Neda;"POLIGONAL P.E Caaveiro
";30093;25564;ES1110013.0744;UA260;0.249204496937;UA200;449.733834849;30161;ES1110013.0744;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;449.733834849
Neda;"POLIGONAL P.E Caaveiro
";30094;25564;ES1110013.0744;UA260;0.249204496937;UA200;449.733834849;30162;ES1110013.0744;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;449.733834849
Neda;"POLIGONAL P.E Caaveiro
";30095;25565;ES1110013.0745;UA260;0.562507500722;UA200;1215.14577296;30163;ES1110013.0745;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1215.14577296
Neda;"POLIGONAL P.E Caaveiro
";30096;25565;ES1110013.0745;UA260;0.562507500722;UA200;1215.14577296;30164;ES1110013.0745;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1215.14577296
Neda;"POLIGONAL P.E Caaveiro
";30097;25566;ES1110013.0746;UA260;0.629017024335;UA200;1116.91735656;30165;ES1110013.0746;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1116.91735656
Neda;"POLIGONAL P.E Caaveiro
";30098;25566;ES1110013.0746;UA260;0.629017024335;UA200;1116.91735656;30166;ES1110013.0746;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1116.91735656
Neda;"POLIGONAL P.E Caaveiro
";30144;25603;ES1110013.0783;UA260;1.09850476682;UA200;2004.64288824;30212;ES1110013.0783;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2004.64288824
Neda;"POLIGONAL P.E Caaveiro
";30145;25603;ES1110013.0783;UA260;1.09850476682;UA200;2004.64288824;30213;ES1110013.0783;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2004.64288824
Neda;"POLIGONAL P.E Caaveiro
";30165;25614;ES1110013.0794;UA531;9.82099432228;UA500;2287.19309375;30234;ES1110013.0794;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2287.19309375
Neda;"POLIGONAL P.E Caaveiro
";30166;25614;ES1110013.0794;UA531;9.82099432228;UA500;2287.19309375;30235;ES1110013.0794;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2287.19309375
