concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Negueira de Muñiz;;89088;58611;ES1120010.0005;UA220;0.391850260224;UA200;3844.35817684;89158;ES1120010.0005;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3844.35817684
Negueira de Muñiz;;89089;58611;ES1120010.0005;UA220;0.391850260224;UA200;3844.35817684;89156;ES1120010.0005;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3844.35817684
Negueira de Muñiz;;89090;58611;ES1120010.0005;UA220;0.391850260224;UA200;3844.35817684;89157;ES1120010.0005;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3844.35817684
Negueira de Muñiz;;89091;58612;ES1120010.0006;UA220;0.362594443707;UA200;3608.78812502;89159;ES1120010.0006;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3608.78812502
Negueira de Muñiz;;89092;58612;ES1120010.0006;UA220;0.362594443707;UA200;3608.78812502;89160;ES1120010.0006;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3608.78812502
Negueira de Muñiz;;89093;58612;ES1120010.0006;UA220;0.362594443707;UA200;3608.78812502;89161;ES1120010.0006;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3608.78812502
Negueira de Muñiz;;89121;58565;ES1120010.0018;UA220;0.0539363720016;UA200;543.060050991;89189;ES1120010.0018;5.0;P;3260;3260;;Ríos dos pisos basal a montano;543.060050991
Negueira de Muñiz;;89122;58565;ES1120010.0018;UA220;0.0539363720016;UA200;543.060050991;89190;ES1120010.0018;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;543.060050991
Negueira de Muñiz;;89123;58565;ES1120010.0018;UA220;0.0539363720016;UA200;543.060050991;89191;ES1120010.0018;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;543.060050991
Negueira de Muñiz;;89130;59071;ES1120010.0021;UA220;0.454513886862;UA200;4548.86776141;89200;ES1120010.0021;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4548.86776141
Negueira de Muñiz;;89131;59071;ES1120010.0021;UA220;0.454513886862;UA200;4548.86776141;89198;ES1120010.0021;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4548.86776141
Negueira de Muñiz;;89132;59071;ES1120010.0021;UA220;0.454513886862;UA200;4548.86776141;89199;ES1120010.0021;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4548.86776141
Negueira de Muñiz;;89202;58607;ES1120010.0045;UA220;0.43911866581;UA200;4397.48205523;89272;ES1120010.0045;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4397.48205523
Negueira de Muñiz;;89203;58607;ES1120010.0045;UA220;0.43911866581;UA200;4397.48205523;89270;ES1120010.0045;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4397.48205523
Negueira de Muñiz;;89204;58607;ES1120010.0045;UA220;0.43911866581;UA200;4397.48205523;89271;ES1120010.0045;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4397.48205523
Negueira de Muñiz;;89682;59069;ES1120010.0299;UA630;81.3606449662;UA600;9341.09487202;89750;ES1120010.0299;2.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9341.09487202
Negueira de Muñiz;;89683;59069;ES1120010.0299;UA630;81.3606449662;UA600;9341.09487202;89751;ES1120010.0299;2.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9341.09487202
Negueira de Muñiz;;89684;58776;ES1120010.0300;UA320;9.39609509307;UA300;2768.73027358;89752;ES1120010.0300;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2768.73027358
Negueira de Muñiz;;89685;58776;ES1120010.0300;UA320;9.39609509307;UA300;2768.73027358;89755;ES1120010.0300;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2768.73027358
Negueira de Muñiz;;89686;58776;ES1120010.0300;UA320;9.39609509307;UA300;2768.73027358;89753;ES1120010.0300;1.0;V;4030;4030;;Queirogais secos europeos;2768.73027358
Negueira de Muñiz;;89687;58776;ES1120010.0300;UA320;9.39609509307;UA300;2768.73027358;89754;ES1120010.0300;5.0;V;4030;4030;;Queirogais secos europeos;2768.73027358
Negueira de Muñiz;;89703;58781;ES1120010.0305;UA530;28.6474210071;UA500;7361.37851497;89772;ES1120010.0305;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7361.37851497
Negueira de Muñiz;;89704;58781;ES1120010.0305;UA530;28.6474210071;UA500;7361.37851497;89771;ES1120010.0305;2.0;V;6510;6510;;Prados de sega de baixa altitude;7361.37851497
