concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Oroso;MONTE MAIOR;35394;31371;ES1110016.1360;UA220;6.59430690777;UA200;21924.970828;35462;ES1110016.1360;5.0;P;3260;3260;;Ríos dos pisos basal a montano;21924.970828
Oroso;MONTE MAIOR;35395;31371;ES1110016.1360;UA220;6.59430690777;UA200;21924.970828;35463;ES1110016.1360;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;21924.970828
Oroso;MONTE MAIOR;35396;31371;ES1110016.1360;UA220;6.59430690777;UA200;21924.970828;35464;ES1110016.1360;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;21924.970828
Oroso;MONTE MAIOR;35874;31517;ES1110016.1638;UA220;12.4739794321;UA200;41572.6579902;35943;ES1110016.1638;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;41572.6579902
Oroso;MONTE MAIOR;35875;31517;ES1110016.1638;UA220;12.4739794321;UA200;41572.6579902;35944;ES1110016.1638;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;41572.6579902
Oroso;MONTE MAIOR;35876;31517;ES1110016.1638;UA220;12.4739794321;UA200;41572.6579902;35942;ES1110016.1638;5.0;P;3260;3260;;Ríos dos pisos basal a montano;41572.6579902
Oroso;MONTE MAIOR;35894;31532;ES1110016.1653;UA220;2.03461498307;UA200;3150.17485615;35963;ES1110016.1653;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3150.17485615
Oroso;MONTE MAIOR;35895;31532;ES1110016.1653;UA220;2.03461498307;UA200;3150.17485615;35964;ES1110016.1653;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3150.17485615
Oroso;MONTE MAIOR;35896;31532;ES1110016.1653;UA220;2.03461498307;UA200;3150.17485615;35962;ES1110016.1653;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3150.17485615
Oroso;MONTE MAIOR;36011;32180;ES1110016.1722;UA530;7.17732142707;UA500;1769.04244437;36079;ES1110016.1722;1.0;V;6510;6510;;Prados de sega de baixa altitude;1769.04244437
Oroso;MONTE MAIOR;36012;32180;ES1110016.1722;UA530;7.17732142707;UA500;1769.04244437;36080;ES1110016.1722;4.0;V;6510;6510;;Prados de sega de baixa altitude;1769.04244437
Oroso;MONTE MAIOR;36013;32180;ES1110016.1722;UA530;7.17732142707;UA500;1769.04244437;36081;ES1110016.1722;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1769.04244437
Oroso;MONTE MAIOR;36014;29076;ES1110016.1724;UA220;0.255407914801;UA200;864.080958143;36082;ES1110016.1724;5.0;P;3260;3260;;Ríos dos pisos basal a montano;864.080958143
Oroso;MONTE MAIOR;36015;29076;ES1110016.1724;UA220;0.255407914801;UA200;864.080958143;36083;ES1110016.1724;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;864.080958143
Oroso;MONTE MAIOR;36016;29076;ES1110016.1724;UA220;0.255407914801;UA200;864.080958143;36084;ES1110016.1724;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;864.080958143
Oroso;MONTE MAIOR;36017;28731;ES1110016.1727;UA260;0.0555288705192;UA200;232.85855877;36086;ES1110016.1727;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;232.85855877
Oroso;MONTE MAIOR;36018;28731;ES1110016.1727;UA260;0.0555288705192;UA200;232.85855877;36085;ES1110016.1727;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;232.85855877
Oroso;MONTE MAIOR;36019;28732;ES1110016.1728;UA260;0.0655345903965;UA200;259.048958171;36087;ES1110016.1728;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;259.048958171
Oroso;MONTE MAIOR;36020;28732;ES1110016.1728;UA260;0.0655345903965;UA200;259.048958171;36088;ES1110016.1728;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;259.048958171
Oroso;MONTE MAIOR;36021;28734;ES1110016.1730;UA530;1.81303087076;UA500;752.057247227;36089;ES1110016.1730;4.0;V;6510;6510;;Prados de sega de baixa altitude;752.057247227
Oroso;MONTE MAIOR;36022;28734;ES1110016.1730;UA530;1.81303087076;UA500;752.057247227;36090;ES1110016.1730;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;752.057247227
Oroso;MONTE MAIOR;36023;28734;ES1110016.1730;UA530;1.81303087076;UA500;752.057247227;36091;ES1110016.1730;1.0;S;6410;6410;;Prados con Molinia;752.057247227
Oroso;MONTE MAIOR;36024;28713;ES1110016.1731;UA260;0.148938857637;UA200;322.639904376;36094;ES1110016.1731;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;322.639904376
Oroso;MONTE MAIOR;36025;28713;ES1110016.1731;UA260;0.148938857637;UA200;322.639904376;36092;ES1110016.1731;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;322.639904376
Oroso;MONTE MAIOR;36026;28713;ES1110016.1731;UA260;0.148938857637;UA200;322.639904376;36093;ES1110016.1731;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;322.639904376
Oroso;MONTE MAIOR;36027;28712;ES1110016.1732;UA260;0.0923280056248;UA200;130.113046631;36097;ES1110016.1732;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;130.113046631
Oroso;MONTE MAIOR;36028;28712;ES1110016.1732;UA260;0.0923280056248;UA200;130.113046631;36095;ES1110016.1732;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;130.113046631
Oroso;MONTE MAIOR;36029;28712;ES1110016.1732;UA260;0.0923280056248;UA200;130.113046631;36096;ES1110016.1732;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;130.113046631
Oroso;MONTE MAIOR;36062;28702;ES1110016.1762;UA630;19.9355622278;UA600;3375.26747001;36130;ES1110016.1762;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3375.26747001
Oroso;MONTE MAIOR;36063;28739;ES1110016.1763;UA530;13.7410598384;UA500;4353.50963541;36133;ES1110016.1763;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4353.50963541
Oroso;MONTE MAIOR;36064;28739;ES1110016.1763;UA530;13.7410598384;UA500;4353.50963541;36131;ES1110016.1763;1.0;V;6510;6510;;Prados de sega de baixa altitude;4353.50963541
Oroso;MONTE MAIOR;36065;28739;ES1110016.1763;UA530;13.7410598384;UA500;4353.50963541;36132;ES1110016.1763;3.0;V;6510;6510;;Prados de sega de baixa altitude;4353.50963541
Oroso;MONTE MAIOR;36073;30741;ES1110016.1773;UA530;27.2972971186;UA500;7021.08476825;36141;ES1110016.1773;4.0;V;6510;6510;;Prados de sega de baixa altitude;7021.08476825
Oroso;MONTE MAIOR;36363;31203;ES1110016.1984;UA630;18.3978868071;UA600;3286.91865892;36431;ES1110016.1984;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;3286.91865892
Oroso;MONTE MAIOR;36364;31203;ES1110016.1984;UA630;18.3978868071;UA600;3286.91865892;36432;ES1110016.1984;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3286.91865892
Oroso;MONTE MAIOR;36365;30819;ES1110016.1985;UA530;8.31622160557;UA500;2827.32000237;36433;ES1110016.1985;1.0;V;6510;6510;;Prados de sega de baixa altitude;2827.32000237
