concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ortigueira;Capelada I (zona II);3662;1888;ES1110002.0351;UA281;0.385731486633;UA200;489.53508301;3732;ES1110002.0351;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;489.53508301
Ortigueira;Capelada I (zona II);3663;1888;ES1110002.0351;UA281;0.385731486633;UA200;489.53508301;3731;ES1110002.0351;1.0;V;6410;6410;;Prados con Molinia;489.53508301
Ortigueira;Capelada I (zona II);3664;1888;ES1110002.0351;UA281;0.385731486633;UA200;489.53508301;3730;ES1110002.0351;5.0;V;6420;6420;;Prados húmidos mediterráneos do Molinion-Holoschoenion;489.53508301
Ortigueira;Capelada I (zona II);5397;2049;ES1110002.1726;UA281;4.20936427343;UA200;1742.88355572;5466;ES1110002.1726;1.0;V;6410;6410;;Prados con Molinia;1742.88355572
Ortigueira;Capelada I (zona II);5398;2049;ES1110002.1726;UA281;4.20936427343;UA200;1742.88355572;5467;ES1110002.1726;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1742.88355572
Ortigueira;Capelada I (zona II);5399;2049;ES1110002.1726;UA281;4.20936427343;UA200;1742.88355572;5465;ES1110002.1726;5.0;V;6420;6420;;Prados húmidos mediterráneos do Molinion-Holoschoenion;1742.88355572
Ortigueira;Capelada I (zona II);5400;2073;ES1110002.1727;UA530;12.1900457603;UA500;2441.00272637;5471;ES1110002.1727;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2441.00272637
Ortigueira;Capelada I (zona II);5401;2073;ES1110002.1727;UA530;12.1900457603;UA500;2441.00272637;5468;ES1110002.1727;2.0;V;6510;6510;;Prados de sega de baixa altitude;2441.00272637
Ortigueira;Capelada I (zona II);5402;2073;ES1110002.1727;UA530;12.1900457603;UA500;2441.00272637;5469;ES1110002.1727;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2441.00272637
Ortigueira;Capelada I (zona II);5403;2073;ES1110002.1727;UA530;12.1900457603;UA500;2441.00272637;5470;ES1110002.1727;1.0;S;6410;6410;;Prados con Molinia;2441.00272637
Ortigueira;Capelada I (zona II),Capelada II (zona III);3669;1890;ES1110002.0353;UA281;1.20662204808;UA200;567.575369432;3736;ES1110002.0353;5.0;V;6420;6420;;Prados húmidos mediterráneos do Molinion-Holoschoenion;567.575369432
Ortigueira;Capelada I (zona II),Capelada II (zona III);3855;1918;ES1110002.0443;UA240;2.22750446939;UA200;732.416351589;3923;ES1110002.0443;5.0;P;7110*;7110;X;Turbeiras altas activas;732.416351589
Ortigueira;Capelada I (zona II),Capelada II (zona III);3856;1918;ES1110002.0443;UA240;2.22750446939;UA200;732.416351589;3924;ES1110002.0443;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;732.416351589
Ortigueira;Capelada I (zona II),Capelada II (zona III);4016;1923;ES1110002.0510;UA310;0.419600683367;UA300;353.45517876;4084;ES1110002.0510;5.0;P;4030;4030;;Queirogais secos europeos;353.45517876
Ortigueira;Capelada I (zona II),Capelada II (zona III);5190;1975;ES1110002.0914;UA530;9.78848827194;UA500;2087.54419066;5256;ES1110002.0914;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2087.54419066
Ortigueira;Capelada I (zona II),Capelada II (zona III);5378;2219;ES1110002.1718;UA270;120.881532995;UA200;13832.196799;5447;ES1110002.1718;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;13832.196799
Ortigueira;Capelada I (zona II),Capelada II (zona III);5379;2219;ES1110002.1718;UA270;120.881532995;UA200;13832.196799;5450;ES1110002.1718;1.0;S;4030;4030;;Queirogais secos europeos;13832.196799
Ortigueira;Capelada I (zona II),Capelada II (zona III);5380;2219;ES1110002.1718;UA270;120.881532995;UA200;13832.196799;5449;ES1110002.1718;1.0;V;7140;7140;;Turbeiras de transición e inllós;13832.196799
Ortigueira;Capelada I (zona II),Capelada II (zona III);5381;2219;ES1110002.1718;UA270;120.881532995;UA200;13832.196799;5446;ES1110002.1718;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;13832.196799
Ortigueira;Capelada I (zona II),Capelada II (zona III);5435;2051;ES1110002.1742;UA310;29.5109762671;UA300;4183.11154612;5503;ES1110002.1742;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4183.11154612
Ortigueira;Capelada I (zona II),Capelada II (zona III);5447;2092;ES1110002.1751;UA240;5.69299292909;UA200;1603.24251552;5516;ES1110002.1751;2.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1603.24251552
Ortigueira;Capelada I (zona II),Capelada II (zona III);5448;2092;ES1110002.1751;UA240;5.69299292909;UA200;1603.24251552;5519;ES1110002.1751;1.0;V;7140;7140;;Turbeiras de transición e inllós;1603.24251552
Ortigueira;Capelada I (zona II),Capelada II (zona III);5449;2092;ES1110002.1751;UA240;5.69299292909;UA200;1603.24251552;5517;ES1110002.1751;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1603.24251552
Ortigueira;Capelada I (zona II),Capelada II (zona III);5451;2092;ES1110002.1751;UA240;5.69299292909;UA200;1603.24251552;5518;ES1110002.1751;5.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1603.24251552
Ortigueira;Capelada I (zona II),Capelada II (zona III);6205;2091;ES1110002.2092;UA230;0.701021957396;UA200;361.0112369;6273;ES1110002.2092;5.0;P;7130*;7130;X;Turbeiras de cobertor (* para turbeiras activas);361.0112369
Ortigueira;Capelada I (zona II),Capelada II (zona III);6206;2091;ES1110002.2092;UA230;0.701021957396;UA200;361.0112369;6274;ES1110002.2092;2.0;V;7140;7140;;Turbeiras de transición e inllós;361.0112369
Ortigueira;Capelada II (zona III),Capelada I (zona II);3668;1890;ES1110002.0353;UA281;1.20662204808;UA200;567.575369432;3737;ES1110002.0353;1.0;V;6410;6410;;Prados con Molinia;567.575369432
Ortigueira;Capelada II (zona III),Capelada I (zona II);3670;1890;ES1110002.0353;UA281;1.20662204808;UA200;567.575369432;3738;ES1110002.0353;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;567.575369432
Ortigueira;Capelada II (zona III),Capelada I (zona II);3857;1918;ES1110002.0443;UA240;2.22750446939;UA200;732.416351589;3925;ES1110002.0443;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;732.416351589
Ortigueira;Capelada II (zona III),Capelada I (zona II);3858;1918;ES1110002.0443;UA240;2.22750446939;UA200;732.416351589;3926;ES1110002.0443;3.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;732.416351589
Ortigueira;Capelada II (zona III),Capelada I (zona II);3859;1918;ES1110002.0443;UA240;2.22750446939;UA200;732.416351589;3927;ES1110002.0443;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;732.416351589
Ortigueira;Capelada II (zona III),Capelada I (zona II);3860;1918;ES1110002.0443;UA240;2.22750446939;UA200;732.416351589;3928;ES1110002.0443;1.0;V;7140;7140;;Turbeiras de transición e inllós;732.416351589
Ortigueira;Capelada II (zona III),Capelada I (zona II);4055;1927;ES1110002.0522;UA310;0.672243053966;UA300;428.699980396;4123;ES1110002.0522;5.0;P;4030;4030;;Queirogais secos europeos;428.699980396
Ortigueira;Capelada II (zona III),Capelada I (zona II);4066;1928;ES1110002.0526;UA310;0.468319582464;UA300;376.58400616;4134;ES1110002.0526;5.0;P;4030;4030;;Queirogais secos europeos;376.58400616
Ortigueira;Capelada II (zona III),Capelada I (zona II);5188;1975;ES1110002.0914;UA530;9.78848827194;UA500;2087.54419066;5257;ES1110002.0914;1.0;S;6410;6410;;Prados con Molinia;2087.54419066
