concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pedrafita do Cebreiro;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;42537;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42610;Es1120001.1188;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;162005.158118
Pedrafita do Cebreiro;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;42538;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42611;Es1120001.1188;1.0;S;8310;8310;;Covas non explotadas polo turismo;162005.158118
Pedrafita do Cebreiro;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;42539;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42609;Es1120001.1188;1.0;S;3260;3260;;Ríos dos pisos basal a montano;162005.158118
Pedrafita do Cebreiro;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);42543;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42607;Es1120001.1188;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;162005.158118
Pedrafita do Cebreiro;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;42536;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42605;Es1120001.1188;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;162005.158118
Pedrafita do Cebreiro;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;42540;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42608;Es1120001.1188;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;162005.158118
Pedrafita do Cebreiro;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);42541;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42606;Es1120001.1188;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;162005.158118
Pedrafita do Cebreiro;Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I);42542;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42604;Es1120001.1188;5.0;P;4030;4030;;Queirogais secos europeos;162005.158118
Pedrafita do Cebreiro;;39813;33303;Es1120001.0351;UA220;0.178256003444;UA200;1766.86641505;39881;Es1120001.0351;5.0;P;3260;3260;;Ríos dos pisos basal a montano;1766.86641505
Pedrafita do Cebreiro;;39814;33303;Es1120001.0351;UA220;0.178256003444;UA200;1766.86641505;39882;Es1120001.0351;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1766.86641505
