concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pino, O;O PET N;35175;31377;ES1110016.1243;UA220;1.85766227984;UA200;6204.67454094;35243;ES1110016.1243;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6204.67454094
Pino, O;O PET N;35176;31377;ES1110016.1243;UA220;1.85766227984;UA200;6204.67454094;35244;ES1110016.1243;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6204.67454094
Pino, O;O PET N;35177;31377;ES1110016.1243;UA220;1.85766227984;UA200;6204.67454094;35245;ES1110016.1243;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6204.67454094
Pino, O;O PET N;35196;31302;ES1110016.1252;UA220;1.87881138156;UA200;6276.34619399;35264;ES1110016.1252;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6276.34619399
Pino, O;O PET N;35197;31302;ES1110016.1252;UA220;1.87881138156;UA200;6276.34619399;35265;ES1110016.1252;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6276.34619399
Pino, O;O PET N;35198;31302;ES1110016.1252;UA220;1.87881138156;UA200;6276.34619399;35266;ES1110016.1252;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6276.34619399
Pino, O;O PET N;35249;31303;ES1110016.1274;UA220;1.12669304023;UA200;3766.49175494;35318;ES1110016.1274;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3766.49175494
Pino, O;O PET N;35250;31303;ES1110016.1274;UA220;1.12669304023;UA200;3766.49175494;35317;ES1110016.1274;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3766.49175494
Pino, O;O PET N;35298;31305;ES1110016.1303;UA631;29.3014110594;UA600;6518.40402617;35366;ES1110016.1303;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;6518.40402617
Pino, O;O PET N;35299;31305;ES1110016.1303;UA631;29.3014110594;UA600;6518.40402617;35367;ES1110016.1303;1.0;S;6410;6410;;Prados con Molinia;6518.40402617
Pino, O;O PET N;35300;31304;ES1110016.1304;UA530;5.61558287171;UA500;2911.29990944;35368;ES1110016.1304;4.0;V;6510;6510;;Prados de sega de baixa altitude;2911.29990944
Pino, O;O PET N;35301;31304;ES1110016.1304;UA530;5.61558287171;UA500;2911.29990944;35369;ES1110016.1304;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2911.29990944
Pino, O;O PET N;35355;32178;ES1110016.1334;UA220;2.84046938389;UA200;9474.84640292;35424;ES1110016.1334;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;9474.84640292
Pino, O;O PET N;35356;32178;ES1110016.1334;UA220;2.84046938389;UA200;9474.84640292;35425;ES1110016.1334;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9474.84640292
Pino, O;O PET N;35357;32178;ES1110016.1334;UA220;2.84046938389;UA200;9474.84640292;35423;ES1110016.1334;5.0;P;3260;3260;;Ríos dos pisos basal a montano;9474.84640292
Pino, O;O PET N;38461;31376;ES1110016.3391;UA220;2.55679505085;UA200;8528.16107838;38530;ES1110016.3391;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;8528.16107838
Pino, O;O PET N;38462;31376;ES1110016.3391;UA220;2.55679505085;UA200;8528.16107838;38531;ES1110016.3391;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;8528.16107838
Pino, O;O PET N;38463;31376;ES1110016.3391;UA220;2.55679505085;UA200;8528.16107838;38529;ES1110016.3391;5.0;P;3260;3260;;Ríos dos pisos basal a montano;8528.16107838
