concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pobra do Brollón, A;"Poligonal Parque Boibela
";106894;70566;ES1120016.0280;UA630;181.290331139;UA600;20365.6658669;106962;ES1120016.0280;2.0;S;4030;4030;;Queirogais secos europeos;20365.6658669
Pobra do Brollón, A;"Poligonal Parque Boibela
";106905;70583;ES1120016.0297;UA630;83.7100438389;UA600;4735.61194158;106973;ES1120016.0297;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;4735.61194158
Pobra do Brollón, A;"Poligonal Parque Boibela
";106906;70583;ES1120016.0297;UA630;83.7100438389;UA600;4735.61194158;106974;ES1120016.0297;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;4735.61194158
Pobra do Brollón, A;"Poligonal Parque Boibela
";107117;70641;ES1120016.0355;UA630;31.7880323203;UA600;3619.85249277;107185;ES1120016.0355;1.0;S;4030;4030;;Queirogais secos europeos;3619.85249277
Pobra do Brollón, A;"Poligonal Parque Boibela
";107129;70646;ES1120016.0360;UA220;0.143385849013;UA200;735.734400391;107199;ES1120016.0360;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;735.734400391
Pobra do Brollón, A;"Poligonal Parque Boibela
";107130;70646;ES1120016.0360;UA220;0.143385849013;UA200;735.734400391;107197;ES1120016.0360;5.0;P;3260;3260;;Ríos dos pisos basal a montano;735.734400391
Pobra do Brollón, A;"Poligonal Parque Boibela
";107131;70646;ES1120016.0360;UA220;0.143385849013;UA200;735.734400391;107198;ES1120016.0360;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;735.734400391
Pobra do Brollón, A;"Poligonal Parque Boibela
";107132;70647;ES1120016.0361;UA220;0.761000771537;UA200;3813.51759116;107202;ES1120016.0361;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3813.51759116
Pobra do Brollón, A;"Poligonal Parque Boibela
";107133;70647;ES1120016.0361;UA220;0.761000771537;UA200;3813.51759116;107201;ES1120016.0361;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;3813.51759116
Pobra do Brollón, A;"Poligonal Parque Boibela
";107134;70647;ES1120016.0361;UA220;0.761000771537;UA200;3813.51759116;107200;ES1120016.0361;5.0;P;3260;3260;;Ríos dos pisos basal a montano;3813.51759116
