concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ponteceso;CORME;10064;11332;ES1110005.0058;UA111;106.28210019;UA100;14004.3860487;10132;ES1110005.0058;;A;1160;1160;;Grandes calas e baías pouco fondas;14004.3860487
Ponteceso;CORME;10065;11332;ES1110005.0058;UA111;106.28210019;UA100;14004.3860487;10133;ES1110005.0058;;A;1170;1170;;Arrecifes;14004.3860487
Ponteceso;CORME;10456;11430;ES1110005.0166;UA161;35.7222008894;UA100;25588.8253311;10526;ES1110005.0166;1.0;V;1170;1170;;Arrecifes;25588.8253311
Ponteceso;CORME;10457;11430;ES1110005.0166;UA161;35.7222008894;UA100;25588.8253311;10530;ES1110005.0166;1.0;V;1210;1210;;Vexetación anual sobre argazos;25588.8253311
Ponteceso;CORME;10458;11430;ES1110005.0166;UA161;35.7222008894;UA100;25588.8253311;10529;ES1110005.0166;1.0;V;7220*;7220;X;Mananciais petrificantes con formación de “tuf” (Cratoneurion);25588.8253311
Ponteceso;CORME;10459;11430;ES1110005.0166;UA161;35.7222008894;UA100;25588.8253311;10527;ES1110005.0166;1.0;V;8330;8330;;Furnas mariñas;25588.8253311
Ponteceso;CORME;10460;11430;ES1110005.0166;UA161;35.7222008894;UA100;25588.8253311;10525;ES1110005.0166;1.0;V;1170;1170;;Arrecifes;25588.8253311
Ponteceso;CORME;10461;11430;ES1110005.0166;UA161;35.7222008894;UA100;25588.8253311;10524;ES1110005.0166;5.0;P;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;25588.8253311
Ponteceso;CORME;10462;11430;ES1110005.0166;UA161;35.7222008894;UA100;25588.8253311;10528;ES1110005.0166;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;25588.8253311
Ponteceso;CORME;10689;11549;ES1110005.0287;UA320;1.36971953124;UA300;757.033308943;10760;ES1110005.0287;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;757.033308943
Ponteceso;CORME;10690;11549;ES1110005.0287;UA320;1.36971953124;UA300;757.033308943;10757;ES1110005.0287;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;757.033308943
Ponteceso;CORME;10691;11549;ES1110005.0287;UA320;1.36971953124;UA300;757.033308943;10758;ES1110005.0287;4.0;V;4030;4030;;Queirogais secos europeos;757.033308943
Ponteceso;CORME;10692;11549;ES1110005.0287;UA320;1.36971953124;UA300;757.033308943;10759;ES1110005.0287;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;757.033308943
Ponteceso;CORME;10868;11600;ES1110005.0339;UA320;0.885764062487;UA300;611.52172043;10936;ES1110005.0339;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;611.52172043
Ponteceso;CORME;10869;11600;ES1110005.0339;UA320;0.885764062487;UA300;611.52172043;10937;ES1110005.0339;4.0;V;4030;4030;;Queirogais secos europeos;611.52172043
Ponteceso;CORME;10870;11600;ES1110005.0339;UA320;0.885764062487;UA300;611.52172043;10938;ES1110005.0339;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;611.52172043
Ponteceso;CORME;10871;11600;ES1110005.0339;UA320;0.885764062487;UA300;611.52172043;10939;ES1110005.0339;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;611.52172043
Ponteceso;CORME;10877;11602;ES1110005.0341;UA320;20.5147785206;UA300;5645.50164627;10946;ES1110005.0341;4.0;V;4030;4030;;Queirogais secos europeos;5645.50164627
Ponteceso;CORME;10878;11602;ES1110005.0341;UA320;20.5147785206;UA300;5645.50164627;10947;ES1110005.0341;1.0;V;4030;4030;;Queirogais secos europeos;5645.50164627
Ponteceso;CORME;10879;11602;ES1110005.0341;UA320;20.5147785206;UA300;5645.50164627;10948;ES1110005.0341;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;5645.50164627
Ponteceso;CORME;10880;11602;ES1110005.0341;UA320;20.5147785206;UA300;5645.50164627;10949;ES1110005.0341;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;5645.50164627
Ponteceso;CORME;10881;11602;ES1110005.0341;UA320;20.5147785206;UA300;5645.50164627;10945;ES1110005.0341;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;5645.50164627
Ponteceso;CORME;10911;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10982;ES1110005.0350;1.0;V;1230;1230;;Cantís con vexetación das costas atlánticas e bálticas;29557.145846
Ponteceso;CORME;10912;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10986;ES1110005.0350;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;29557.145846
Ponteceso;CORME;10913;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10985;ES1110005.0350;4.0;V;4030;4030;;Queirogais secos europeos;29557.145846
Ponteceso;CORME;10914;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10983;ES1110005.0350;2.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;29557.145846
Ponteceso;CORME;10915;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10981;ES1110005.0350;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;29557.145846
Ponteceso;CORME;10916;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10980;ES1110005.0350;2.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;29557.145846
Ponteceso;CORME;10917;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10979;ES1110005.0350;5.0;P;4030;4030;;Queirogais secos europeos;29557.145846
Ponteceso;CORME;10918;11611;ES1110005.0350;UA162;79.0154890054;UA100;29557.145846;10984;ES1110005.0350;1.0;V;4030;4030;;Queirogais secos europeos;29557.145846
Ponteceso;CORME;12097;12082;ES1110005.0858;UA162;0.711514062504;UA100;463.312757465;12168;ES1110005.0858;1.0;V;4030;4030;;Queirogais secos europeos;463.312757465
Ponteceso;CORME;12098;12082;ES1110005.0858;UA162;0.711514062504;UA100;463.312757465;12167;ES1110005.0858;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;463.312757465
Ponteceso;CORME;12099;12082;ES1110005.0858;UA162;0.711514062504;UA100;463.312757465;12165;ES1110005.0858;5.0;P;4030;4030;;Queirogais secos europeos;463.312757465
Ponteceso;CORME;12100;12082;ES1110005.0858;UA162;0.711514062504;UA100;463.312757465;12166;ES1110005.0858;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;463.312757465
Ponteceso;CORME;12117;12086;ES1110005.0862;UA162;3.59399843752;UA100;2005.05177839;12186;ES1110005.0862;5.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2005.05177839
Ponteceso;CORME;12118;12086;ES1110005.0862;UA162;3.59399843752;UA100;2005.05177839;12187;ES1110005.0862;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;2005.05177839
Ponteceso;CORME;12119;12086;ES1110005.0862;UA162;3.59399843752;UA100;2005.05177839;12188;ES1110005.0862;1.0;V;4030;4030;;Queirogais secos europeos;2005.05177839
Ponteceso;CORME;12120;12086;ES1110005.0862;UA162;3.59399843752;UA100;2005.05177839;12189;ES1110005.0862;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2005.05177839
Ponteceso;CORME;12121;12086;ES1110005.0862;UA162;3.59399843752;UA100;2005.05177839;12185;ES1110005.0862;5.0;P;4030;4030;;Queirogais secos europeos;2005.05177839
