concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pontenova, A;Coto de Frades;84322;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84394;ES1120006.0035;1.0;S;3260;3260;;Ríos dos pisos basal a montano;24350.4627615
Pontenova, A;Coto de Frades;84323;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84390;ES1120006.0035;5.0;P;4030;4030;;Queirogais secos europeos;24350.4627615
Pontenova, A;Coto de Frades;84324;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84396;ES1120006.0035;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;24350.4627615
Pontenova, A;Coto de Frades;84325;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84395;ES1120006.0035;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;24350.4627615
Pontenova, A;Coto de Frades;84326;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84393;ES1120006.0035;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;24350.4627615
Pontenova, A;Coto de Frades;84327;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84391;ES1120006.0035;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;24350.4627615
Pontenova, A;Coto de Frades;84328;56907;ES1120006.0035;UA310;269.950056744;UA300;24350.4627615;84392;ES1120006.0035;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;24350.4627615
Pontenova, A;Coto de Frades;84340;55016;ES1120006.0055;UA532;6.73734583939;UA500;1986.78448477;84409;ES1120006.0055;1.0;V;6510;6510;;Prados de sega de baixa altitude;1986.78448477
Pontenova, A;Coto de Frades;84341;55016;ES1120006.0055;UA532;6.73734583939;UA500;1986.78448477;84410;ES1120006.0055;1.0;S;6410;6410;;Prados con Molinia;1986.78448477
Pontenova, A;Coto de Frades;84342;55016;ES1120006.0055;UA532;6.73734583939;UA500;1986.78448477;84408;ES1120006.0055;2.0;V;6510;6510;;Prados de sega de baixa altitude;1986.78448477
Pontenova, A;Coto de Frades;84343;55022;ES1120006.0061;UA532;5.172465625;UA500;1124.93341395;84411;ES1120006.0061;2.0;V;6510;6510;;Prados de sega de baixa altitude;1124.93341395
Pontenova, A;Coto de Frades;84344;55022;ES1120006.0061;UA532;5.172465625;UA500;1124.93341395;84412;ES1120006.0061;1.0;V;6510;6510;;Prados de sega de baixa altitude;1124.93341395
Pontenova, A;Coto de Frades;84345;55022;ES1120006.0061;UA532;5.172465625;UA500;1124.93341395;84413;ES1120006.0061;1.0;S;6410;6410;;Prados con Molinia;1124.93341395
Pontenova, A;Coto de Frades;84346;55024;ES1120006.0063;UA310;1.09960156249;UA300;469.645329616;84414;ES1120006.0063;5.0;P;4030;4030;;Queirogais secos europeos;469.645329616
Pontenova, A;Coto de Frades;84347;56917;ES1120006.0064;UA310;100.000062525;UA300;22032.7839459;84420;ES1120006.0064;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;22032.7839459
Pontenova, A;Coto de Frades;84348;56917;ES1120006.0064;UA310;100.000062525;UA300;22032.7839459;84419;ES1120006.0064;1.0;S;3260;3260;;Ríos dos pisos basal a montano;22032.7839459
Pontenova, A;Coto de Frades;84349;56917;ES1120006.0064;UA310;100.000062525;UA300;22032.7839459;84418;ES1120006.0064;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;22032.7839459
