concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100778;67458;ES1120015.1581;UA411;81.9101615018;UA400;11013.0398651;100846;ES1120015.1581;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;11013.0398651
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100790;67459;ES1120015.1585;UA260;0.388681751529;UA200;892.573725868;100858;ES1120015.1585;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;892.573725868
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100791;67460;ES1120015.1586;UA260;0.291948315597;UA200;881.153542264;100859;ES1120015.1586;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;881.153542264
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100793;67461;ES1120015.1587;UA260;0.0689558106781;UA200;426.251865338;100861;ES1120015.1587;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;426.251865338
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100794;67461;ES1120015.1587;UA260;0.0689558106781;UA200;426.251865338;100862;ES1120015.1587;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;426.251865338
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100797;67463;ES1120015.1590;UA260;2.61753486376;UA200;4734.04003877;100865;ES1120015.1590;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4734.04003877
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100798;67463;ES1120015.1590;UA260;2.61753486376;UA200;4734.04003877;100866;ES1120015.1590;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4734.04003877
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100799;67464;ES1120015.1591;UA220;1.8966885233;UA200;6261.47068546;100867;ES1120015.1591;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6261.47068546
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;100801;67465;ES1120015.1592;UA260;0.0379792435415;UA200;124.436672543;100869;ES1120015.1592;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;124.436672543
Pontes de García Rodríguez, As;Área de A Valiña (As Pontes),Parque Eólico A Valiña;104234;68290;ES1120015.2873;UA420;18.2993387133;UA400;5245.30934427;104303;ES1120015.2873;1.0;V;9380;9380;;Bosques de Ilex aquifolium;5245.30934427
