concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Quiroga;;41498;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41566;Es1120001.0998;5.0;P;4030;4030;;Queirogais secos europeos;25396.0473098
Quiroga;;41499;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41567;Es1120001.0998;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;25396.0473098
Quiroga;;41500;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41568;Es1120001.0998;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;25396.0473098
Quiroga;;41501;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41569;Es1120001.0998;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;25396.0473098
Quiroga;;41502;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41570;Es1120001.0998;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;25396.0473098
Quiroga;;41503;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41571;Es1120001.0998;1.0;S;3260;3260;;Ríos dos pisos basal a montano;25396.0473098
Quiroga;;41504;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41572;Es1120001.0998;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;25396.0473098
Quiroga;;41505;33940;Es1120001.0998;UA310;186.28632112;UA300;25396.0473098;41573;Es1120001.0998;1.0;S;8310;8310;;Covas non explotadas polo turismo;25396.0473098
Quiroga;;45512;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45585;Es1120001.1701;1.0;S;3260;3260;;Ríos dos pisos basal a montano;456592.962909
Quiroga;;45513;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45580;Es1120001.1701;5.0;P;4030;4030;;Queirogais secos europeos;456592.962909
Quiroga;;45514;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45586;Es1120001.1701;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;456592.962909
Quiroga;;45515;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45587;Es1120001.1701;1.0;S;8310;8310;;Covas non explotadas polo turismo;456592.962909
Quiroga;;45516;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45584;Es1120001.1701;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;456592.962909
Quiroga;;45517;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45583;Es1120001.1701;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;456592.962909
Quiroga;;45518;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45581;Es1120001.1701;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;456592.962909
Quiroga;;45519;40770;Es1120001.1701;UA310;4247.2565937;UA300;456592.962909;45582;Es1120001.1701;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;456592.962909
