concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Ribeira de Piquín;Parque Eólico Fonsagrada;85184;56230;ES1120006.1316;UA310;2.155553125;UA300;1047.65501099;85252;ES1120006.1316;5.0;P;4030;4030;;Queirogais secos europeos;1047.65501099
Ribeira de Piquín;Parque Eólico Fonsagrada;85257;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85326;ES1120006.1393;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;12438.977083
Ribeira de Piquín;Parque Eólico Fonsagrada;85258;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85327;ES1120006.1393;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;12438.977083
Ribeira de Piquín;Parque Eólico Fonsagrada;85259;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85325;ES1120006.1393;5.0;P;4030;4030;;Queirogais secos europeos;12438.977083
Ribeira de Piquín;Parque Eólico Fonsagrada;85260;56298;ES1120006.1393;UA310;79.9158312501;UA300;12438.977083;85328;ES1120006.1393;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;12438.977083
Ribeira de Piquín;Parque Eólico Fonsagrada;85539;56472;ES1120006.1600;UA310;76.9418835167;UA300;8970.90055809;85611;ES1120006.1600;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;8970.90055809
Ribeira de Piquín;Parque Eólico Fonsagrada;85540;56472;ES1120006.1600;UA310;76.9418835167;UA300;8970.90055809;85607;ES1120006.1600;5.0;P;4030;4030;;Queirogais secos europeos;8970.90055809
Ribeira de Piquín;Parque Eólico Fonsagrada;85541;56472;ES1120006.1600;UA310;76.9418835167;UA300;8970.90055809;85608;ES1120006.1600;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;8970.90055809
Ribeira de Piquín;Parque Eólico Fonsagrada;85542;56472;ES1120006.1600;UA310;76.9418835167;UA300;8970.90055809;85609;ES1120006.1600;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;8970.90055809
Ribeira de Piquín;Parque Eólico Fonsagrada;85543;56472;ES1120006.1600;UA310;76.9418835167;UA300;8970.90055809;85610;ES1120006.1600;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;8970.90055809
