concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;87865;58318;ES1120008.0012;UA220;0.684807056764;UA200;4571.38296947;87933;ES1120008.0012;5.0;P;3260;3260;;Ríos dos pisos basal a montano;4571.38296947
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;87866;58318;ES1120008.0012;UA220;0.684807056764;UA200;4571.38296947;87934;ES1120008.0012;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;4571.38296947
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;87867;58318;ES1120008.0012;UA220;0.684807056764;UA200;4571.38296947;87935;ES1120008.0012;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4571.38296947
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88024;58080;ES1120008.0095;UA320;7.07565156849;UA300;2172.28544427;88092;ES1120008.0095;5.0;V;4030;4030;;Queirogais secos europeos;2172.28544427
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88082;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88155;ES1120008.0137;5.0;V;4030;4030;;Queirogais secos europeos;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88083;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88159;ES1120008.0137;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88084;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88158;ES1120008.0137;1.0;S;3260;3260;;Ríos dos pisos basal a montano;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88085;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88157;ES1120008.0137;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88086;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88156;ES1120008.0137;1.0;V;4030;4030;;Queirogais secos europeos;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88087;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88153;ES1120008.0137;1.0;V;8310;8310;;Covas non explotadas polo turismo;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88088;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88152;ES1120008.0137;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88089;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88151;ES1120008.0137;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88090;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88150;ES1120008.0137;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88091;58123;ES1120008.0137;UA320;383.838441127;UA300;41210.9426042;88154;ES1120008.0137;1.0;V;4030;4030;;Queirogais secos europeos;41210.9426042
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88258;58237;ES1120008.0241;UA630;14.59244131;UA600;1974.34356482;88326;ES1120008.0241;1.0;S;4030;4030;;Queirogais secos europeos;1974.34356482
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88261;58238;ES1120008.0243;UA530;0.657293464019;UA500;324.581145745;88329;ES1120008.0243;2.0;V;6510;6510;;Prados de sega de baixa altitude;324.581145745
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88262;58238;ES1120008.0243;UA530;0.657293464019;UA500;324.581145745;88330;ES1120008.0243;1.0;S;6410;6410;;Prados con Molinia;324.581145745
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88276;58246;ES1120008.0252;UA530;0.948060182884;UA500;713.61624043;88345;ES1120008.0252;1.0;S;6410;6410;;Prados con Molinia;713.61624043
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88277;58246;ES1120008.0252;UA530;0.948060182884;UA500;713.61624043;88344;ES1120008.0252;2.0;V;6510;6510;;Prados de sega de baixa altitude;713.61624043
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88278;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88346;ES1120008.0253;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88279;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88354;ES1120008.0253;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88280;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88353;ES1120008.0253;1.0;S;3260;3260;;Ríos dos pisos basal a montano;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88281;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88351;ES1120008.0253;1.0;V;4030;4030;;Queirogais secos europeos;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88282;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88352;ES1120008.0253;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88283;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88349;ES1120008.0253;1.0;V;8310;8310;;Covas non explotadas polo turismo;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88284;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88347;ES1120008.0253;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88285;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88350;ES1120008.0253;5.0;V;4030;4030;;Queirogais secos europeos;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88286;58296;ES1120008.0253;UA320;164.89840316;UA300;14766.948391;88348;ES1120008.0253;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;14766.948391
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88288;58248;ES1120008.0255;UA420;6.8811677058;UA400;2198.71215273;88356;ES1120008.0255;1.0;S;4030;4030;;Queirogais secos europeos;2198.71215273
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88291;58250;ES1120008.0257;UA420;3.47165420108;UA400;1725.33359106;88359;ES1120008.0257;2.0;S;4030;4030;;Queirogais secos europeos;1725.33359106
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88292;58251;ES1120008.0258;UA420;6.18945486948;UA400;1749.66869857;88360;ES1120008.0258;2.0;S;4030;4030;;Queirogais secos europeos;1749.66869857
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88294;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88364;ES1120008.0261;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88295;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88369;ES1120008.0261;1.0;S;3260;3260;;Ríos dos pisos basal a montano;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88296;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88368;ES1120008.0261;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88297;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88367;ES1120008.0261;1.0;V;4030;4030;;Queirogais secos europeos;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88298;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88365;ES1120008.0261;1.0;V;8310;8310;;Covas non explotadas polo turismo;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88299;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88363;ES1120008.0261;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88300;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88362;ES1120008.0261;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88301;58256;ES1120008.0261;UA320;64.7562571892;UA300;7907.51310021;88366;ES1120008.0261;5.0;V;4030;4030;;Queirogais secos europeos;7907.51310021
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88310;58258;ES1120008.0268;UA530;27.3254534346;UA500;5921.87805644;88378;ES1120008.0268;2.0;V;6510;6510;;Prados de sega de baixa altitude;5921.87805644
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88311;58258;ES1120008.0268;UA530;27.3254534346;UA500;5921.87805644;88380;ES1120008.0268;1.0;S;6410;6410;;Prados con Molinia;5921.87805644
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88312;58258;ES1120008.0268;UA530;27.3254534346;UA500;5921.87805644;88379;ES1120008.0268;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5921.87805644
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88315;58263;ES1120008.0271;UA530;17.8478410596;UA500;5738.62749437;88383;ES1120008.0271;2.0;V;6510;6510;;Prados de sega de baixa altitude;5738.62749437
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88316;58263;ES1120008.0271;UA530;17.8478410596;UA500;5738.62749437;88384;ES1120008.0271;1.0;S;6410;6410;;Prados con Molinia;5738.62749437
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88317;58269;ES1120008.0272;UA530;100.361373242;UA500;15858.0261906;88385;ES1120008.0272;2.0;V;6510;6510;;Prados de sega de baixa altitude;15858.0261906
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88318;58269;ES1120008.0272;UA530;100.361373242;UA500;15858.0261906;88386;ES1120008.0272;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;15858.0261906
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88319;58269;ES1120008.0272;UA530;100.361373242;UA500;15858.0261906;88387;ES1120008.0272;1.0;S;6410;6410;;Prados con Molinia;15858.0261906
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88365;58283;ES1120008.0305;UA281;1.27525464554;UA200;533.54178237;88435;ES1120008.0305;2.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;533.54178237
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88366;58283;ES1120008.0305;UA281;1.27525464554;UA200;533.54178237;88433;ES1120008.0305;4.0;V;6410;6410;;Prados con Molinia;533.54178237
Rodeiro;Parque Eólico Chantada,Parque Eólico Chantada;88367;58283;ES1120008.0305;UA281;1.27525464554;UA200;533.54178237;88434;ES1120008.0305;2.0;V;6410;6410;;Prados con Molinia;533.54178237
Rodeiro;Parque Eólico Chantada,Parque Eólico Monte Cabeza,Parque Eólico Chantada,Parque Eólico Monte Cabeza;88239;58223;ES1120008.0225;UA320;6.95496111535;UA300;2315.5149156;88306;ES1120008.0225;5.0;V;4030;4030;;Queirogais secos europeos;2315.5149156
Rodeiro;Parque Eólico Chantada,Parque Eólico Monte Cabeza,Parque Eólico Chantada,Parque Eólico Monte Cabeza;88263;58268;ES1120008.0244;UA320;227.50943173;UA300;17456.8977197;88336;ES1120008.0244;1.0;V;4030;4030;;Queirogais secos europeos;17456.8977197
Rodeiro;Parque Eólico Chantada,Parque Eólico Monte Cabeza,Parque Eólico Chantada,Parque Eólico Monte Cabeza;88264;58268;ES1120008.0244;UA320;227.50943173;UA300;17456.8977197;88332;ES1120008.0244;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;17456.8977197
Rodeiro;Parque Eólico Chantada,Parque Eólico Monte Cabeza,Parque Eólico Chantada,Parque Eólico Monte Cabeza;88266;58268;ES1120008.0244;UA320;227.50943173;UA300;17456.8977197;88337;ES1120008.0244;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;17456.8977197
Rodeiro;Parque Eólico Chantada,Parque Eólico Monte Cabeza,Parque Eólico Chantada,Parque Eólico Monte Cabeza;88268;58268;ES1120008.0244;UA320;227.50943173;UA300;17456.8977197;88333;ES1120008.0244;2.0;V;4030;4030;;Queirogais secos europeos;17456.8977197
Rodeiro;Parque Eólico Chantada,Parque Eólico Monte Cabeza,Parque Eólico Chantada,Parque Eólico Monte Cabeza;88270;58268;ES1120008.0244;UA320;227.50943173;UA300;17456.8977197;88335;ES1120008.0244;1.0;V;4030;4030;;Queirogais secos europeos;17456.8977197
