concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
San Sadurniño;FORGOSELO;28242;24850;ES1110013.0004;UA631;17.6707494071;UA600;2571.04289057;28310;ES1110013.0004;1.0;S;4030;4030;;Queirogais secos europeos;2571.04289057
San Sadurniño;FORGOSELO;28243;24854;ES1110013.0008;UA531;3.3943045343;UA500;1222.93798077;28312;ES1110013.0008;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1222.93798077
San Sadurniño;FORGOSELO;28244;24854;ES1110013.0008;UA531;3.3943045343;UA500;1222.93798077;28313;ES1110013.0008;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1222.93798077
San Sadurniño;FORGOSELO;28245;24854;ES1110013.0008;UA531;3.3943045343;UA500;1222.93798077;28314;ES1110013.0008;1.0;S;6410;6410;;Prados con Molinia;1222.93798077
San Sadurniño;FORGOSELO;28246;24854;ES1110013.0008;UA531;3.3943045343;UA500;1222.93798077;28311;ES1110013.0008;2.0;V;6510;6510;;Prados de sega de baixa altitude;1222.93798077
San Sadurniño;FORGOSELO;28247;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28320;ES1110013.0009;1.0;V;7110*;7110;X;Turbeiras altas activas;1125.73124519
San Sadurniño;FORGOSELO;28248;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28325;ES1110013.0009;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1125.73124519
San Sadurniño;FORGOSELO;28249;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28324;ES1110013.0009;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1125.73124519
San Sadurniño;FORGOSELO;28250;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28323;ES1110013.0009;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;1125.73124519
San Sadurniño;FORGOSELO;28251;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28321;ES1110013.0009;1.0;V;7140;7140;;Turbeiras de transición e inllós;1125.73124519
San Sadurniño;FORGOSELO;28252;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28319;ES1110013.0009;1.0;V;6410;6410;;Prados con Molinia;1125.73124519
San Sadurniño;FORGOSELO;28253;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28318;ES1110013.0009;1.0;V;6230*;6230;X;Formacións herbáceas con Nardus;1125.73124519
San Sadurniño;FORGOSELO;28254;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28317;ES1110013.0009;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1125.73124519
San Sadurniño;FORGOSELO;28255;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28316;ES1110013.0009;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1125.73124519
San Sadurniño;FORGOSELO;28256;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28315;ES1110013.0009;5.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1125.73124519
San Sadurniño;FORGOSELO;28257;24855;ES1110013.0009;UA270;5.56264055104;UA200;1125.73124519;28322;ES1110013.0009;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1125.73124519
San Sadurniño;FORGOSELO;28258;24856;ES1110013.0010;UA270;8.07110931259;UA200;1505.83330261;28333;ES1110013.0010;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1505.83330261
