concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140424;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140502;ES1130002.0001;1.0;S;6410;6410;;Prados con Molinia;7279.32807814
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140428;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140505;ES1130002.0001;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7279.32807814
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140429;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140501;ES1130002.0001;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7279.32807814
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140432;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140514;ES1130002.0004;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;28259.6173514
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140434;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140511;ES1130002.0004;1.0;S;4030;4030;;Queirogais secos europeos;28259.6173514
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140436;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140508;ES1130002.0004;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;28259.6173514
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140438;81105;ES1130002.0006;UA710;3.62820468746;UA700;5276.03100805;140515;ES1130002.0006;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;5276.03100805
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140439;81105;ES1130002.0006;UA710;3.62820468746;UA700;5276.03100805;140516;ES1130002.0006;1.0;S;6410;6410;;Prados con Molinia;5276.03100805
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140447;81107;ES1130002.0008;UA420;5.17291406252;UA400;1093.44511758;140524;ES1130002.0008;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1093.44511758
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140466;81114;ES1130002.0015;UA710;0.2324890625;UA700;486.221496835;140543;ES1130002.0015;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;486.221496835
San Xoán de Río;"Poligonal Parque Treboada
,Poligonal Treboada";140467;81114;ES1130002.0015;UA710;0.2324890625;UA700;486.221496835;140544;ES1130002.0015;1.0;S;6410;6410;;Prados con Molinia;486.221496835
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140421;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140503;ES1130002.0001;1.0;S;4030;4030;;Queirogais secos europeos;7279.32807814
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140422;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140506;ES1130002.0001;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;7279.32807814
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140423;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140504;ES1130002.0001;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;7279.32807814
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140425;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140500;ES1130002.0001;1.0;S;3260;3260;;Ríos dos pisos basal a montano;7279.32807814
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140426;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140499;ES1130002.0001;1.0;V;6510;6510;;Prados de sega de baixa altitude;7279.32807814
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140427;81100;ES1130002.0001;UA540;30.8983586197;UA500;7279.32807814;140498;ES1130002.0001;1.0;V;6520;6520;;Prados de sega de montaña;7279.32807814
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140430;81101;ES1130002.0002;UA420;7.09161562503;UA400;1218.48551316;140507;ES1130002.0002;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1218.48551316
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140431;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140510;ES1130002.0004;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;28259.6173514
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140433;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140513;ES1130002.0004;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;28259.6173514
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140435;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140509;ES1130002.0004;1.0;S;3260;3260;;Ríos dos pisos basal a montano;28259.6173514
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140437;81103;ES1130002.0004;UA411;193.965384762;UA400;28259.6173514;140512;ES1130002.0004;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;28259.6173514
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140471;81117;ES1130002.0018;UA710;0.0230828125003;UA700;83.8291609734;140548;ES1130002.0018;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;83.8291609734
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140472;81117;ES1130002.0018;UA710;0.0230828125003;UA700;83.8291609734;140549;ES1130002.0018;1.0;S;6410;6410;;Prados con Molinia;83.8291609734
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140473;81118;ES1130002.0019;UA710;0.931907812509;UA700;1566.84070109;140550;ES1130002.0019;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1566.84070109
San Xoán de Río;"Poligonal Treboada,Poligonal Parque Treboada
";140474;81118;ES1130002.0019;UA710;0.931907812509;UA700;1566.84070109;140551;ES1130002.0019;1.0;S;6410;6410;;Prados con Molinia;1566.84070109
