concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Silleda;MIRÓN SEIXAS;182249;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182326;ES1140001.1775;1.0;V;6510;6510;;Prados de sega de baixa altitude;9434.83431205
Silleda;MIRÓN SEIXAS;182250;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182327;ES1140001.1775;4.0;V;6510;6510;;Prados de sega de baixa altitude;9434.83431205
Silleda;MIRÓN SEIXAS;182251;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182328;ES1140001.1775;1.0;S;3260;3260;;Ríos dos pisos basal a montano;9434.83431205
Silleda;MIRÓN SEIXAS;182252;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182329;ES1140001.1775;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9434.83431205
Silleda;MIRÓN SEIXAS;182253;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182330;ES1140001.1775;1.0;S;6410;6410;;Prados con Molinia;9434.83431205
Silleda;MIRÓN SEIXAS;182254;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182331;ES1140001.1775;1.0;S;4030;4030;;Queirogais secos europeos;9434.83431205
Silleda;MIRÓN SEIXAS;182255;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182332;ES1140001.1775;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;9434.83431205
Silleda;MIRÓN SEIXAS;182256;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182333;ES1140001.1775;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;9434.83431205
Silleda;MIRÓN SEIXAS;182257;104835;ES1140001.1775;UA520;69.029101707;UA500;9434.83431205;182334;ES1140001.1775;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;9434.83431205
Silleda;Monte Festeiros,Parque Eólico Masgalán-Campo do Coco,MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco;202822;119630;ES1140013.1006;UA320;166.949106671;UA300;17861.4915167;202827;ES1140013.1006;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;17861.4915167
Silleda;Monte Festeiros,Parque Eólico Masgalán-Campo do Coco,MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco;202849;119627;ES1140013.1010;UA320;57.8691946305;UA300;7034.6554929;202854;ES1140013.1010;1.0;V;4030;4030;;Queirogais secos europeos;7034.6554929
Silleda;MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco,Monte Festeiros,Parque Eólico Masgalán-Campo do Coco;201752;119533;ES1140013.0703;UA532;134.515355887;UA500;17915.2498675;201756;ES1140013.0703;1.0;V;6510;6510;;Prados de sega de baixa altitude;17915.2498675
Silleda;MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco,Monte Festeiros,Parque Eólico Masgalán-Campo do Coco;202842;119627;ES1140013.1010;UA320;57.8691946305;UA300;7034.6554929;202857;ES1140013.1010;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;7034.6554929
Silleda;MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco,Monte Festeiros,Parque Eólico Masgalán-Campo do Coco;202854;119632;ES1140013.1012;UA420;13.8819594987;UA400;3148.92786442;202867;ES1140013.1012;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;3148.92786442
Silleda;MONTE FESTEIROS,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco;201113;119660;ES1140013.0470;UA320;2398.12114124;UA300;183811.515035;201119;ES1140013.0470;1.0;V;4030;4030;;Queirogais secos europeos;183811.515035
Silleda;Monte Festeiros,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco,MONTE FESTEIROS;201749;119533;ES1140013.0703;UA532;134.515355887;UA500;17915.2498675;201761;ES1140013.0703;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;17915.2498675
Silleda;Monte Festeiros,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco,MONTE FESTEIROS;202818;119630;ES1140013.1006;UA320;166.949106671;UA300;17861.4915167;202833;ES1140013.1006;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;17861.4915167
Silleda;Monte Festeiros,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco,MONTE FESTEIROS;202820;119630;ES1140013.1006;UA320;166.949106671;UA300;17861.4915167;202831;ES1140013.1006;4.0;V;4030;4030;;Queirogais secos europeos;17861.4915167
Silleda;Monte Festeiros,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco,MONTE FESTEIROS;202841;119627;ES1140013.1010;UA320;57.8691946305;UA300;7034.6554929;202858;ES1140013.1010;1.0;S;3260;3260;;Ríos dos pisos basal a montano;7034.6554929
Silleda;Monte Festeiros,Parque Eólico Masgalán-Campo do Coco,Parque Eólico Masgalán-Campo do Coco,MONTE FESTEIROS;202845;119627;ES1140013.1010;UA320;57.8691946305;UA300;7034.6554929;202853;ES1140013.1010;1.0;V;4030;4030;;Queirogais secos europeos;7034.6554929
