concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Somozas, As;FORGOSELO;28466;24901;ES1110013.0064;UA411;0.860388528771;UA400;466.470898167;28534;ES1110013.0064;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;466.470898167
Somozas, As;FORGOSELO;28467;24901;ES1110013.0064;UA411;0.860388528771;UA400;466.470898167;28535;ES1110013.0064;1.0;S;3260;3260;;Ríos dos pisos basal a montano;466.470898167
Somozas, As;FORGOSELO;28468;24901;ES1110013.0064;UA411;0.860388528771;UA400;466.470898167;28536;ES1110013.0064;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;466.470898167
Somozas, As;FORGOSELO;28469;24901;ES1110013.0064;UA411;0.860388528771;UA400;466.470898167;28537;ES1110013.0064;1.0;S;4030;4030;;Queirogais secos europeos;466.470898167
Somozas, As;FORGOSELO;28470;24901;ES1110013.0064;UA411;0.860388528771;UA400;466.470898167;28538;ES1110013.0064;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;466.470898167
Somozas, As;FORGOSELO;28471;24901;ES1110013.0064;UA411;0.860388528771;UA400;466.470898167;28539;ES1110013.0064;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;466.470898167
Somozas, As;FORGOSELO;28472;24902;ES1110013.0065;UA531;5.24893540173;UA500;1489.84831786;28542;ES1110013.0065;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1489.84831786
Somozas, As;FORGOSELO;28473;24902;ES1110013.0065;UA531;5.24893540173;UA500;1489.84831786;28543;ES1110013.0065;1.0;S;6410;6410;;Prados con Molinia;1489.84831786
Somozas, As;FORGOSELO;28474;24902;ES1110013.0065;UA531;5.24893540173;UA500;1489.84831786;28540;ES1110013.0065;2.0;V;6510;6510;;Prados de sega de baixa altitude;1489.84831786
Somozas, As;FORGOSELO;28475;24902;ES1110013.0065;UA531;5.24893540173;UA500;1489.84831786;28541;ES1110013.0065;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1489.84831786
Somozas, As;FORGOSELO;28476;24905;ES1110013.0068;UA411;8.84028747744;UA400;2826.12234951;28544;ES1110013.0068;5.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2826.12234951
Somozas, As;FORGOSELO;28477;24905;ES1110013.0068;UA411;8.84028747744;UA400;2826.12234951;28545;ES1110013.0068;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2826.12234951
Somozas, As;FORGOSELO;28478;24905;ES1110013.0068;UA411;8.84028747744;UA400;2826.12234951;28546;ES1110013.0068;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2826.12234951
Somozas, As;FORGOSELO;28479;24905;ES1110013.0068;UA411;8.84028747744;UA400;2826.12234951;28547;ES1110013.0068;1.0;S;4030;4030;;Queirogais secos europeos;2826.12234951
Somozas, As;FORGOSELO;28480;24905;ES1110013.0068;UA411;8.84028747744;UA400;2826.12234951;28548;ES1110013.0068;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;2826.12234951
Somozas, As;FORGOSELO;28481;24905;ES1110013.0068;UA411;8.84028747744;UA400;2826.12234951;28549;ES1110013.0068;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;2826.12234951
Somozas, As;FORGOSELO;28490;24907;ES1110013.0070;UA531;1.66785122401;UA500;558.201253334;28558;ES1110013.0070;2.0;V;6510;6510;;Prados de sega de baixa altitude;558.201253334
Somozas, As;FORGOSELO;28491;24907;ES1110013.0070;UA531;1.66785122401;UA500;558.201253334;28559;ES1110013.0070;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;558.201253334
Somozas, As;FORGOSELO;28492;24907;ES1110013.0070;UA531;1.66785122401;UA500;558.201253334;28560;ES1110013.0070;1.0;S;6410;6410;;Prados con Molinia;558.201253334
Somozas, As;FORGOSELO;28638;24955;ES1110013.0120;UA531;5.16530598429;UA500;1546.40921416;28707;ES1110013.0120;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1546.40921416
Somozas, As;FORGOSELO;28639;24955;ES1110013.0120;UA531;5.16530598429;UA500;1546.40921416;28708;ES1110013.0120;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1546.40921416
Somozas, As;FORGOSELO;28640;24955;ES1110013.0120;UA531;5.16530598429;UA500;1546.40921416;28709;ES1110013.0120;1.0;S;6410;6410;;Prados con Molinia;1546.40921416
Somozas, As;FORGOSELO;28641;24955;ES1110013.0120;UA531;5.16530598429;UA500;1546.40921416;28706;ES1110013.0120;2.0;V;6510;6510;;Prados de sega de baixa altitude;1546.40921416
Somozas, As;FORGOSELO;28741;24997;ES1110013.0162;UA531;15.4188109915;UA500;3280.70243094;28813;ES1110013.0162;1.0;S;4030;4030;;Queirogais secos europeos;3280.70243094
Somozas, As;FORGOSELO;28742;24997;ES1110013.0162;UA531;15.4188109915;UA500;3280.70243094;28815;ES1110013.0162;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;3280.70243094
Somozas, As;FORGOSELO;28743;24997;ES1110013.0162;UA531;15.4188109915;UA500;3280.70243094;28814;ES1110013.0162;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;3280.70243094
Somozas, As;FORGOSELO;28744;24997;ES1110013.0162;UA531;15.4188109915;UA500;3280.70243094;28812;ES1110013.0162;1.0;S;6410;6410;;Prados con Molinia;3280.70243094
