concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Toques;P.E. de Careón;30969;26757;ES1110014.0303;UA532;72.3981874903;UA500;9100.36264262;31037;ES1110014.0303;1.0;V;6510;6510;;Prados de sega de baixa altitude;9100.36264262
Toques;P.E. de Careón;30970;26757;ES1110014.0303;UA532;72.3981874903;UA500;9100.36264262;31038;ES1110014.0303;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;9100.36264262
Toques;P.E. de Careón;30974;26517;ES1110014.0309;UA420;2.45399148838;UA400;1239.45468685;31042;ES1110014.0309;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1239.45468685
Toques;P.E. de Careón;31028;26001;ES1110014.0413;UA631;47.826506002;UA600;4295.82529059;31096;ES1110014.0413;2.0;S;4030;4030;;Queirogais secos europeos;4295.82529059
Toques;P.E. de Careón;31441;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31509;ES1110014.0784;5.0;P;4030;4030;;Queirogais secos europeos;53303.033919
Toques;P.E. de Careón;31442;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31510;ES1110014.0784;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;53303.033919
Toques;P.E. de Careón;31443;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31511;ES1110014.0784;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;53303.033919
Toques;P.E. de Careón;31444;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31512;ES1110014.0784;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;53303.033919
Toques;P.E. de Careón;31445;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31513;ES1110014.0784;1.0;S;7110*;7110;X;Turbeiras altas activas;53303.033919
Toques;P.E. de Careón;31446;26784;ES1110014.0784;UA310;1122.14205139;UA300;53303.033919;31514;ES1110014.0784;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;53303.033919
Toques;P.E. de Careón;31798;26366;ES1110014.0988;UA220;1.01701484381;UA200;6784.15317869;31866;ES1110014.0988;5.0;P;3260;3260;;Ríos dos pisos basal a montano;6784.15317869
Toques;P.E. de Careón;31799;26366;ES1110014.0988;UA220;1.01701484381;UA200;6784.15317869;31867;ES1110014.0988;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;6784.15317869
Toques;P.E. de Careón;31800;26366;ES1110014.0988;UA220;1.01701484381;UA200;6784.15317869;31868;ES1110014.0988;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;6784.15317869
Toques;P.E. de Careón;31975;26756;ES1110014.1105;UA310;495.546856406;UA300;21148.1389952;32047;ES1110014.1105;1.0;S;7110*;7110;X;Turbeiras altas activas;21148.1389952
Toques;P.E. de Careón;31976;26756;ES1110014.1105;UA310;495.546856406;UA300;21148.1389952;32046;ES1110014.1105;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;21148.1389952
Toques;P.E. de Careón;31977;26756;ES1110014.1105;UA310;495.546856406;UA300;21148.1389952;32049;ES1110014.1105;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;21148.1389952
Toques;P.E. de Careón;31978;26756;ES1110014.1105;UA310;495.546856406;UA300;21148.1389952;32045;ES1110014.1105;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;21148.1389952
Toques;P.E. de Careón;31979;26756;ES1110014.1105;UA310;495.546856406;UA300;21148.1389952;32044;ES1110014.1105;1.0;V;8130;8130;;Desprendementos mediterráneos occidentais e termófilos;21148.1389952
Toques;P.E. de Careón;31980;26756;ES1110014.1105;UA310;495.546856406;UA300;21148.1389952;32043;ES1110014.1105;5.0;P;4030;4030;;Queirogais secos europeos;21148.1389952
Toques;P.E. de Careón;31981;26756;ES1110014.1105;UA310;495.546856406;UA300;21148.1389952;32048;ES1110014.1105;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;21148.1389952
Toques;P.E. de Careón,Parque Eólico Peña Armada Modificado Num1;31487;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31555;ES1110014.0806;5.0;P;4030;4030;;Queirogais secos europeos;54528.4293608
Toques;P.E. de Careón,Parque Eólico Peña Armada Modificado Num1;31489;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31557;ES1110014.0806;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;54528.4293608
Toques;P.E. de Careón,Parque Eólico Peña Armada Modificado Num1;31491;26747;ES1110014.0806;UA310;819.533162168;UA300;54528.4293608;31559;ES1110014.0806;1.0;S;7110*;7110;X;Turbeiras altas activas;54528.4293608
Toques;Parque Eólico Codesas fase II;30821;26403;ES1110014.0091;UA260;2.52207473432;UA200;1211.68959708;30891;ES1110014.0091;3.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1211.68959708
Toques;Parque Eólico Codesas fase II;30822;26403;ES1110014.0091;UA260;2.52207473432;UA200;1211.68959708;30889;ES1110014.0091;4.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1211.68959708
Toques;Parque Eólico Codesas fase II;30823;26403;ES1110014.0091;UA260;2.52207473432;UA200;1211.68959708;30890;ES1110014.0091;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1211.68959708
Toques;Parque Eólico Codesas fase II;30824;26929;ES1110014.0092;UA260;2.2575114781;UA200;1246.00442816;30894;ES1110014.0092;3.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1246.00442816
Toques;Parque Eólico Codesas fase II;30825;26929;ES1110014.0092;UA260;2.2575114781;UA200;1246.00442816;30893;ES1110014.0092;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1246.00442816
Toques;Parque Eólico Codesas fase II;30826;26929;ES1110014.0092;UA260;2.2575114781;UA200;1246.00442816;30892;ES1110014.0092;4.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1246.00442816
Toques;Parque Eólico Codesas fase II;31645;26876;ES1110014.0872;UA310;1.25120127028;UA300;509.767003013;31713;ES1110014.0872;5.0;P;4030;4030;;Queirogais secos europeos;509.767003013
Toques;Parque Eólico Codesas fase II;31647;26880;ES1110014.0878;UA310;1.62081146365;UA300;733.204350186;31715;ES1110014.0878;5.0;P;4030;4030;;Queirogais secos europeos;733.204350186
Toques;Parque Eólico Codesas fase II;31648;26938;ES1110014.0880;UA310;0.512197964042;UA300;304.86655185;31716;ES1110014.0880;5.0;P;4030;4030;;Queirogais secos europeos;304.86655185
Toques;Parque Eólico Codesas fase II;31649;26938;ES1110014.0880;UA310;0.512197964042;UA300;304.86655185;31717;ES1110014.0880;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;304.86655185
Toques;Parque Eólico Codesas fase II;31720;26945;ES1110014.0941;UA310;8.95660182324;UA300;2650.21777394;31788;ES1110014.0941;5.0;P;4030;4030;;Queirogais secos europeos;2650.21777394
Toques;Parque Eólico Codesas fase II;31721;26945;ES1110014.0941;UA310;8.95660182324;UA300;2650.21777394;31789;ES1110014.0941;1.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2650.21777394
Toques;Parque Eólico Codesas fase II;31722;26945;ES1110014.0941;UA310;8.95660182324;UA300;2650.21777394;31790;ES1110014.0941;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2650.21777394
Toques;Parque Eólico Codesas fase II;31723;26945;ES1110014.0941;UA310;8.95660182324;UA300;2650.21777394;31791;ES1110014.0941;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;2650.21777394
Toques;Parque Eólico Codesas fase II;31724;26945;ES1110014.0941;UA310;8.95660182324;UA300;2650.21777394;31792;ES1110014.0941;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2650.21777394
Toques;Parque Eólico Codesas fase II;31725;26945;ES1110014.0941;UA310;8.95660182324;UA300;2650.21777394;31793;ES1110014.0941;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2650.21777394
Toques;Parque Eólico Codesas fase II;31727;26325;ES1110014.0943;UA532;49.442116308;UA500;3397.56348468;31796;ES1110014.0943;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3397.56348468
