concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Tordoia;MONTE MAIOR;36002;30827;ES1110016.1719;UA530;26.3230523104;UA500;4070.96464308;36072;ES1110016.1719;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;4070.96464308
Tordoia;MONTE MAIOR;36003;30827;ES1110016.1719;UA530;26.3230523104;UA500;4070.96464308;36071;ES1110016.1719;4.0;V;6510;6510;;Prados de sega de baixa altitude;4070.96464308
Tordoia;MONTE MAIOR;36004;30827;ES1110016.1719;UA530;26.3230523104;UA500;4070.96464308;36070;ES1110016.1719;1.0;V;6510;6510;;Prados de sega de baixa altitude;4070.96464308
Tordoia;MONTE MAIOR;36005;30823;ES1110016.1720;UA260;0.201642454577;UA200;347.045511419;36074;ES1110016.1720;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;347.045511419
Tordoia;MONTE MAIOR;36006;30823;ES1110016.1720;UA260;0.201642454577;UA200;347.045511419;36075;ES1110016.1720;2.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;347.045511419
Tordoia;MONTE MAIOR;36007;30823;ES1110016.1720;UA260;0.201642454577;UA200;347.045511419;36073;ES1110016.1720;4.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;347.045511419
Tordoia;MONTE MAIOR;36106;28686;ES1110016.1805;UA220;0.164122760112;UA200;558.014447413;36174;ES1110016.1805;5.0;P;3260;3260;;Ríos dos pisos basal a montano;558.014447413
Tordoia;MONTE MAIOR;36107;28686;ES1110016.1805;UA220;0.164122760112;UA200;558.014447413;36175;ES1110016.1805;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;558.014447413
Tordoia;MONTE MAIOR;36108;28931;ES1110016.1806;UA630;5.76541961097;UA600;1526.54317597;36176;ES1110016.1806;1.0;S;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1526.54317597
Tordoia;MONTE MAIOR;36109;30830;ES1110016.1807;UA530;1.62002520299;UA500;800.041353944;36179;ES1110016.1807;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;800.041353944
Tordoia;MONTE MAIOR;36110;30830;ES1110016.1807;UA530;1.62002520299;UA500;800.041353944;36177;ES1110016.1807;1.0;V;6510;6510;;Prados de sega de baixa altitude;800.041353944
Tordoia;MONTE MAIOR;36111;30830;ES1110016.1807;UA530;1.62002520299;UA500;800.041353944;36178;ES1110016.1807;4.0;V;6510;6510;;Prados de sega de baixa altitude;800.041353944
Tordoia;MONTE MAIOR;36478;31341;ES1110016.2053;UA220;7.18728495499;UA200;23935.2718957;36548;ES1110016.2053;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;23935.2718957
