concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Trazo;MONTE MAIOR;36386;28697;ES1110016.1998;UA260;0.470816151396;UA200;882.291395112;36454;ES1110016.1998;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;882.291395112
Trazo;MONTE MAIOR;36387;28697;ES1110016.1998;UA260;0.470816151396;UA200;882.291395112;36455;ES1110016.1998;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;882.291395112
Trazo;MONTE MAIOR;36388;28698;ES1110016.1999;UA530;1.1142192427;UA500;569.03867519;36456;ES1110016.1999;1.0;S;4030;4030;;Queirogais secos europeos;569.03867519
Trazo;MONTE MAIOR;36389;28698;ES1110016.1999;UA530;1.1142192427;UA500;569.03867519;36457;ES1110016.1999;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;569.03867519
Trazo;MONTE MAIOR;36401;28695;ES1110016.2008;UA260;0.535990447079;UA200;1621.26655043;36469;ES1110016.2008;5.0;P;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1621.26655043
Trazo;MONTE MAIOR;36402;28695;ES1110016.2008;UA260;0.535990447079;UA200;1621.26655043;36470;ES1110016.2008;1.0;V;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1621.26655043
Trazo;MONTE MAIOR;36478;31341;ES1110016.2053;UA220;7.18728495499;UA200;23935.2718957;36548;ES1110016.2053;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;23935.2718957
Trazo;MONTE MAIOR;36479;31341;ES1110016.2053;UA220;7.18728495499;UA200;23935.2718957;36546;ES1110016.2053;5.0;P;3260;3260;;Ríos dos pisos basal a montano;23935.2718957
Trazo;MONTE MAIOR;36480;31341;ES1110016.2053;UA220;7.18728495499;UA200;23935.2718957;36547;ES1110016.2053;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;23935.2718957
Trazo;MONTE MAIOR;36490;30812;ES1110016.2060;UA530;7.79788198786;UA500;1941.48560295;36558;ES1110016.2060;1.0;V;6510;6510;;Prados de sega de baixa altitude;1941.48560295
