concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;39056;33055;Es1120001.0095;UA220;0.318458559237;UA200;3269.47315677;39124;Es1120001.0095;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;3269.47315677
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;39300;33136;Es1120001.0179;UA220;1.58991062844;UA200;16312.3718441;39368;Es1120001.0179;5.0;P;3260;3260;;Ríos dos pisos basal a montano;16312.3718441
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;39302;33136;Es1120001.0179;UA220;1.58991062844;UA200;16312.3718441;39370;Es1120001.0179;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;16312.3718441
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;42542;34118;Es1120001.1188;UA310;1650.8768785;UA300;162005.158118;42604;Es1120001.1188;5.0;P;4030;4030;;Queirogais secos europeos;162005.158118
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;57437;37466;Es1120001.4598;UA320;5.65767385865;UA300;1893.92954294;57498;Es1120001.4598;3.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;1893.92954294
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;57496;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57572;Es1120001.4604;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;2102.99957684
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;57497;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57571;Es1120001.4604;1.0;V;4030;4030;;Queirogais secos europeos;2102.99957684
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;57499;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57573;Es1120001.4604;1.0;S;3260;3260;;Ríos dos pisos basal a montano;2102.99957684
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;57503;37472;Es1120001.4604;UA320;5.12874746251;UA300;2102.99957684;57563;Es1120001.4604;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;2102.99957684
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;58508;37563;Es1120001.4696;UA320;0.876131944437;UA300;479.165817218;58580;Es1120001.4696;1.0;V;4030;4030;;Queirogais secos europeos;479.165817218
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;58509;37563;Es1120001.4696;UA320;0.876131944437;UA300;479.165817218;58586;Es1120001.4696;1.0;S;3260;3260;;Ríos dos pisos basal a montano;479.165817218
Triacastela;MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I,MNS PEO Oribio (Fase I),Parque Eólico Oribio fase I;58512;37563;Es1120001.4696;UA320;0.876131944437;UA300;479.165817218;58583;Es1120001.4696;1.0;V;4030;4030;;Queirogais secos europeos;479.165817218
