concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Vicedo, O;Parque Eólico Chan de Tenón;92025;62304;ES1120012.0459;UA220;3.6770309795;UA200;14713.098877;92093;ES1120012.0459;5.0;P;3260;3260;;Ríos dos pisos basal a montano;14713.098877
Vicedo, O;Parque Eólico Chan de Tenón;92026;62304;ES1120012.0459;UA220;3.6770309795;UA200;14713.098877;92094;ES1120012.0459;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14713.098877
Vicedo, O;Parque Eólico Chan de Tenón;92027;62304;ES1120012.0459;UA220;3.6770309795;UA200;14713.098877;92095;ES1120012.0459;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14713.098877
Vicedo, O;Poligonal P.E BARQUEIRO;118572;75162;ES1120017.0518;UA530;2.11982666137;UA500;1109.38556424;118640;ES1120017.0518;3.0;V;6510;6510;;Prados de sega de baixa altitude;1109.38556424
Vicedo, O;Poligonal P.E BARQUEIRO;118573;75162;ES1120017.0518;UA530;2.11982666137;UA500;1109.38556424;118641;ES1120017.0518;3.0;V;6510;6510;;Prados de sega de baixa altitude;1109.38556424
Vicedo, O;Poligonal P.E BARQUEIRO;118574;75162;ES1120017.0518;UA530;2.11982666137;UA500;1109.38556424;118642;ES1120017.0518;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1109.38556424
Vicedo, O;Poligonal P.E BARQUEIRO;118575;75162;ES1120017.0518;UA530;2.11982666137;UA500;1109.38556424;118643;ES1120017.0518;1.0;S;6410;6410;;Prados con Molinia;1109.38556424
Vicedo, O;Poligonal P.E BARQUEIRO;118581;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118649;ES1120017.0521;3.0;V;6510;6510;;Prados de sega de baixa altitude;1942.27687038
Vicedo, O;Poligonal P.E BARQUEIRO;118582;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118650;ES1120017.0521;3.0;V;6510;6510;;Prados de sega de baixa altitude;1942.27687038
Vicedo, O;Poligonal P.E BARQUEIRO;118583;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118651;ES1120017.0521;1.0;S;3260;3260;;Ríos dos pisos basal a montano;1942.27687038
Vicedo, O;Poligonal P.E BARQUEIRO;118584;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118652;ES1120017.0521;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;1942.27687038
Vicedo, O;Poligonal P.E BARQUEIRO;118585;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118653;ES1120017.0521;1.0;S;6410;6410;;Prados con Molinia;1942.27687038
Vicedo, O;Poligonal P.E BARQUEIRO;118586;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118654;ES1120017.0521;1.0;S;4030;4030;;Queirogais secos europeos;1942.27687038
Vicedo, O;Poligonal P.E BARQUEIRO;118587;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118655;ES1120017.0521;1.0;S;8230;8230;;Rochedos silíceos con vexetación pioneira;1942.27687038
Vicedo, O;Poligonal P.E BARQUEIRO;118588;75266;ES1120017.0521;UA530;9.55387436855;UA500;1942.27687038;118656;ES1120017.0521;1.0;S;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;1942.27687038
