concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Vilalba;P.E. de Carba y Vilalba;96393;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96462;ES1120015.0202;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96394;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96461;ES1120015.0202;1.0;V;3130;3130;;Augas oligotróficas ou mesotróficas;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96395;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96460;ES1120015.0202;1.0;V;7140;7140;;Turbeiras de transición e inllós;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96396;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96459;ES1120015.0202;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96397;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96458;ES1120015.0202;1.0;V;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96398;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96457;ES1120015.0202;2.0;V;6230*;6230;X;Formacións herbáceas con Nardus;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96399;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96456;ES1120015.0202;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96400;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96455;ES1120015.0202;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96401;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96454;ES1120015.0202;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96402;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96452;ES1120015.0202;5.0;P;7110*;7110;X;Turbeiras altas activas;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96403;70041;ES1120015.0202;UA240;1.96128029741;UA200;1026.88673243;96453;ES1120015.0202;3.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;1026.88673243
Vilalba;P.E. de Carba y Vilalba;96404;69876;ES1120015.0203;UA422;7.16058774901;UA400;2367.83708156;96463;ES1120015.0203;3.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2367.83708156
Vilalba;P.E. de Carba y Vilalba;96405;69876;ES1120015.0203;UA422;7.16058774901;UA400;2367.83708156;96464;ES1120015.0203;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2367.83708156
Vilalba;P.E. de Carba y Vilalba;96409;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96471;ES1120015.0208;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;332.260240603
Vilalba;P.E. de Carba y Vilalba;96410;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96469;ES1120015.0208;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;332.260240603
Vilalba;P.E. de Carba y Vilalba;96411;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96468;ES1120015.0208;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;332.260240603
Vilalba;P.E. de Carba y Vilalba;96412;66985;ES1120015.0208;UA320;0.678591243655;UA300;332.260240603;96470;ES1120015.0208;2.0;V;4030;4030;;Queirogais secos europeos;332.260240603
Vilalba;P.E. de Carba y Vilalba;96416;69874;ES1120015.0211;UA422;2.46420614896;UA400;1176.77667629;96476;ES1120015.0211;1.0;S;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;1176.77667629
Vilalba;P.E. de Carba y Vilalba;96417;69874;ES1120015.0211;UA422;2.46420614896;UA400;1176.77667629;96475;ES1120015.0211;3.0;V;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;1176.77667629
Vilalba;P.E. de Carba y Vilalba;96421;69871;ES1120015.0214;UA320;1.31653453626;UA300;559.11015036;96482;ES1120015.0214;2.0;V;4030;4030;;Queirogais secos europeos;559.11015036
Vilalba;P.E. de Carba y Vilalba;96422;69871;ES1120015.0214;UA320;1.31653453626;UA300;559.11015036;96481;ES1120015.0214;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;559.11015036
Vilalba;P.E. de Carba y Vilalba;96423;69871;ES1120015.0214;UA320;1.31653453626;UA300;559.11015036;96480;ES1120015.0214;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;559.11015036
Vilalba;P.E. de Carba y Vilalba;96424;69871;ES1120015.0214;UA320;1.31653453626;UA300;559.11015036;96483;ES1120015.0214;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;559.11015036
Vilalba;P.E. de Carba y Vilalba;96439;66986;ES1120015.0216;UA532;0.570013151968;UA500;297.10807536;96579;ES1120015.0216;3.0;V;6510;6510;;Prados de sega de baixa altitude;297.10807536
Vilalba;P.E. de Carba y Vilalba;96450;66987;ES1120015.0220;UA320;3.244583185;UA300;757.584618575;96593;ES1120015.0220;2.0;V;4030;4030;;Queirogais secos europeos;757.584618575
Vilalba;P.E. de Carba y Vilalba;96451;66987;ES1120015.0220;UA320;3.244583185;UA300;757.584618575;96597;ES1120015.0220;2.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;757.584618575
Vilalba;P.E. de Carba y Vilalba;96452;66987;ES1120015.0220;UA320;3.244583185;UA300;757.584618575;96596;ES1120015.0220;1.0;V;6220*;6220;X;Pseudoestepas de gramíneas e anuais da orde Thero-Brachypodietea;757.584618575
Vilalba;P.E. de Carba y Vilalba;96453;66987;ES1120015.0220;UA320;3.244583185;UA300;757.584618575;96594;ES1120015.0220;1.0;V;4030;4030;;Queirogais secos europeos;757.584618575
Vilalba;P.E. de Carba y Vilalba;96454;66987;ES1120015.0220;UA320;3.244583185;UA300;757.584618575;96592;ES1120015.0220;1.0;V;8310;8310;;Covas non explotadas polo turismo;757.584618575
Vilalba;P.E. de Carba y Vilalba;96455;66987;ES1120015.0220;UA320;3.244583185;UA300;757.584618575;96591;ES1120015.0220;1.0;V;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;757.584618575
