concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Viveiro;Parque Eólico Buio;101995;67752;ES1120015.2115;UA631;24.1118383716;UA600;4947.85929054;102063;ES1120015.2115;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;4947.85929054
Viveiro;Parque Eólico Buio;102036;68748;ES1120015.2136;UA420;5.23910928505;UA400;2545.95185729;102104;ES1120015.2136;5.0;P;9230;9230;;Carballeiras galaico-portugueses con Quercus robur e Q. pyrenaica;2545.95185729
Viveiro;Parque Eólico Buio;102037;68748;ES1120015.2136;UA420;5.23910928505;UA400;2545.95185729;102105;ES1120015.2136;1.0;V;9380;9380;;Bosques de Ilex aquifolium;2545.95185729
Viveiro;Parque Eólico Buio;103102;68874;ES1120015.2509;UA220;0.533868917336;UA200;7626.52468144;103170;ES1120015.2509;5.0;P;3260;3260;;Ríos dos pisos basal a montano;7626.52468144
Viveiro;Parque Eólico Buio;103103;68874;ES1120015.2509;UA220;0.533868917336;UA200;7626.52468144;103171;ES1120015.2509;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7626.52468144
Viveiro;Parque Eólico Buio;103104;68874;ES1120015.2509;UA220;0.533868917336;UA200;7626.52468144;103172;ES1120015.2509;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7626.52468144
Viveiro;Parque Eólico Buio;103111;67930;ES1120015.2512;UA220;0.0233307731654;UA200;335.526445762;103179;ES1120015.2512;5.0;P;3260;3260;;Ríos dos pisos basal a montano;335.526445762
Viveiro;Parque Eólico Buio;103112;67930;ES1120015.2512;UA220;0.0233307731654;UA200;335.526445762;103180;ES1120015.2512;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;335.526445762
Viveiro;Parque Eólico Buio;103113;67930;ES1120015.2512;UA220;0.0233307731654;UA200;335.526445762;103181;ES1120015.2512;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;335.526445762
Viveiro;Parque Eólico Buio;105869;68875;ES1120015.3412;UA220;0.183433072168;UA200;2623.02040605;105937;ES1120015.3412;5.0;P;3260;3260;;Ríos dos pisos basal a montano;2623.02040605
Viveiro;Parque Eólico Buio;105870;68875;ES1120015.3412;UA220;0.183433072168;UA200;2623.02040605;105938;ES1120015.3412;1.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;2623.02040605
Viveiro;Parque Eólico Buio;105871;68875;ES1120015.3412;UA220;0.183433072168;UA200;2623.02040605;105939;ES1120015.3412;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;2623.02040605
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102002;67758;ES1120015.2122;UA230;38.766015294;UA200;5458.45583829;102070;ES1120015.2122;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;5458.45583829
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102004;68953;ES1120015.2123;UA230;197.699549069;UA200;21330.5122962;102072;ES1120015.2123;5.0;V;7140;7140;;Turbeiras de transición e inllós;21330.5122962
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102216;68916;ES1120015.2210;UA630;240.381603828;UA600;21442.9884919;102284;ES1120015.2210;1.0;S;7110*;7110;X;Turbeiras altas activas;21442.9884919
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102218;67866;ES1120015.2211;UA230;37.4357649545;UA200;5082.20722227;102287;ES1120015.2211;5.0;V;7140;7140;;Turbeiras de transición e inllós;5082.20722227
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102521;68921;ES1120015.2301;UA270;169.394801135;UA200;18426.0733465;102596;ES1120015.2301;1.0;V;7140;7140;;Turbeiras de transición e inllós;18426.0733465
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102523;68921;ES1120015.2301;UA270;169.394801135;UA200;18426.0733465;102600;ES1120015.2301;1.0;S;8220;8220;;Encostas rochosas silíceas con vexetación casmofítica;18426.0733465
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102525;68921;ES1120015.2301;UA270;169.394801135;UA200;18426.0733465;102598;ES1120015.2301;1.0;S;4030;4030;;Queirogais secos europeos;18426.0733465
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102527;68921;ES1120015.2301;UA270;169.394801135;UA200;18426.0733465;102595;ES1120015.2301;1.0;V;7110*;7110;X;Turbeiras altas activas;18426.0733465
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102529;68921;ES1120015.2301;UA270;169.394801135;UA200;18426.0733465;102593;ES1120015.2301;1.0;V;7110*;7110;X;Turbeiras altas activas;18426.0733465
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102531;68921;ES1120015.2301;UA270;169.394801135;UA200;18426.0733465;102591;ES1120015.2301;1.0;V;7110*;7110;X;Turbeiras altas activas;18426.0733465
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102533;68921;ES1120015.2301;UA270;169.394801135;UA200;18426.0733465;102590;ES1120015.2301;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;18426.0733465
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;102916;68951;ES1120015.2442;UA630;304.199045374;UA600;22785.0687975;102984;ES1120015.2442;1.0;S;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;22785.0687975
Viveiro;Parque Eólico Buio,Parque Eólico Rioboo;105979;68930;ES1120015.3451;UA230;188.022693333;UA200;29843.4144876;106048;ES1120015.3451;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;29843.4144876
Viveiro;Parque Eólico Chan de Tenón;92025;62304;ES1120012.0459;UA220;3.6770309795;UA200;14713.098877;92093;ES1120012.0459;5.0;P;3260;3260;;Ríos dos pisos basal a montano;14713.098877
Viveiro;Parque Eólico Chan de Tenón;92026;62304;ES1120012.0459;UA220;3.6770309795;UA200;14713.098877;92094;ES1120012.0459;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;14713.098877
Viveiro;Parque Eólico Chan de Tenón;92027;62304;ES1120012.0459;UA220;3.6770309795;UA200;14713.098877;92095;ES1120012.0459;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;14713.098877
Viveiro;Parque Eólico Chan de Tenón;92031;62306;ES1120012.0461;UA220;1.95021430264;UA200;7805.95744478;92100;ES1120012.0461;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;7805.95744478
Viveiro;Parque Eólico Chan de Tenón;92032;62306;ES1120012.0461;UA220;1.95021430264;UA200;7805.95744478;92101;ES1120012.0461;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;7805.95744478
Viveiro;Parque Eólico Chan de Tenón;92033;62306;ES1120012.0461;UA220;1.95021430264;UA200;7805.95744478;92099;ES1120012.0461;5.0;P;3260;3260;;Ríos dos pisos basal a montano;7805.95744478
Viveiro;Parque Eólico Chan de Tenón,Parque Eólico Ourol,Parque Eólico Sabucedo,Parque Eólico Ourol;92184;62462;ES1120012.0543;UA220;14.0588392422;UA200;55906.6665914;92252;ES1120012.0543;1.0;S;6430;6430;;Megaforbios éutrofos higrófilos das orlas de chairas;55906.6665914
Viveiro;Parque Eólico Ourol,Parque Eólico Ourol,Parque Eólico Sabucedo,Parque Eólico Chan de Tenón;92183;62462;ES1120012.0543;UA220;14.0588392422;UA200;55906.6665914;92251;ES1120012.0543;2.0;V;91E0*;91E0;X;Bosques aluviais de Alnus glutinosa e Fraxinus excelsior;55906.6665914
Viveiro;Parque Eólico Rioboo;101996;67867;ES1120015.2119;UA860;53.4161861469;UA800;6154.43897919;102064;ES1120015.2119;2.0;S;7140;7140;;Turbeiras de transición e inllós;6154.43897919
Viveiro;Parque Eólico Rioboo;102475;68778;ES1120015.2288;UA320;1.31793222411;UA300;767.152194501;102543;ES1120015.2288;4.0;V;8230;8230;;Rochedos silíceos con vexetación pioneira;767.152194501
