concello;poligonales;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1
Xermade;MURAS II;102857;68609;ES1120015.2421;UA270;305.590128071;UA200;42694.7255808;102926;ES1120015.2421;1.0;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;42694.7255808
Xermade;MURAS II;102858;68609;ES1120015.2421;UA270;305.590128071;UA200;42694.7255808;102930;ES1120015.2421;1.0;V;3160;3160;;Lagos e charcas distróficos naturais;42694.7255808
Xermade;MURAS II;102859;68609;ES1120015.2421;UA270;305.590128071;UA200;42694.7255808;102931;ES1120015.2421;3.0;S;4030;4030;;Queirogais secos europeos;42694.7255808
Xermade;MURAS II;102860;68609;ES1120015.2421;UA270;305.590128071;UA200;42694.7255808;102929;ES1120015.2421;1.0;V;7140;7140;;Turbeiras de transición e inllós;42694.7255808
Xermade;MURAS II;102861;68609;ES1120015.2421;UA270;305.590128071;UA200;42694.7255808;102927;ES1120015.2421;1.0;V;7110*;7110;X;Turbeiras altas activas;42694.7255808
Xermade;MURAS II;102862;68609;ES1120015.2421;UA270;305.590128071;UA200;42694.7255808;102925;ES1120015.2421;4.0;P;4020*;4020;X;Queirogais húmidos atlánticos de Erica ciliaris e Erica tetralix;42694.7255808
Xermade;MURAS II;102863;68609;ES1120015.2421;UA270;305.590128071;UA200;42694.7255808;102928;ES1120015.2421;2.0;V;7110*;7110;X;Turbeiras altas activas;42694.7255808
Xermade;P.E. de Carba y Vilalba;97405;69828;ES1120015.0440;UA530;57.3952005269;UA500;7008.07924446;97473;ES1120015.0440;5.0;V;6510;6510;;Prados de sega de baixa altitude;7008.07924446
Xermade;P.E. de Carba y Vilalba;97406;69828;ES1120015.0440;UA530;57.3952005269;UA500;7008.07924446;97474;ES1120015.0440;1.0;S;6410;6410;;Prados con Molinia;7008.07924446
Xermade;P.E. de Carba y Vilalba;99999;70150;ES1120015.1148;UA270;113.099782223;UA200;15861.4775937;100075;ES1120015.1148;1.0;V;7140;7140;;Turbeiras de transición e inllós;15861.4775937
